Gene_ID	subject_id	D_T1_Rep1	D_T1_Rep2	D_T1_Rep3	D_T1_Rep4	D_T2_Rep1	D_T2_Rep2	D_T2_Rep3	D_T2_Rep4
WUAT02000185.1	Potri.015G035500.1	2642	3844	2636	1552	1698	2094	2058	2066
WUAT02000186.1	Potri.012G088500.11	27038	30982	29392	23856	29082	28206	30366	32794
WUAT02000190.1	Potri.012G069000.6	20244	25310	16476	18434	53008	32028	47858	73070
WUAT02000191.1	Potri.001G190200.1	3044	5112	1990	1558	2604	2362	3684	1826
WUAT02000194.1	Potri.016G004900.2	844	1270	1520	1320	1430	1714	1170	1548
WUAT02000196.1	Potri.013G142232.4	11640	8538	9804	5582	11254	8060	6230	9698
WUAT02000199.1	Potri.006G113300.1	43984	47376	58472	36040	47324	44818	34468	41686
WUAT02000200.1	Potri.006G268200.4	1488	1224	2570	1604	938	2478	248	2836
WUAT02000203.1	Potri.005G210000.1	10930	9854	13108	8350	10316	8676	5672	10864
WUAT02000204.1	Potri.011G074868.1	248	236	370	346	330	978	692	366
WUAT02000205.1	Potri.007G147100.1	10762	11322	9196	6056	9654	7956	8336	8562
WUAT02000208.1	Potri.007G061721.1	13710	13698	13304	8892	12424	15594	14132	15642
WUAT02000209.1	Potri.006G185000.1	52526	57956	84384	70558	53444	65368	42152	51760
WUAT02000212.1	Potri.006G230400.5	1572	2154	1892	1276	1650	1634	2656	2402
WUAT02000217.1	Potri.001G370300.2	35392	38414	38854	27058	45344	35318	32782	35250
WUAT02000230.1	Potri.013G162600.1	112	254	910	666	1748	478	996	4072
WUAT02000231.1	Potri.005G060300.2	718	744	1254	1242	1080	1432	2714	2390
WUAT02000233.1	Potri.015G009200.4	23798	32406	24854	19270	30752	26032	33254	31376
WUAT02000234.1	Potri.008G005000.1	1156	1336	1504	1114	2946	1670	3372	2786
WUAT02000235.1	Potri.010G052500.1	22998	23914	25732	17796	27468	24426	24192	26182
WUAT02000238.1	Potri.011G044300.1	22580	27598	35996	52936	15688	16368	30360	38918
WUAT02000244.1	Potri.007G061861.1	16470	16130	18040	15060	14584	13530	20122	19364
WUAT02000248.1	Potri.003G183000.1	3108	3342	3420	2430	3520	2674	3016	3740
WUAT02000253.1	Potri.004G165500.1	16300	19198	22690	17146	17614	21178	16302	22330
WUAT02000256.1	Potri.014G175200.4	139100	153754	212796	249158	137626	145488	205450	263576
WUAT02000258.1	Potri.006G095000.2	3790	4712	4728	3924	3814	6208	1254	1862
WUAT02000262.1	Potri.013G143400.2	42162	51292	71352	39130	74438	76746	123538	130218
WUAT02000271.1	Potri.015G037200.1	14966	16598	15890	10068	22186	17582	12542	18444
WUAT02000276.1	Potri.011G074750.1	27950	31932	42436	32994	42152	45438	49396	55364
WUAT02000277.1	Potri.015G127900.1	12	8	4	8	12	2	118	18
WUAT02000280.1	Potri.017G099100.1	6328	6188	3624	10662	4160	3496	2888	5520
WUAT02000282.1	Potri.010G052900.1	590	806	1000	684	736	674	1692	792
WUAT02000289.1	Potri.013G142972.1	28112	22692	26516	18094	13078	53954	12670	14904
WUAT02000290.1	Potri.003G185901.1	1238	3560	1740	2572	2658	3566	3364	3630
WUAT02000295.1	Potri.001G222300.1	3932	3610	4162	3188	6522	3642	3450	5304
WUAT02000307.1	Potri.013G143400.2	1524	2004	1600	1354	1868	1732	2030	2230
WUAT02000312.1	Potri.003G039100.5	15596	21360	17260	13298	20558	25218	22064	23528
WUAT02000315.1	Potri.013G154600.1	12050	14854	13478	10498	16886	13398	13214	14282
WUAT02000318.1	Potri.012G031250.1	22	36	14	2	14	20	66	38
WUAT02000325.1	Potri.013G133550.2	23494	28826	25714	18750	69252	46250	87600	108900
WUAT02000327.1	Potri.014G076300.2	62	74	94	308	700	360	620	390
WUAT02000328.1	Potri.007G122100.1	23706	16814	4342	3628	15564	8514	11764	10244
WUAT02000329.1	Potri.014G170500.2	10048	7164	6542	3528	9640	9544	31612	28898
WUAT02000330.1	Potri.010G226000.9	3672	3446	6258	3762	2520	3972	12592	6818
WUAT02000334.1	Potri.008G005200.2	308	416	416	598	548	296	476	1260
WUAT02000343.1	Potri.006G222000.1	1412	1760	1952	2498	1318	2302	982	2004
WUAT02000344.1	Potri.003G018800.1	20862	27350	17452	13706	20200	21666	20880	21672
WUAT02000347.1	Potri.004G213400.1	892	1812	1278	2476	1678	2126	1536	2040
WUAT02000349.1	Potri.010G088900.1	1432	1936	1422	1464	4066	2124	2346	6556
WUAT02000352.1	Potri.014G044900.5	8606	8098	6788	4534	8252	7238	5792	6976
WUAT02000353.1	Potri.007G062302.2	2404	1886	2098	3114	2284	4042	2252	3372
WUAT02000356.1	Potri.008G224210.1	284	384	428	470	372	234	276	406
WUAT02000357.1	Potri.008G013500.1	100	40	34	52	52	100	108	92
WUAT02000361.1	Potri.008G206000.4	31088	33766	36210	20200	30624	28798	26340	29870
WUAT02000362.1	Potri.002G149600.1	318	1490	1368	418	530	1012	994	772
WUAT02000370.1	Potri.013G133550.2	49938	52888	42894	34964	45172	45520	67892	95088
WUAT02000371.1	Potri.003G077100.5	15782	17444	15222	12212	16594	15990	12400	15664
WUAT02000372.1	Potri.016G059900.3	4870	5444	3900	3446	3388	3674	4692	3666
WUAT02000379.1	Potri.011G094500.2	16954	18930	25026	22160	22448	20970	13390	16344
WUAT02000383.1	Potri.001G418100.1	4404	5498	5478	3802	7018	6116	6004	7854
WUAT02000388.1	Potri.018G076600.3	32948	37096	45022	34748	33804	45588	33872	39766
WUAT02000389.1	Potri.006G199400.1	3694	4738	2770	3702	4904	4430	4788	5308
WUAT02000393.1	Potri.018G068400.1	2850	5338	2310	1042	2616	2540	270	154
WUAT02000394.1	Potri.005G140700.4	18022	21630	23150	18724	17814	18764	27736	29830
WUAT02000397.1	Potri.002G230700.3	9710	11200	10624	9568	11386	9930	7900	9642
WUAT02000402.1	Potri.013G073400.1	4034	5324	2176	1014	2592	3006	2124	1290
WUAT02000404.1	Potri.005G233400.1	6322	7476	10516	5638	7482	7306	10976	12640
WUAT02000405.1	Potri.001G159700.1	43496	47862	31446	21092	34868	28548	25482	28734
WUAT02000406.1	Potri.013G139112.2	139604	176150	168038	80246	28952	61626	20418	21416
WUAT02000411.1	Potri.004G040600.1	4182	15212	13222	23760	35190	19140	63840	99092
WUAT02000412.1	Potri.004G031600.3	228	212	302	152	250	198	356	366
WUAT02000415.1	Potri.013G138490.1	20352	23732	23374	20380	23730	24370	28722	29078
WUAT02000419.1	Potri.019G015111.1	6868	7268	6160	3028	5750	5102	4988	7506
WUAT02000420.1	Potri.004G054000.3	28636	31290	40514	30794	33848	34858	37966	40486
WUAT02000429.1	Potri.008G133300.1	14024	17772	16268	11628	16360	15854	18992	19308
WUAT02000430.1	Potri.002G174400.1	5398	5298	4282	3596	4934	5292	3202	5030
WUAT02000433.1	Potri.004G146600.5	183354	189984	204510	184454	171634	169288	132264	189714
WUAT02000437.1	Potri.011G026600.1	101264	104464	109386	73980	131642	110030	159594	158844
WUAT02000438.1	Potri.011G074600.2	4220	4930	5734	4278	4968	4490	3606	4508
WUAT02000439.1	Potri.005G110600.6	11628	14844	13392	11392	15104	15932	13742	14894
WUAT02000441.1	Potri.015G007700.1	10718	13032	11864	11392	14714	10598	12086	11882
WUAT02000442.1	Potri.010G128600.4	34348	40934	37980	33122	70388	57740	34432	47138
WUAT02000444.1	Potri.004G101500.1	0	8	12	0	0	2	0	2
WUAT02000447.1	Potri.013G133550.2	1880	2824	2630	2358	4254	3392	3636	5418
WUAT02000448.1	Potri.019G025700.4	984	1598	2270	1896	1158	1668	1160	1600
WUAT02000451.1	Potri.008G221801.2	27572	32982	29184	19974	33464	27206	29224	31852
WUAT02000455.1	Potri.006G188700.1	2884	2250	2202	1800	2448	1536	2192	1944
WUAT02000460.1	Potri.001G435900.2	11464	13826	17874	8238	12804	14890	13844	16124
WUAT02000461.1	Potri.008G185200.2	12210	12062	12826	9614	14544	11924	11340	16648
WUAT02000464.1	Potri.018G087800.2	3600	4784	4730	3638	9526	5086	8178	11458
WUAT02000469.1	Potri.016G068900.3	12682	14938	17664	11780	14072	16394	16408	17672
WUAT02000471.1	Potri.011G146800.5	258	350	346	338	538	368	288	306
WUAT02000472.1	Potri.015G103700.1	25662	23700	34018	23682	31936	29294	42158	40100
WUAT02000475.1	Potri.008G062400.1	406	706	2404	724	1128	1156	1376	1416
WUAT02000478.1	Potri.013G158200.3	32880	30970	37254	28472	22208	24252	16796	19978
WUAT02000484.1	Potri.013G133550.2	1216	1364	1540	1002	2466	1834	2996	3106
WUAT02000487.1	Potri.003G015800.1	17560	18790	15554	16552	18686	18430	17900	43742
WUAT02000492.1	Potri.001G370366.2	1984	1686	3948	2086	2312	1694	4084	3764
WUAT02000496.1	Potri.018G040100.1	21972	20282	42456	9344	28908	31280	10110	12340
WUAT02000500.1	Potri.010G086900.2	2160	2148	2532	2332	4836	9364	9028	8426
WUAT02000501.1	Potri.004G182400.1	630	430	302	340	388	600	416	220
WUAT02000502.1	Potri.013G133550.2	5650	8208	3938	4378	4812	5018	2668	3050
WUAT02000503.1	Potri.016G084900.1	8036	10874	8346	7448	12944	12112	27666	27318
WUAT02000505.1	Potri.014G153000.1	12484	11822	7076	4892	6942	5194	3636	5428
WUAT02000511.1	Potri.008G142400.6	11060	12512	8548	5156	10738	12486	6058	9178
WUAT02000514.1	Potri.012G110800.1	2070	2954	2510	1588	4240	3646	5246	5182
WUAT02000518.1	Potri.001G349300.9	31150	33718	25588	16236	27680	23388	16336	20512
WUAT02000519.1	Potri.004G197000.2	4570	4928	6538	3492	5482	5024	6018	8048
WUAT02000523.1	Potri.012G031250.1	68198	66226	123832	107516	65404	74314	61840	60096
WUAT02000531.1	Potri.001G312800.9	27678	33636	36526	25124	29812	32914	37424	43594
WUAT02000539.1	Potri.013G092500.1	12	8	4	0	26	30	102	70
WUAT02000541.1	Potri.001G312800.7	73820	74058	69388	41148	111604	75512	92148	105402
WUAT02000543.1	Potri.004G059200.2	6502	6802	7840	5088	7880	9290	4910	8060
WUAT02000546.1	Potri.011G075051.1	218	532	344	1838	700	616	1172	870
WUAT02000550.1	Potri.002G193700.1	19368	21644	29084	49304	25890	52744	15446	24634
WUAT02000551.1	Potri.013G133550.2	890	1126	1122	1080	1354	1392	1424	1796
WUAT02000559.1	Potri.001G313900.1	13274	15694	10118	6898	11416	13090	7682	9628
WUAT02000560.1	Potri.012G031250.1	2374	3004	3116	2294	3258	3712	5514	5712
WUAT02000566.1	Potri.013G147200.2	10606	10840	11142	8664	11856	13092	9166	14202
WUAT02000570.1	Potri.002G001900.9	592	1122	726	598	544	1052	278	182
WUAT02000573.1	Potri.001G359700.6	420	392	492	212	442	508	436	988
WUAT02000577.1	Potri.007G011200.7	15760	18566	17862	14770	19262	18502	19538	20652
WUAT02000582.1	Potri.012G031250.1	25416	32642	31444	26390	30098	32050	38428	37692
WUAT02000586.1	Potri.005G148900.1	11232	10706	11424	7380	8942	10104	9928	11344
WUAT02000588.1	Potri.005G086100.7	29644	34464	35274	27776	28974	31550	34704	37794
WUAT02000590.1	Potri.006G260200.4	15404	15190	16174	13374	17846	13608	12596	12908
WUAT02000591.1	Potri.013G138100.2	750	702	920	486	344	932	966	638
WUAT02000595.1	Potri.003G072300.10	22730	30458	26130	21398	26338	21540	29904	34864
WUAT02000597.1	Potri.005G212700.1	688	1288	644	430	532	1096	284	1090
WUAT02000600.1	Potri.012G062700.1	27914	29720	32030	19490	29722	26254	23192	26830
WUAT02000601.1	Potri.008G177000.7	70	54	12	24	22	80	182	114
WUAT02000602.1	Potri.002G093500.4	4068	3072	3078	1382	1638	2654	468	862
WUAT02000604.1	Potri.009G034500.1	620	748	1028	716	1120	1416	3388	4048
WUAT02000605.1	Potri.002G090900.5	7336	5974	7110	5288	10726	7988	9706	9354
WUAT02000608.1	Potri.018G139400.1	190	76	296	110	810	110	96	134
WUAT02000610.1	Potri.007G061861.1	13930	13142	23622	16056	7866	15880	7446	15380
WUAT02000613.1	Potri.010G069000.2	39822	35230	32838	24214	38542	40044	40846	42442
WUAT02000618.1	Potri.013G133550.1	1386	1344	1930	1078	1696	3862	3146	4762
WUAT02000626.1	Potri.002G078800.4	9130	10646	10758	8626	10722	11374	11902	11848
WUAT02000628.1	Potri.002G178801.1	1240	1056	1870	1500	2456	2464	2324	2858
WUAT02000629.1	Potri.018G067800.2	29702	38318	45798	34566	37388	39862	42448	43086
WUAT02000631.1	Potri.001G243400.1	62990	77122	81172	66628	77838	77820	79854	75840
WUAT02000636.1	Potri.005G213300.6	6610	7036	7420	5440	7144	6846	7226	7252
WUAT02000639.1	Potri.002G109601.10	22	68	30	124	106	52	306	364
WUAT02000640.1	Potri.013G102700.1	13112	16826	9008	6836	11656	10690	9682	9300
WUAT02000641.1	Potri.013G137077.1	3262	6760	3830	6920	5548	8200	7008	4216
WUAT02000644.1	Potri.010G090100.2	2540	3440	3004	1978	2332	2748	1092	1240
WUAT02000645.1	Potri.001G314300.1	58232	66488	71598	58734	60540	56196	88286	77790
WUAT02000648.1	Potri.011G074067.1	1020	2066	1242	538	1580	976	662	346
WUAT02000650.1	Potri.003G203100.1	4130	5342	4822	4600	6194	5648	5514	7138
WUAT02000659.1	Potri.008G070600.2	706	474	620	360	436	570	150	770
WUAT02000662.1	Potri.008G085000.1	1384	7032	1090	424	986	240	360	1624
WUAT02000667.1	Potri.010G000301.1	5436	6188	5352	4098	10166	5026	8458	7424
WUAT02000669.1	Potri.018G110200.3	6228	6324	7936	5958	6654	6520	9126	8960
WUAT02000676.1	Potri.011G074600.2	20298	25130	27730	19754	23696	24006	26346	27924
WUAT02000681.1	Potri.009G041800.1	5282	5778	5088	3750	10280	9428	10134	10834
WUAT02000685.1	Potri.004G078932.2	1412	1782	1932	1516	1814	2034	1876	1936
WUAT02000687.1	Potri.003G018500.2	2730	3108	2826	2180	3370	2426	4038	3562
WUAT02000689.1	Potri.010G105600.1	11798	13516	14744	10636	15432	15668	18638	17506
WUAT02000690.1	Potri.003G174900.3	31134	39112	43634	31900	35158	31974	40112	59842
WUAT02000694.1	Potri.004G210100.1	72250	64280	81634	56228	88474	127794	65268	133516
WUAT02000695.1	Potri.004G162500.1	28924	39264	33190	28646	34116	35506	39442	35608
WUAT02000699.1	Potri.010G189000.1	69716	80842	77490	60912	66032	69376	48882	63778
WUAT02000703.1	Potri.006G222500.5	52734	72838	73910	48558	57850	73382	66832	73366
WUAT02000707.1	Potri.010G052500.1	7530	7916	9284	5216	6582	8876	7980	9800
WUAT02000712.1	Potri.011G074150.1	30344	32604	15960	7772	22214	17466	10252	10906
WUAT02000714.1	Potri.004G094850.1	17484	15068	15208	12952	13812	9908	8158	8644
WUAT02000715.1	Potri.013G133550.2	2	122	4	14	162	148	194	146
WUAT02000717.1	Potri.005G208200.1	7718	9800	8514	6944	9488	8326	13758	12456
WUAT02000721.1	Potri.008G013300.1	474	4576	1358	1000	1140	1212	1440	1232
WUAT02000722.1	Potri.011G147700.1	78962	79182	114442	102002	84568	96536	58284	70318
WUAT02000725.1	Potri.013G095100.2	24366	33196	18622	17044	27154	23808	21850	20854
WUAT02000726.1	Potri.013G143400.2	2852	3624	3858	3636	4674	7030	5710	6800
WUAT02000727.1	Potri.005G045500.4	11928	17092	18030	12282	20410	16900	17734	22320
WUAT02000730.1	Potri.006G263100.2	61848	68212	73286	49572	85012	72476	81304	122306
WUAT02000731.1	Potri.001G312800.7	382	46	470	156	828	590	480	926
WUAT02000735.1	Potri.015G082700.1	2756	2450	756	548	878	716	330	328
WUAT02000740.1	Potri.015G112600.1	4128	4326	4218	2128	3458	3666	2970	3784
WUAT02000742.1	Potri.006G122300.4	21324	25582	23258	20590	26886	25200	28198	35280
WUAT02000743.1	Potri.006G222000.1	11336	14742	18384	13810	13284	17006	12980	13022
WUAT02000744.1	Potri.012G058400.2	662	22	80	116	26	136	118	44
WUAT02000748.1	Potri.016G055700.1	43004	46988	32358	29072	41588	30226	47444	33008
WUAT02000752.1	Potri.001G066800.1	23104	26104	24864	16430	28602	24512	24066	27194
WUAT02000754.1	Potri.006G046900.4	1460	1896	1246	1100	3742	1598	2270	3820
WUAT02000756.1	Potri.008G187600.2	9854	11468	8982	7062	11818	11842	9524	12578
WUAT02000757.1	Potri.013G141912.1	3314	2594	4226	2682	5946	5480	5078	7286
WUAT02000762.1	Potri.018G111700.1	1046	1186	1136	858	1152	966	2136	1704
WUAT02000766.1	Potri.009G058000.1	332	624	598	396	402	644	544	628
WUAT02000768.1	Potri.007G061961.1	390	760	966	674	680	508	2234	1496
WUAT02000771.1	Potri.004G052300.1	29838	36130	42848	36560	40100	38354	49904	46938
WUAT02000772.1	Potri.001G466000.2	279808	372442	326770	246594	300544	365190	287250	215850
WUAT02000775.1	Potri.001G207700.4	29574	35792	34774	34466	36114	35072	46710	46892
WUAT02000784.1	Potri.015G007400.2	52064	82380	83868	56276	71624	68500	66194	90098
WUAT02000785.1	Potri.019G039700.1	782	862	668	250	820	450	1094	790
WUAT02000793.1	Potri.007G015500.1	6206	6334	6954	5806	9646	7762	5762	7836
WUAT02000795.1	Potri.006G095800.6	16588	19702	15042	12154	14102	15856	8970	11996
WUAT02000797.1	Potri.004G030500.4	15752	16090	19964	16910	30006	26304	34160	32430
WUAT02000798.1	Potri.006G188500.1	4210	4032	8200	5394	5996	4642	3826	4922
WUAT02000801.1	Potri.014G163400.1	33772	43930	26602	17896	29546	27980	16842	20632
WUAT02000802.1	Potri.002G123500.6	62472	70580	39212	25170	41828	42184	36372	32454
WUAT02000805.1	Potri.007G071350.1	0	0	4	0	0	0	0	4
WUAT02000806.1	Potri.014G018000.4	14218	16536	13866	13104	16536	16440	17172	21276
WUAT02000807.1	Potri.018G084800.1	14266	15868	24222	11918	18020	15402	19014	19022
WUAT02000808.1	Potri.004G176600.1	105050	118230	234894	173888	73684	106990	122874	102614
WUAT02000809.1	Potri.004G022600.1	2	4	4	2	4	0	8	12
WUAT02000811.1	Potri.015G024200.1	30440	33620	28310	12996	38378	28134	23626	27194
WUAT02000813.1	Potri.013G139112.2	2	8	8	16	6	6	2	2
WUAT02000816.1	Potri.011G074150.1	764	1138	676	816	2302	2500	3560	4634
WUAT02000820.1	Potri.016G004900.2	1256	1968	2182	2068	2590	1374	2404	2524
WUAT02000825.1	Potri.005G046300.1	14214	14974	13620	10782	12676	12024	9610	10890
WUAT02000829.1	Potri.011G113575.1	16098	17348	25584	15440	20716	18272	21110	31128
WUAT02000833.1	Potri.011G074067.1	712	128	490	94	306	154	1076	270
WUAT02000840.1	Potri.006G152700.11	8398	10114	3562	1914	4862	3120	3806	5702
WUAT02000842.1	Potri.007G017600.8	32978	34998	31902	25960	34816	39394	29762	38206
WUAT02000846.1	Potri.004G188900.1	51722	65744	76098	57926	54328	59012	60758	72884
WUAT02000847.1	Potri.008G178300.1	506	1018	874	348	1442	1084	886	958
WUAT02000851.1	Potri.013G136466.1	22	64	38	52	64	48	40	40
WUAT02000852.1	Potri.014G098600.7	109270	136092	82420	45832	66932	69836	59854	62948
WUAT02000856.1	Potri.003G058900.1	54934	50810	123014	39554	37706	38482	32434	46638
WUAT02000860.1	Potri.014G170500.2	96	406	120	406	604	132	428	226
WUAT02000862.1	Potri.008G210100.1	1532	1840	1584	1520	1886	1790	1342	1226
WUAT02000865.1	Potri.017G075700.1	5576	5414	5328	3982	9706	5680	7030	8186
WUAT02000866.1	Potri.007G023300.1	2	4	2	18	12	0	2	4
WUAT02000874.1	Potri.004G104201.4	1490	1764	4120	2190	2456	2956	3738	4542
WUAT02000875.1	Potri.001G024800.1	1370	1706	1380	952	1970	1418	2414	1522
WUAT02000877.1	Potri.010G029700.2	17364	20220	17416	12082	16218	19534	13714	11632
WUAT02000879.1	Potri.008G121200.2	28262	32236	18688	9504	19468	15282	11116	14626
WUAT02000880.1	Potri.013G092500.1	12	744	398	6	16	24	544	18
WUAT02000883.1	Potri.005G222900.6	19326	21006	24344	14902	22174	22128	20814	26846
WUAT02000887.1	Potri.008G064700.1	76832	87192	86428	46006	43160	46776	35618	41550
WUAT02000889.1	Potri.014G094300.1	1606	2224	1988	1384	1476	1488	1650	1670
WUAT02000893.1	Potri.013G143400.2	10	2	4	2	16	2	0	6
WUAT02000901.1	Potri.009G147100.3	1132	1582	1414	1064	1802	1552	2086	2786
WUAT02000903.1	Potri.019G052500.5	7296	6710	3444	2922	3584	4186	1176	1228
WUAT02000905.1	Potri.018G143100.5	18708	20330	15950	13692	23672	18858	22574	22538
WUAT02000907.1	Potri.014G066600.1	1564	1454	2396	818	1090	826	1546	1842
WUAT02000914.1	Potri.014G029800.3	16748	25214	22310	19132	24010	22116	29028	33078
WUAT02000915.1	Potri.001G255000.4	10276	15654	13818	10156	13220	11684	14572	18884
WUAT02000917.1	Potri.013G142760.1	1408	1808	2508	918	1702	2698	1344	2750
WUAT02000918.1	Potri.013G143400.2	0	0	4	0	2	2	0	0
WUAT02000919.1	Potri.001G411100.1	32468	33920	36794	23164	34620	25992	27248	32992
WUAT02000926.1	Potri.010G131100.1	22	4	2	14	10	18	66	8
WUAT02000928.1	Potri.007G062602.1	20284	10832	12652	12474	18722	15256	8548	11970
WUAT02000933.1	Potri.008G019800.1	7430	8348	5562	5472	9346	7922	8776	9408
WUAT02000938.1	Potri.013G138201.1	0	6	4	462	4	2	0	22
WUAT02000946.1	Potri.011G074201.1	4714	5388	5362	3946	6650	5074	6812	4892
WUAT02000951.1	Potri.013G143400.2	10948	2284	1296	1182	3556	2676	4106	4286
