Gene_ID	subject_id	B_T1_Rep1	B_T1_Rep2	B_T1_Rep3	B_T1_Rep4	B_T2_Rep1	B_T2_Rep2	B_T2_Rep3	B_T2_Rep4
WUAT02000238.1	Potri.011G044300.1	23552	30576	12954	28692	19456	24276	50446	64836
WUAT02000244.1	Potri.007G061861.1	15190	12326	19166	20212	14992	20088	21142	24162
WUAT02000248.1	Potri.003G183000.1	3670	2262	2346	3974	3536	3702	3424	2948
WUAT02000253.1	Potri.004G165500.1	19994	19680	23264	27062	17770	21736	22394	16532
WUAT02000256.1	Potri.014G175200.4	121936	139590	194330	149108	211088	256786	299158	381222
WUAT02000258.1	Potri.006G095000.2	4728	1880	4324	8076	2556	3110	4716	3764
WUAT02000262.1	Potri.013G143400.2	47288	48872	55934	60856	119372	105030	59592	54808
WUAT02000271.1	Potri.015G037200.1	19732	11692	18966	27442	13680	16700	16972	13152
WUAT02000276.1	Potri.011G074750.1	33304	43682	40988	48596	54974	63218	53128	37510
WUAT02000277.1	Potri.015G127900.1	12	10	10	542	6	152	2	0
WUAT02000280.1	Potri.017G099100.1	9832	2856	7626	11900	4414	2692	4482	3576
WUAT02000282.1	Potri.010G052900.1	774	998	1190	1226	976	894	1122	1782
WUAT02000289.1	Potri.013G142972.1	21258	51570	50100	38282	11492	31972	16930	12954
WUAT02000290.1	Potri.003G185901.1	3034	1116	2828	3644	2076	2946	2578	2846
WUAT02000295.1	Potri.001G222300.1	5380	3530	4834	7098	5112	6822	4864	4576
WUAT02000307.1	Potri.013G143400.2	1926	1208	1892	3068	2182	3066	2356	2272
WUAT02000312.1	Potri.003G039100.5	19370	18778	22844	25670	10992	32196	16566	31214
WUAT02000315.1	Potri.013G154600.1	14648	11514	14614	18386	14798	13608	16514	11132
WUAT02000318.1	Potri.012G031250.1	10	18	0	6	8	12	34	12
WUAT02000325.1	Potri.013G133550.2	29338	43400	33054	40718	74598	96814	64754	35062
WUAT02000327.1	Potri.014G076300.2	52	296	896	104	126	168	360	98
WUAT02000328.1	Potri.007G122100.1	22118	10266	7632	38436	8166	10946	5520	11902
WUAT02000329.1	Potri.014G170500.2	11122	9878	7920	9978	37382	43462	9796	4684
WUAT02000330.1	Potri.010G226000.9	4348	3874	7936	4894	4622	10514	5534	12384
WUAT02000334.1	Potri.008G005200.2	678	480	492	976	848	572	432	166
WUAT02000343.1	Potri.006G222000.1	2214	1624	1938	2440	1378	2280	2956	2006
WUAT02000344.1	Potri.003G018800.1	24504	25394	23264	31886	14810	20924	24250	24174
WUAT02000347.1	Potri.004G213400.1	1648	1480	1094	1992	1228	1290	1534	4938
WUAT02000349.1	Potri.010G088900.1	1078	1766	4200	3272	6196	6608	6426	1652
WUAT02000352.1	Potri.014G044900.5	7080	7450	6568	11340	6566	6288	6584	5246
WUAT02000353.1	Potri.007G062302.2	2116	3910	2780	2452	1880	2262	4052	3338
WUAT02000356.1	Potri.008G224210.1	502	274	296	9666	352	368	346	478
WUAT02000357.1	Potri.008G013500.1	60	38	76	52	100	372	50	106
WUAT02000361.1	Potri.008G206000.4	36760	27778	32730	49506	27544	30942	29360	26914
WUAT02000362.1	Potri.002G149600.1	740	548	760	1042	806	788	610	1138
WUAT02000370.1	Potri.013G133550.2	59230	37164	56756	63738	50796	71988	75386	84848
WUAT02000371.1	Potri.003G077100.5	16746	14910	16074	26136	12056	15980	16546	14480
WUAT02000372.1	Potri.016G059900.3	5174	5286	6590	9800	2166	3374	4028	4954
WUAT02000379.1	Potri.011G094500.2	20600	20792	19820	32398	21040	17754	18994	15944
WUAT02000383.1	Potri.001G418100.1	5282	4594	6488	7940	7354	8206	6986	6354
WUAT02000388.1	Potri.018G076600.3	38860	47424	43108	58258	47788	43746	39042	32066
WUAT02000389.1	Potri.006G199400.1	4702	3700	4324	6192	3056	4630	4668	4988
WUAT02000393.1	Potri.018G068400.1	3870	1846	4124	6514	630	956	378	1200
WUAT02000394.1	Potri.005G140700.4	22184	18840	25176	23270	17536	30950	26806	36288
WUAT02000397.1	Potri.002G230700.3	10752	9406	9694	14064	10268	11314	10130	9026
WUAT02000402.1	Potri.013G073400.1	3496	3428	5664	7478	1032	2858	1554	4060
WUAT02000404.1	Potri.005G233400.1	8220	6576	7488	9690	11792	7872	10102	11188
WUAT02000405.1	Potri.001G159700.1	55668	58028	34338	55702	28258	25464	30904	33050
WUAT02000406.1	Potri.013G139112.2	128996	66078	164554	118822	14434	27958	15026	118618
WUAT02000411.1	Potri.004G040600.1	6218	11922	27896	23926	41652	59594	50146	37996
WUAT02000412.1	Potri.004G031600.3	234	260	194	356	294	336	408	286
WUAT02000415.1	Potri.013G138490.1	21542	27246	27310	32648	20748	28976	31596	27746
WUAT02000419.1	Potri.019G015111.1	6248	5622	5890	10310	6454	6824	8208	4058
WUAT02000420.1	Potri.004G054000.3	30234	31542	41726	40890	47854	36194	40016	37638
WUAT02000429.1	Potri.008G133300.1	15468	16292	17564	22586	16194	19820	20554	17142
WUAT02000430.1	Potri.002G174400.1	5974	5586	4784	9118	5208	4074	4418	5796
WUAT02000433.1	Potri.004G146600.5	197314	131872	200574	254508	225854	167772	201696	129304
WUAT02000437.1	Potri.011G026600.1	115532	97824	102738	142234	108386	162128	138552	95792
WUAT02000438.1	Potri.011G074600.2	5208	4220	5026	6036	3240	4904	4770	5410
WUAT02000439.1	Potri.005G110600.6	18178	11642	12962	18878	13256	14670	14876	14434
WUAT02000441.1	Potri.015G007700.1	13448	9238	11382	17562	11664	12920	13920	11348
WUAT02000442.1	Potri.010G128600.4	44042	43062	39946	60324	54106	48426	46474	42702
WUAT02000444.1	Potri.004G101500.1	4	10	6	26	0	0	0	2
WUAT02000447.1	Potri.013G133550.2	3124	3322	3500	3942	4246	4868	5028	3232
WUAT02000448.1	Potri.019G025700.4	1090	1266	2140	1340	1622	1304	2048	1780
WUAT02000451.1	Potri.008G221801.2	32116	25222	28596	42800	26220	30454	32522	24120
WUAT02000455.1	Potri.006G188700.1	2954	1226	1674	2328	2490	2530	2308	2590
WUAT02000460.1	Potri.001G435900.2	12214	13520	17588	14382	15218	20272	21194	9016
WUAT02000461.1	Potri.008G185200.2	12544	9920	12488	17646	14182	16096	14854	12860
WUAT02000464.1	Potri.018G087800.2	4750	4630	3378	7892	5410	6772	18036	9386
WUAT02000469.1	Potri.016G068900.3	15560	15782	16870	21248	11810	21426	21778	18866
WUAT02000471.1	Potri.011G146800.5	314	232	328	456	222	466	298	288
WUAT02000472.1	Potri.015G103700.1	26506	25486	34036	36076	45896	44144	39218	35150
WUAT02000475.1	Potri.008G062400.1	624	1026	1280	364	1254	1670	1364	1326
WUAT02000478.1	Potri.013G158200.3	35536	24650	29786	43720	14454	24756	20206	23724
WUAT02000484.1	Potri.013G133550.2	1862	1674	1522	2194	2046	2790	1744	2014
WUAT02000487.1	Potri.003G015800.1	22096	14540	21852	29168	22682	31584	26834	21990
WUAT02000492.1	Potri.001G370366.2	2610	2688	4254	3026	3908	4062	4152	2206
WUAT02000496.1	Potri.018G040100.1	18678	13026	18640	34008	11912	12582	10650	13650
WUAT02000500.1	Potri.010G086900.2	2166	6372	5442	7744	6906	11372	6158	3712
WUAT02000501.1	Potri.004G182400.1	244	472	614	710	138	384	274	304
WUAT02000502.1	Potri.013G133550.2	7624	3358	4876	15836	3274	3640	3836	5856
WUAT02000503.1	Potri.016G084900.1	9542	8968	12060	12306	11144	32490	27156	17384
WUAT02000505.1	Potri.014G153000.1	13076	9068	10274	13248	4344	3194	4504	8722
WUAT02000511.1	Potri.008G142400.6	10606	10966	12670	11528	5454	9316	8100	12408
WUAT02000514.1	Potri.012G110800.1	2508	2838	2858	4050	3796	7502	6146	2046
WUAT02000518.1	Potri.001G349300.9	33230	24404	25328	41382	25214	21508	22504	23206
WUAT02000519.1	Potri.004G197000.2	4922	5320	5696	7526	6016	7570	7170	5132
WUAT02000523.1	Potri.012G031250.1	58298	73930	98668	81498	66730	85330	86672	76778
WUAT02000531.1	Potri.001G312800.9	30268	37512	38022	41096	28704	40146	52594	32694
WUAT02000539.1	Potri.013G092500.1	32	44	8	18	108	44	32	86
WUAT02000541.1	Potri.001G312800.7	81450	79812	61306	106446	91672	86912	82798	59238
WUAT02000543.1	Potri.004G059200.2	8952	6534	8262	7918	7124	7498	5596	8448
WUAT02000546.1	Potri.011G075051.1	1220	744	410	1234	338	1586	598	1728
WUAT02000550.1	Potri.002G193700.1	26644	46306	48380	33848	16446	31568	27372	62718
WUAT02000551.1	Potri.013G133550.2	1268	1168	1718	2066	1286	1722	1966	1338
WUAT02000559.1	Potri.001G313900.1	13330	12514	16814	24064	6684	8850	9778	16130
WUAT02000560.1	Potri.012G031250.1	2796	3788	3252	4172	3206	4684	5932	3684
WUAT02000566.1	Potri.013G147200.2	10418	10882	13240	14728	8192	9614	13488	11728
WUAT02000570.1	Potri.002G001900.9	960	1000	1248	1896	310	836	384	864
WUAT02000573.1	Potri.001G359700.6	354	440	430	420	744	1042	584	672
WUAT02000577.1	Potri.007G011200.7	22130	14602	18370	24600	17932	22036	19742	18370
WUAT02000582.1	Potri.012G031250.1	31700	29958	32822	42024	31604	41154	40896	33592
WUAT02000586.1	Potri.005G148900.1	10950	10448	10712	14404	9680	11950	12506	14506
WUAT02000588.1	Potri.005G086100.7	33670	35928	36902	43144	26862	38116	45040	36970
WUAT02000590.1	Potri.006G260200.4	17966	13710	14236	25540	14500	14508	17578	11084
WUAT02000591.1	Potri.013G138100.2	422	280	1024	988	306	1220	1238	206
WUAT02000595.1	Potri.003G072300.10	27592	21806	24258	32496	20302	30728	38794	29346
WUAT02000597.1	Potri.005G212700.1	952	860	692	1152	566	1170	602	686
WUAT02000600.1	Potri.012G062700.1	31206	26692	28840	43064	31946	27910	27108	19664
WUAT02000601.1	Potri.008G177000.7	62	62	30	38	112	88	96	94
WUAT02000602.1	Potri.002G093500.4	4720	2442	2574	5430	714	958	1204	1718
WUAT02000604.1	Potri.009G034500.1	880	754	1360	1216	2044	4652	4406	1570
WUAT02000605.1	Potri.002G090900.5	10988	6698	7124	10090	7758	13266	8732	9730
WUAT02000608.1	Potri.018G139400.1	148	146	158	190	88	588	150	64
WUAT02000610.1	Potri.007G061861.1	13790	22100	14906	13812	6800	13150	11282	16600
WUAT02000613.1	Potri.010G069000.2	43470	38130	31680	44718	32940	39026	41762	27112
WUAT02000618.1	Potri.013G133550.1	2550	3286	4126	2450	1336	1898	3796	1898
WUAT02000626.1	Potri.002G078800.4	10748	10826	11566	14028	10070	13124	12974	10708
WUAT02000628.1	Potri.002G178801.1	904	1946	2108	1872	1662	4686	3094	1574
WUAT02000629.1	Potri.018G067800.2	31536	39362	46366	52308	45008	50056	49396	41688
WUAT02000631.1	Potri.001G243400.1	77046	77208	78226	101634	73222	102452	97408	76244
WUAT02000636.1	Potri.005G213300.6	7076	7488	6248	9540	6956	7432	8890	6374
WUAT02000639.1	Potri.002G109601.10	126	14	32	148	140	338	248	124
WUAT02000640.1	Potri.013G102700.1	13852	11414	11792	16270	10102	8778	16008	6296
WUAT02000641.1	Potri.013G137077.1	4758	4414	5946	9992	2618	10864	6714	7024
WUAT02000644.1	Potri.010G090100.2	3222	1764	3798	4146	1400	1406	1364	3500
WUAT02000645.1	Potri.001G314300.1	61684	64246	72458	88344	62092	82772	80776	77372
WUAT02000648.1	Potri.011G074067.1	6672	314	1564	1780	274	690	136	908
WUAT02000650.1	Potri.003G203100.1	5836	4764	5096	6104	6116	7208	7214	7082
WUAT02000659.1	Potri.008G070600.2	470	374	722	44	372	898	546	178
WUAT02000662.1	Potri.008G085000.1	1384	314	420	2022	664	726	1070	396
WUAT02000667.1	Potri.010G000301.1	7288	4998	5348	7204	5024	6900	6176	4868
WUAT02000669.1	Potri.018G110200.3	9394	6232	8196	8996	7572	11754	6860	12198
WUAT02000676.1	Potri.011G074600.2	26906	23902	24850	35430	23656	31236	31566	24610
WUAT02000681.1	Potri.009G041800.1	6282	7060	6698	9686	8512	12132	9376	5364
WUAT02000685.1	Potri.004G078932.2	1750	1518	1978	2276	1680	2196	1746	2116
WUAT02000687.1	Potri.003G018500.2	3420	2788	3726	4020	2750	3828	3948	2894
WUAT02000689.1	Potri.010G105600.1	12792	15740	15260	16162	15600	20678	17808	15040
WUAT02000690.1	Potri.003G174900.3	38496	31466	43066	46686	43724	49996	71632	36776
WUAT02000694.1	Potri.004G210100.1	67054	112116	89926	87618	85332	109188	128456	52236
WUAT02000695.1	Potri.004G162500.1	35448	35078	37746	47122	32086	41076	44046	40482
WUAT02000699.1	Potri.010G189000.1	95504	78504	89074	104150	60722	64730	63560	64120
WUAT02000703.1	Potri.006G222500.5	69038	70082	80686	97822	58224	74524	68800	69354
WUAT02000707.1	Potri.010G052500.1	5382	8312	9166	9310	9054	10594	8788	5380
WUAT02000712.1	Potri.011G074150.1	29564	23492	24464	37068	9414	13268	9938	15838
WUAT02000714.1	Potri.004G094850.1	20964	9454	10636	21848	11188	8680	10352	11778
WUAT02000715.1	Potri.013G133550.2	62	58	52	44	120	68	164	116
WUAT02000717.1	Potri.005G208200.1	9264	7972	9974	10128	8050	10990	10298	14604
WUAT02000721.1	Potri.008G013300.1	1506	1086	1598	1522	1102	1390	1172	1086
WUAT02000722.1	Potri.011G147700.1	86524	88778	90594	130738	94924	78784	88138	68686
WUAT02000725.1	Potri.013G095100.2	28340	21998	28418	62760	25282	17432	21844	15226
WUAT02000726.1	Potri.013G143400.2	3916	5350	4856	3724	4144	6122	5684	4910
WUAT02000727.1	Potri.005G045500.4	15274	16762	17016	25560	15948	22632	19548	11442
WUAT02000730.1	Potri.006G263100.2	73992	66510	77970	96996	100208	112708	119600	69892
WUAT02000731.1	Potri.001G312800.7	370	528	290	460	390	850	282	172
WUAT02000735.1	Potri.015G082700.1	2272	2184	1274	2312	222	168	204	1598
WUAT02000740.1	Potri.015G112600.1	4914	4036	3656	6480	3402	3688	3770	4632
WUAT02000742.1	Potri.006G122300.4	25310	25038	27042	33482	27116	29536	33094	30486
WUAT02000743.1	Potri.006G222000.1	14052	19086	15526	25188	14354	14006	15256	11260
WUAT02000744.1	Potri.012G058400.2	118	12	146	194	58	174	236	190
WUAT02000748.1	Potri.016G055700.1	41880	32742	43144	61752	29332	43156	46788	51690
WUAT02000752.1	Potri.001G066800.1	24936	24314	25262	33506	25122	28028	28482	20950
WUAT02000754.1	Potri.006G046900.4	2830	850	1272	3748	1600	1760	5502	2870
WUAT02000756.1	Potri.008G187600.2	9846	9718	10054	19636	13276	12572	10002	9196
WUAT02000757.1	Potri.013G141912.1	2646	4032	4584	6056	5894	9000	6810	3674
WUAT02000762.1	Potri.018G111700.1	946	1236	1082	1664	982	1796	1382	806
WUAT02000766.1	Potri.009G058000.1	780	380	612	760	418	656	588	590
WUAT02000768.1	Potri.007G061961.1	934	322	412	302	1120	604	446	1200
WUAT02000771.1	Potri.004G052300.1	39072	37188	44944	51340	42944	50288	55310	47282
WUAT02000772.1	Potri.001G466000.2	314474	354134	274272	504832	303712	267082	308096	244558
WUAT02000775.1	Potri.001G207700.4	34396	36282	39568	47282	28400	45810	55452	43660
WUAT02000784.1	Potri.015G007400.2	66496	63188	70182	97178	76780	86114	83750	53720
WUAT02000785.1	Potri.019G039700.1	916	776	826	758	316	1132	1198	640
WUAT02000793.1	Potri.007G015500.1	6910	4744	5718	7276	7724	8482	7756	6330
WUAT02000795.1	Potri.006G095800.6	18790	13820	16048	26658	11434	12132	13060	14928
WUAT02000797.1	Potri.004G030500.4	15574	24914	19190	32888	23088	31842	29220	21902
WUAT02000798.1	Potri.006G188500.1	5626	5780	6328	11048	6138	5022	4700	3784
WUAT02000801.1	Potri.014G163400.1	38734	22636	33754	53432	22268	20764	22862	29162
WUAT02000802.1	Potri.002G123500.6	65812	74444	63522	71286	20904	42330	27630	65174
WUAT02000805.1	Potri.007G071350.1	0	8	0	2	0	4	0	0
WUAT02000806.1	Potri.014G018000.4	16574	15180	15346	22772	13096	19382	20256	18696
WUAT02000807.1	Potri.018G084800.1	17828	14502	15910	16832	18272	22092	22208	17072
WUAT02000808.1	Potri.004G176600.1	134560	106182	176792	107776	84408	138640	155212	195648
WUAT02000809.1	Potri.004G022600.1	8	2	0	14	14	4	0	2
WUAT02000811.1	Potri.015G024200.1	28270	41178	29010	29566	20312	28890	27646	27516
WUAT02000813.1	Potri.013G139112.2	26	0	22	2	4	2	0	2
WUAT02000816.1	Potri.011G074150.1	754	1702	1312	2334	2724	2448	2542	1502
WUAT02000820.1	Potri.016G004900.2	1742	1842	1822	2394	2216	3458	2998	3056
WUAT02000825.1	Potri.005G046300.1	15344	15732	14846	16636	8466	10724	12748	15402
WUAT02000829.1	Potri.011G113575.1	20712	15406	19348	23768	23364	34490	30158	13836
WUAT02000833.1	Potri.011G074067.1	158	482	168	586	266	594	874	176
WUAT02000840.1	Potri.006G152700.11	9760	10306	7242	10236	2812	3764	4092	6780
WUAT02000842.1	Potri.007G017600.8	35088	32992	32646	48494	30136	43516	38678	43770
WUAT02000846.1	Potri.004G188900.1	53820	56422	98482	72732	73976	98618	87414	75292
WUAT02000847.1	Potri.008G178300.1	426	1014	1228	988	1954	1210	522	1110
WUAT02000851.1	Potri.013G136466.1	34	110	108	76	22	86	30	64
WUAT02000852.1	Potri.014G098600.7	104706	116840	91210	133730	46486	60278	75350	86908
WUAT02000856.1	Potri.003G058900.1	53108	47292	45642	40880	36724	42136	44622	38130
WUAT02000860.1	Potri.014G170500.2	298	160	994	1564	492	158	130	640
WUAT02000862.1	Potri.008G210100.1	1866	1476	1650	3142	1436	1674	1542	1510
WUAT02000865.1	Potri.017G075700.1	6372	4384	6152	7800	5292	9606	7072	5268
WUAT02000866.1	Potri.007G023300.1	26	0	0	14	0	12	0	0
WUAT02000874.1	Potri.004G104201.4	2358	1644	3188	3636	3394	6532	5820	4522
WUAT02000875.1	Potri.001G024800.1	1626	1302	1518	3256	1066	1846	1720	1930
WUAT02000877.1	Potri.010G029700.2	17478	16842	17634	24612	13068	16458	17438	16404
WUAT02000879.1	Potri.008G121200.2	32224	29468	25262	36492	11180	12624	14228	19430
WUAT02000880.1	Potri.013G092500.1	14	12	14	8	520	1014	22	4
WUAT02000883.1	Potri.005G222900.6	20008	21586	25014	29818	22996	27078	25236	19870
WUAT02000887.1	Potri.008G064700.1	81610	56108	73524	90858	31086	46218	37664	67744
WUAT02000889.1	Potri.014G094300.1	2042	1514	1852	3024	1442	1436	1662	1150
WUAT02000893.1	Potri.013G143400.2	8	8	6	0	6	4	4	12
WUAT02000901.1	Potri.009G147100.3	1152	1630	1852	1732	1894	3044	2388	1754
WUAT02000903.1	Potri.019G052500.5	6540	2496	5694	11646	1424	1940	3120	2610
WUAT02000905.1	Potri.018G143100.5	19986	20710	20136	25944	20448	23488	22050	22502
WUAT02000907.1	Potri.014G066600.1	1216	636	1152	1620	804	2064	1950	2428
WUAT02000914.1	Potri.014G029800.3	23766	25316	25308	28334	25388	31662	36418	26332
WUAT02000915.1	Potri.001G255000.4	11500	11958	16236	17762	9342	18320	20910	16958
WUAT02000917.1	Potri.013G142760.1	1922	2114	1378	1218	3338	3620	2876	1116
WUAT02000918.1	Potri.013G143400.2	0	0	8	2	0	0	0	0
WUAT02000919.1	Potri.001G411100.1	35886	30210	38598	45728	30746	32180	32722	21916
WUAT02000926.1	Potri.010G131100.1	6	2	18	18	8	10	2	8
WUAT02000928.1	Potri.007G062602.1	19756	12934	19294	12762	8392	9878	8864	34234
WUAT02000933.1	Potri.008G019800.1	7552	7346	6902	12970	8132	13578	8608	7036
WUAT02000938.1	Potri.013G138201.1	696	210	124	10	98	298	192	604
WUAT02000946.1	Potri.011G074201.1	6176	6150	4414	9166	4900	7022	4606	3534
WUAT02000951.1	Potri.013G143400.2	5354	3868	3044	2300	3548	5434	5852	4470
