Gene_ID	subject_id	A_T1_Rep1	A_T1_Rep2	A_T1_Rep3	A_T1_Rep4	A_T2_Rep1	A_T2_Rep2	A_T2_Rep3	A_T2_Rep4
WUAT02000052.1	Potri.007G062302.1	1462	880	6752	2412	2836	4700	2220	2976
WUAT02000054.1	Potri.006G259600.3	2770	1310	694	2420	2612	2454	1632	1948
WUAT02000055.1	Potri.004G125150.1	78490	49734	67210	54770	62498	47072	59398	61090
WUAT02000059.1	Potri.010G052500.1	127624	92200	110562	90718	158218	108988	122462	74168
WUAT02000060.1	Potri.002G246500.1	23450	22668	25588	24896	22860	13496	34230	23400
WUAT02000064.1	Potri.010G103000.1	18262	16296	16884	19142	17660	24066	34672	28526
WUAT02000068.1	Potri.009G027000.3	61588	49490	39580	46732	29344	37836	46760	37066
WUAT02000069.1	Potri.014G141000.2	89680	72422	68720	89738	69840	104814	118414	125700
WUAT02000073.1	Potri.010G116600.1	12146	9828	9714	9906	7508	7536	9452	7890
WUAT02000078.1	Potri.009G056500.2	21320	22622	19612	20824	19394	22968	26708	18056
WUAT02000082.1	Potri.016G001400.12	5226	8762	8984	5776	4548	7378	7264	6532
WUAT02000084.1	Potri.002G106400.1	22052	19354	24680	20928	21030	23682	28294	30392
WUAT02000086.1	Potri.006G103900.2	18572	12358	14980	16258	18410	44248	27092	22006
WUAT02000087.1	Potri.019G036500.1	13126	10484	12146	8970	14710	11884	17810	15486
WUAT02000089.1	Potri.013G143400.2	30642	30006	26200	51032	31420	26338	60440	40040
WUAT02000091.1	Potri.002G159400.1	2954	5494	3786	4060	5122	7364	10822	7100
WUAT02000092.1	Potri.007G075500.1	86982	10002	38634	20932	47656	39522	47862	38030
WUAT02000093.1	Potri.013G140850.2	0	0	0	0	0	0	0	0
WUAT02000096.1	Potri.018G088300.1	10044	7604	8784	9556	7702	6798	8890	7282
WUAT02000101.1	Potri.010G252000.6	16980	21600	24666	20428	17890	9832	12170	11890
WUAT02000104.1	Potri.008G088900.2	3426	3938	2910	3130	2876	4306	4606	4802
WUAT02000105.1	Potri.002G072100.1	2992	1940	1338	1058	2942	2234	1328	554
WUAT02000109.1	Potri.014G052500.1	40080	37916	35328	33874	37202	38158	53388	43362
WUAT02000114.1	Potri.013G153100.1	8260	5970	4340	6884	6238	11896	11272	14384
WUAT02000117.1	Potri.008G046500.1	490	298	680	744	912	564	1138	896
WUAT02000122.1	Potri.011G050500.1	16754	12502	12736	14628	18386	14562	12122	14258
WUAT02000123.1	Potri.012G095133.1	27352	19540	22340	21688	20814	21594	29366	29004
WUAT02000126.1	Potri.001G230000.4	2382	1102	1814	1522	2564	6334	9968	7490
WUAT02000127.1	Potri.001G174500.5	2090	1454	1864	1670	1608	1450	1130	1450
WUAT02000131.1	Potri.010G052500.1	59770	43906	45410	46676	32546	34662	57030	43266
WUAT02000136.1	Potri.001G312800.7	17122	16236	17552	21322	12352	45798	49114	63908
WUAT02000137.1	Potri.008G221801.2	70	66	138	140	74	52	148	64
WUAT02000139.1	Potri.010G042000.1	1066	602	1282	514	328	376	556	1268
WUAT02000141.1	Potri.005G113600.4	13548	16484	12136	12840	20928	14894	14972	10648
WUAT02000142.1	Potri.012G105800.2	10146	8190	8654	8986	7974	12866	11564	8602
WUAT02000148.1	Potri.006G203300.1	7052	6270	6900	7602	6522	5838	6872	5276
WUAT02000150.1	Potri.011G156900.1	10302	10222	9726	10216	11832	8700	10606	10494
WUAT02000151.1	Potri.014G140400.1	3838	2582	3564	3134	3346	2716	3656	4808
WUAT02000154.1	Potri.001G450401.1	4040	4304	4198	3968	8238	7402	9072	7896
WUAT02000159.1	Potri.005G074200.2	6568	4844	4958	4284	4936	4752	5620	4106
WUAT02000163.1	Potri.005G048700.1	30216	23032	26722	29806	33558	35724	58148	47400
WUAT02000164.1	Potri.001G312800.9	2842	2086	2654	2774	2810	3680	5188	3516
WUAT02000167.1	Potri.005G205400.1	10058	9792	9456	8022	22720	31100	21360	19392
WUAT02000168.1	Potri.014G185804.1	88854	5760	16262	6646	13712	15020	10926	11980
WUAT02000172.1	Potri.007G073100.1	9976	9044	10764	8684	5816	8052	6996	10290
WUAT02000177.1	Potri.013G141912.1	798	812	542	706	574	682	982	1030
WUAT02000182.1	Potri.001G375600.1	14	60	50	82	46	4	8	38
WUAT02000184.1	Potri.002G259600.4	48042	34000	39038	37638	38646	23704	38456	30278
WUAT02000185.1	Potri.015G035500.1	2498	2322	3232	2116	1442	2842	2256	1946
WUAT02000186.1	Potri.012G088500.11	29546	25574	26698	23208	28808	34074	37160	35274
WUAT02000190.1	Potri.012G069000.6	24348	23820	23236	21440	28076	47056	60370	56426
WUAT02000191.1	Potri.001G190200.1	4132	3018	2414	5204	3360	1534	2316	1956
WUAT02000194.1	Potri.016G004900.2	1552	1294	1418	1328	1046	1390	2168	1506
WUAT02000196.1	Potri.013G142232.4	11262	7102	7742	9624	12618	7584	10640	7696
WUAT02000199.1	Potri.006G113300.1	54204	41648	48760	39998	51362	42426	43364	42748
WUAT02000200.1	Potri.006G268200.4	1646	2626	394	282	576	422	658	714
WUAT02000203.1	Potri.005G210000.1	14788	12774	7124	8628	12058	11292	10612	7214
WUAT02000204.1	Potri.011G074868.1	358	136	330	154	246	278	454	1204
WUAT02000205.1	Potri.007G147100.1	9578	8906	9722	8570	10480	8698	9836	9122
WUAT02000208.1	Potri.007G061721.1	12928	11086	13736	9476	11438	14056	17456	15816
WUAT02000209.1	Potri.006G185000.1	62892	66364	73104	67572	38314	55624	72438	68160
WUAT02000212.1	Potri.006G230400.5	1868	2218	1974	2158	1438	1696	2832	1718
WUAT02000217.1	Potri.001G370300.2	45370	31960	34858	38130	38030	37982	45942	41358
WUAT02000230.1	Potri.013G162600.1	400	726	312	350	576	458	802	322
WUAT02000231.1	Potri.005G060300.2	872	742	1042	1088	934	2426	2608	2888
WUAT02000233.1	Potri.015G009200.4	28814	24364	26712	22528	27096	23024	40790	30076
WUAT02000234.1	Potri.008G005000.1	1748	788	1050	1306	1452	2748	2308	3434
WUAT02000235.1	Potri.010G052500.1	31494	20332	26090	23836	25284	30062	30298	28816
WUAT02000238.1	Potri.011G044300.1	22786	13288	33624	16150	28510	36582	46438	39352
WUAT02000244.1	Potri.007G061861.1	15974	14222	18438	16784	14072	16408	29636	25416
WUAT02000248.1	Potri.003G183000.1	4064	2324	2980	3046	2640	3284	3698	3522
WUAT02000253.1	Potri.004G165500.1	20374	17372	18924	17572	17278	17402	22158	20144
WUAT02000256.1	Potri.014G175200.4	154154	155018	184362	172814	142736	279986	328758	280350
WUAT02000258.1	Potri.006G095000.2	4238	4908	6000	3810	3902	2108	2332	3610
WUAT02000262.1	Potri.013G143400.2	52908	42830	52428	49344	46238	106500	138474	128964
WUAT02000271.1	Potri.015G037200.1	20136	16280	13548	16716	19530	16610	19250	13372
WUAT02000276.1	Potri.011G074750.1	36262	28074	32080	31828	44530	42004	60918	53368
WUAT02000277.1	Potri.015G127900.1	130	6	4	2	6	16	94	284
WUAT02000280.1	Potri.017G099100.1	9634	5384	6718	4522	5782	3196	5498	3980
WUAT02000282.1	Potri.010G052900.1	826	962	700	772	876	808	1200	1354
WUAT02000289.1	Potri.013G142972.1	26816	12612	57872	12094	18746	11578	33554	22642
WUAT02000290.1	Potri.003G185901.1	2508	2762	2596	2960	2940	3128	4354	3170
WUAT02000295.1	Potri.001G222300.1	6000	4582	3534	3940	5384	4884	5538	5878
WUAT02000307.1	Potri.013G143400.2	2266	1518	1946	1918	1428	2378	3626	2580
WUAT02000312.1	Potri.003G039100.5	20464	15892	22840	17256	14962	13070	23580	20818
WUAT02000315.1	Potri.013G154600.1	13374	13408	11806	11506	14650	11998	16716	12022
WUAT02000318.1	Potri.012G031250.1	14	16	18	20	14	36	94	20
WUAT02000325.1	Potri.013G133550.2	26616	20478	18406	30796	50272	62952	75440	71322
WUAT02000327.1	Potri.014G076300.2	662	198	134	450	72	318	346	88
WUAT02000328.1	Potri.007G122100.1	14170	14084	21462	20468	25858	7840	6746	11924
WUAT02000329.1	Potri.014G170500.2	2842	6088	4510	2752	25548	11170	11532	29024
WUAT02000330.1	Potri.010G226000.9	4576	5726	4994	5864	2688	11816	16840	6884
WUAT02000334.1	Potri.008G005200.2	228	646	442	188	664	820	694	618
WUAT02000343.1	Potri.006G222000.1	2310	1960	2670	1410	1334	1940	1560	1636
WUAT02000344.1	Potri.003G018800.1	20598	13790	20400	20304	21478	19840	27564	21388
WUAT02000347.1	Potri.004G213400.1	1208	2914	1910	1980	3348	1638	1586	934
WUAT02000349.1	Potri.010G088900.1	1282	1412	1006	968	2698	8034	3380	4110
WUAT02000352.1	Potri.014G044900.5	6532	5878	7958	7010	8244	6278	6252	6390
WUAT02000353.1	Potri.007G062302.2	2498	2292	2328	2156	1776	2272	2986	3608
WUAT02000356.1	Potri.008G224210.1	386	310	380	8020	410	414	344	374
WUAT02000357.1	Potri.008G013500.1	102	56	36	78	84	82	96	104
WUAT02000361.1	Potri.008G206000.4	37244	25604	28336	31182	25708	27810	34068	28354
WUAT02000362.1	Potri.002G149600.1	1436	766	562	632	430	528	900	1156
WUAT02000370.1	Potri.013G133550.2	78752	41218	50152	42018	44628	80718	93316	69596
WUAT02000371.1	Potri.003G077100.5	17756	14880	14592	13016	16652	14370	18004	15366
WUAT02000372.1	Potri.016G059900.3	5542	4602	5148	4190	5594	4554	4220	3582
WUAT02000379.1	Potri.011G094500.2	21576	17308	19704	16940	13770	15812	24808	21068
WUAT02000383.1	Potri.001G418100.1	5598	5374	4904	3964	5768	6258	7476	6386
WUAT02000388.1	Potri.018G076600.3	44424	32582	39072	35196	27676	35536	45046	39312
WUAT02000389.1	Potri.006G199400.1	3848	5074	3310	3616	4728	3530	5732	4162
WUAT02000393.1	Potri.018G068400.1	4096	4060	4198	3156	1792	348	840	516
WUAT02000394.1	Potri.005G140700.4	23148	17874	23670	22070	14730	26800	30614	32012
WUAT02000397.1	Potri.002G230700.3	11768	8154	10854	8618	8634	9620	13122	11278
WUAT02000402.1	Potri.013G073400.1	2468	3078	4146	3934	1586	1438	1832	1586
WUAT02000404.1	Potri.005G233400.1	7102	7626	7278	6324	5408	10184	10346	10016
WUAT02000405.1	Potri.001G159700.1	27964	29540	48472	33216	40350	28326	29762	25540
WUAT02000406.1	Potri.013G139112.2	146050	122554	165576	170128	21904	13594	68982	53466
WUAT02000411.1	Potri.004G040600.1	16372	13436	7528	10802	6000	79988	49712	73234
WUAT02000412.1	Potri.004G031600.3	374	178	216	300	176	282	476	424
WUAT02000415.1	Potri.013G138490.1	22758	20798	19538	22118	22160	25946	32256	30808
WUAT02000419.1	Potri.019G015111.1	5214	5354	5744	5806	6216	6474	5576	5870
WUAT02000420.1	Potri.004G054000.3	34678	38080	33610	28440	28628	31344	41210	35496
WUAT02000429.1	Potri.008G133300.1	17908	14328	13494	14722	15262	16958	22670	20306
WUAT02000430.1	Potri.002G174400.1	3908	5358	5508	3524	5746	4764	4968	5038
WUAT02000433.1	Potri.004G146600.5	243980	143836	149426	182256	220866	179766	248166	148112
WUAT02000437.1	Potri.011G026600.1	146590	87874	94786	86538	138224	148986	158660	151802
WUAT02000438.1	Potri.011G074600.2	5562	4680	4808	4252	4248	4184	5930	4854
WUAT02000439.1	Potri.005G110600.6	15432	13088	13286	10826	14102	10606	16318	10718
WUAT02000441.1	Potri.015G007700.1	14468	10058	11670	10252	12526	13322	17224	14544
WUAT02000442.1	Potri.010G128600.4	48280	51168	44854	45996	53788	45662	56834	53940
WUAT02000444.1	Potri.004G101500.1	4	2	6	6	4	2	6	0
WUAT02000447.1	Potri.013G133550.2	3188	2512	2366	2336	3104	4436	4890	4766
WUAT02000448.1	Potri.019G025700.4	1444	1084	1606	742	858	1506	1806	2204
WUAT02000451.1	Potri.008G221801.2	29560	20550	25750	25412	31062	28634	38756	29882
WUAT02000455.1	Potri.006G188700.1	2902	2360	1788	2126	1546	1992	2098	2258
WUAT02000460.1	Potri.001G435900.2	17316	10522	12516	8992	14038	17332	14356	13512
WUAT02000461.1	Potri.008G185200.2	12580	10950	9690	11204	9402	13626	17454	12002
WUAT02000464.1	Potri.018G087800.2	4728	3814	4664	3842	11024	9880	10076	10476
WUAT02000469.1	Potri.016G068900.3	17222	13384	13828	14896	12618	17178	20768	23738
WUAT02000471.1	Potri.011G146800.5	322	320	342	344	450	232	398	274
WUAT02000472.1	Potri.015G103700.1	22490	22668	24492	24106	39950	43326	45034	54022
WUAT02000475.1	Potri.008G062400.1	462	1116	1064	648	504	1630	1512	1792
WUAT02000478.1	Potri.013G158200.3	39072	24032	35956	30322	40938	18766	24372	18790
WUAT02000484.1	Potri.013G133550.2	1690	1214	1716	1532	1870	1952	3012	2822
WUAT02000487.1	Potri.003G015800.1	21092	13130	17210	24332	20258	28314	29622	26822
WUAT02000492.1	Potri.001G370366.2	2426	1558	2058	2014	2124	4712	5348	3586
WUAT02000496.1	Potri.018G040100.1	19496	16780	25988	19780	66374	9802	13922	12508
WUAT02000500.1	Potri.010G086900.2	2584	2080	3998	4792	6236	5872	6404	9174
WUAT02000501.1	Potri.004G182400.1	242	8	444	402	328	360	732	478
WUAT02000502.1	Potri.013G133550.2	5904	8906	5964	8500	5060	5016	1946	10164
WUAT02000503.1	Potri.016G084900.1	14092	7468	8340	16850	8702	29430	25072	29694
WUAT02000505.1	Potri.014G153000.1	7352	8112	11734	7494	9534	5182	4696	4834
WUAT02000511.1	Potri.008G142400.6	10574	8506	8758	11606	7822	7072	14238	12304
WUAT02000514.1	Potri.012G110800.1	2822	2392	2804	3202	3016	5166	4188	5188
WUAT02000518.1	Potri.001G349300.9	32666	21800	29716	28250	23638	20294	25308	22820
WUAT02000519.1	Potri.004G197000.2	4608	4488	5420	4582	5082	7134	7950	7548
WUAT02000523.1	Potri.012G031250.1	90676	88580	73532	87082	51022	65010	96760	85902
WUAT02000531.1	Potri.001G312800.9	28352	30016	33074	29636	32960	41106	41716	41506
WUAT02000539.1	Potri.013G092500.1	40	10	38	6	44	38	92	76
WUAT02000541.1	Potri.001G312800.7	86248	54294	75570	76342	83662	88586	111626	97234
WUAT02000543.1	Potri.004G059200.2	8234	8088	6748	5652	14844	7254	9868	6852
WUAT02000546.1	Potri.011G075051.1	1468	1118	256	1016	1244	1774	2984	794
WUAT02000550.1	Potri.002G193700.1	18370	17552	72174	20448	25552	14838	33520	53148
WUAT02000551.1	Potri.013G133550.2	912	1030	1104	1058	1872	1538	1946	1054
WUAT02000559.1	Potri.001G313900.1	10174	11012	12546	12200	11506	7754	9102	10066
WUAT02000560.1	Potri.012G031250.1	2908	2226	2334	3448	2782	3750	6030	3582
WUAT02000566.1	Potri.013G147200.2	7868	9748	11242	8490	9618	9204	15750	8604
WUAT02000570.1	Potri.002G001900.9	644	1086	946	1054	314	506	514	456
WUAT02000573.1	Potri.001G359700.6	480	332	364	324	258	430	1068	500
WUAT02000577.1	Potri.007G011200.7	22674	15228	18026	15742	16804	17668	22650	24080
WUAT02000582.1	Potri.012G031250.1	31772	27104	28012	27034	29758	39448	42978	37810
WUAT02000586.1	Potri.005G148900.1	11444	9276	13996	9534	8980	10374	13234	12786
WUAT02000588.1	Potri.005G086100.7	36606	30116	28868	30436	31598	36634	43538	38026
WUAT02000590.1	Potri.006G260200.4	18708	13668	15734	17672	16394	13562	13210	21574
WUAT02000591.1	Potri.013G138100.2	842	168	926	106	196	1026	1916	2300
WUAT02000595.1	Potri.003G072300.10	27636	22354	20972	22032	25326	26376	32826	32274
WUAT02000597.1	Potri.005G212700.1	1270	360	826	588	446	934	486	576
WUAT02000600.1	Potri.012G062700.1	31324	22960	27236	25150	25868	23704	29982	26996
WUAT02000601.1	Potri.008G177000.7	30	16	84	46	94	154	258	208
WUAT02000602.1	Potri.002G093500.4	3618	2582	3144	3216	4104	852	990	608
WUAT02000604.1	Potri.009G034500.1	1196	814	1068	988	696	4684	3664	5250
WUAT02000605.1	Potri.002G090900.5	10626	5740	8316	6624	8808	8594	9544	10794
WUAT02000608.1	Potri.018G139400.1	748	90	328	430	186	208	318	334
WUAT02000610.1	Potri.007G061861.1	11242	17878	15702	14356	6700	8686	13762	13446
WUAT02000613.1	Potri.010G069000.2	37302	27132	30586	30656	38668	36868	37298	36864
WUAT02000618.1	Potri.013G133550.1	464	1534	2118	928	1330	2330	3046	1268
WUAT02000626.1	Potri.002G078800.4	9938	9002	9992	9008	10942	11594	13820	13384
WUAT02000628.1	Potri.002G178801.1	1258	1142	1330	1170	1952	2708	2520	2072
WUAT02000629.1	Potri.018G067800.2	43064	38966	36068	37712	30052	41182	58338	40520
WUAT02000631.1	Potri.001G243400.1	77680	64426	68956	68890	71258	82414	103404	98046
WUAT02000636.1	Potri.005G213300.6	7418	5756	6016	5342	7404	6376	8076	8736
WUAT02000639.1	Potri.002G109601.10	92	92	62	100	114	240	152	228
WUAT02000640.1	Potri.013G102700.1	14506	11946	10816	7208	12776	10018	9790	6248
WUAT02000641.1	Potri.013G137077.1	8584	5838	4000	7808	3768	4856	8230	7286
WUAT02000644.1	Potri.010G090100.2	2360	3162	2804	2834	1938	1078	2110	1506
WUAT02000645.1	Potri.001G314300.1	65894	53582	60442	57960	61468	86784	112702	94378
WUAT02000648.1	Potri.011G074067.1	902	3524	2212	3150	1978	258	650	726
WUAT02000650.1	Potri.003G203100.1	5836	5044	4878	4386	5876	7364	8024	7758
WUAT02000659.1	Potri.008G070600.2	860	804	620	128	470	460	386	96
WUAT02000662.1	Potri.008G085000.1	430	474	976	1032	722	642	1538	900
WUAT02000667.1	Potri.010G000301.1	6654	4162	4424	3990	7966	7104	9834	7296
WUAT02000669.1	Potri.018G110200.3	8480	5782	5672	7190	6066	8766	11982	9796
WUAT02000676.1	Potri.011G074600.2	26428	20428	22886	20904	26506	30702	31624	33184
WUAT02000681.1	Potri.009G041800.1	6662	3444	4750	7320	7636	6726	10226	11038
WUAT02000685.1	Potri.004G078932.2	2056	1394	1888	1880	1598	1616	2030	1896
WUAT02000687.1	Potri.003G018500.2	3270	2854	2554	2778	2952	3906	4316	5196
WUAT02000689.1	Potri.010G105600.1	12906	11418	12254	11022	14128	19562	19050	19404
WUAT02000690.1	Potri.003G174900.3	37312	34044	34672	29572	44908	70578	53080	57534
WUAT02000694.1	Potri.004G210100.1	83420	71176	116916	53634	66132	68970	124132	72042
WUAT02000695.1	Potri.004G162500.1	35178	28462	33500	27958	34196	42626	48430	49660
WUAT02000699.1	Potri.010G189000.1	93850	82592	85114	78842	52664	56304	75344	60588
WUAT02000703.1	Potri.006G222500.5	82226	56148	64608	57184	50674	55660	85872	77204
WUAT02000707.1	Potri.010G052500.1	8194	6926	7334	6172	6428	9026	8264	10756
WUAT02000712.1	Potri.011G074150.1	16088	15746	24218	19716	17460	10124	15792	14226
WUAT02000714.1	Potri.004G094850.1	18622	10984	13976	13116	27774	8422	8614	11590
WUAT02000715.1	Potri.013G133550.2	46	32	46	80	26	32	234	14
WUAT02000717.1	Potri.005G208200.1	8000	8020	8508	7850	8900	9672	13094	16244
WUAT02000721.1	Potri.008G013300.1	626	2846	1160	1430	1242	1630	9656	864
WUAT02000722.1	Potri.011G147700.1	114004	75462	102802	87942	67506	79890	115310	90658
WUAT02000725.1	Potri.013G095100.2	25714	27816	28472	28212	22940	18008	26548	21254
WUAT02000726.1	Potri.013G143400.2	4038	2798	4006	3064	5528	4406	5966	5970
WUAT02000727.1	Potri.005G045500.4	15204	11260	12944	11678	18310	22762	23740	19202
WUAT02000730.1	Potri.006G263100.2	82038	61096	66474	65116	63702	109544	113476	113262
WUAT02000731.1	Potri.001G312800.7	228	518	640	420	358	282	68	452
WUAT02000735.1	Potri.015G082700.1	1448	1122	2688	1618	1254	220	274	1488
WUAT02000740.1	Potri.015G112600.1	5514	3550	3074	2976	5550	3558	4848	3612
WUAT02000742.1	Potri.006G122300.4	23402	21020	22954	20432	24180	34132	41512	39110
WUAT02000743.1	Potri.006G222000.1	17936	12184	14266	15098	13754	12648	19060	15798
WUAT02000744.1	Potri.012G058400.2	68	94	62	168	72	112	138	44
WUAT02000748.1	Potri.016G055700.1	39978	26756	40418	31070	29754	32744	59520	57704
WUAT02000752.1	Potri.001G066800.1	24298	18710	25184	19806	22858	28022	28480	21612
WUAT02000754.1	Potri.006G046900.4	2028	1418	1402	1290	4210	3020	3026	2480
WUAT02000756.1	Potri.008G187600.2	12062	9214	9122	11490	9762	9922	14592	11000
WUAT02000757.1	Potri.013G141912.1	4078	2714	4006	3104	3490	7358	4582	5602
WUAT02000762.1	Potri.018G111700.1	948	982	1114	690	1140	1200	1674	1780
WUAT02000766.1	Potri.009G058000.1	776	558	758	462	534	542	612	532
WUAT02000768.1	Potri.007G061961.1	288	148	1094	96	1172	550	1454	440
WUAT02000771.1	Potri.004G052300.1	36720	34892	35458	38336	41518	49802	58730	57156
WUAT02000772.1	Potri.001G466000.2	381182	188704	359640	291744	264954	263962	401770	305048
WUAT02000775.1	Potri.001G207700.4	35262	31902	31192	28930	35136	47662	51528	48464
WUAT02000784.1	Potri.015G007400.2	75918	53520	59194	56618	69818	93538	110046	92910
WUAT02000785.1	Potri.019G039700.1	548	928	718	522	616	1196	1558	534
WUAT02000793.1	Potri.007G015500.1	6634	5430	5660	5058	6152	5110	8404	8772
WUAT02000795.1	Potri.006G095800.6	19848	14848	17120	13896	16076	11676	14860	14834
WUAT02000797.1	Potri.004G030500.4	14982	12366	16948	17802	26906	28492	31394	38260
WUAT02000798.1	Potri.006G188500.1	6390	7892	5166	7340	5036	6206	9426	4828
WUAT02000801.1	Potri.014G163400.1	35832	33850	39538	28442	28498	18338	24656	19082
WUAT02000802.1	Potri.002G123500.6	40588	47476	59478	50574	40554	25098	38422	31482
WUAT02000805.1	Potri.007G071350.1	0	2	0	4	0	6	0	8
WUAT02000806.1	Potri.014G018000.4	16140	13916	15314	13924	16192	18638	19008	24028
WUAT02000807.1	Potri.018G084800.1	22514	14498	16230	15908	12964	18298	22832	21564
WUAT02000808.1	Potri.004G176600.1	126388	144470	145824	175734	92800	117688	137278	170322
WUAT02000809.1	Potri.004G022600.1	10	2	2	8	2	0	2	2
WUAT02000811.1	Potri.015G024200.1	25234	22970	29136	20478	28554	28734	44450	33062
WUAT02000813.1	Potri.013G139112.2	12	16	14	2	24	6	6	8
WUAT02000816.1	Potri.011G074150.1	1054	810	760	1234	984	1948	2880	4866
WUAT02000820.1	Potri.016G004900.2	2230	1418	1596	1964	1550	2696	2794	4482
WUAT02000825.1	Potri.005G046300.1	12594	13056	15698	11452	13524	9824	13720	11876
WUAT02000829.1	Potri.011G113575.1	18192	13074	18090	13308	20608	28396	24548	31114
WUAT02000833.1	Potri.011G074067.1	882	574	212	834	220	506	876	670
WUAT02000840.1	Potri.006G152700.11	4794	5180	7728	4746	5660	4016	3410	4538
WUAT02000842.1	Potri.007G017600.8	38228	27626	31634	34532	30642	37354	46262	40418
WUAT02000846.1	Potri.004G188900.1	54934	69140	73758	60264	45900	85258	90546	64716
WUAT02000847.1	Potri.008G178300.1	978	614	376	568	414	692	1254	1084
WUAT02000851.1	Potri.013G136466.1	48	36	40	26	64	50	24	76
WUAT02000852.1	Potri.014G098600.7	84628	71706	97976	88378	71098	58682	70272	72490
WUAT02000856.1	Potri.003G058900.1	59508	47778	50166	57704	44138	39430	46202	36892
WUAT02000860.1	Potri.014G170500.2	1016	528	112	1712	1232	454	136	1088
WUAT02000862.1	Potri.008G210100.1	1946	1284	1888	1784	1412	1486	2180	1980
WUAT02000865.1	Potri.017G075700.1	5190	5440	5808	4772	7970	5716	8342	5588
WUAT02000866.1	Potri.007G023300.1	4	8	12	12	10	0	0	4
WUAT02000874.1	Potri.004G104201.4	3388	2244	2290	2640	2248	4930	5268	4900
WUAT02000875.1	Potri.001G024800.1	2174	1546	1700	2000	1908	1646	2414	1594
WUAT02000877.1	Potri.010G029700.2	17682	16510	18606	16914	17306	12350	14148	13204
WUAT02000879.1	Potri.008G121200.2	15184	21330	26434	22574	19746	9812	14672	12550
WUAT02000880.1	Potri.013G092500.1	2	4	24	8	6	722	6	22
WUAT02000883.1	Potri.005G222900.6	20602	18800	17536	19006	19582	21258	24512	22154
WUAT02000887.1	Potri.008G064700.1	88636	72644	83598	61840	39040	36546	45680	40418
WUAT02000889.1	Potri.014G094300.1	2170	1882	1752	1646	1466	1422	1448	1846
WUAT02000893.1	Potri.013G143400.2	6	0	0	4	6	26	4	34
WUAT02000901.1	Potri.009G147100.3	1862	1388	1584	1226	1528	2654	2374	2242
WUAT02000903.1	Potri.019G052500.5	5900	5114	6560	4844	3798	1866	7206	1856
WUAT02000905.1	Potri.018G143100.5	20680	12508	18732	16178	19946	20602	25324	27362
WUAT02000907.1	Potri.014G066600.1	1778	952	1446	1216	878	1722	2088	3382
WUAT02000914.1	Potri.014G029800.3	18886	16618	20290	17934	25214	36988	29300	37788
WUAT02000915.1	Potri.001G255000.4	11348	13250	11154	10286	11846	14176	17090	17044
WUAT02000917.1	Potri.013G142760.1	1428	1128	1336	1184	2052	5240	2592	2612
WUAT02000918.1	Potri.013G143400.2	4	0	6	0	0	0	6	0
WUAT02000919.1	Potri.001G411100.1	37696	25480	31666	27590	32806	31742	35674	34434
WUAT02000926.1	Potri.010G131100.1	8	14	2	6	4	0	16	8
WUAT02000928.1	Potri.007G062602.1	12848	10254	15798	11400	18150	8856	17390	12034
WUAT02000933.1	Potri.008G019800.1	7208	4458	5198	4996	8916	6112	10210	11644
WUAT02000938.1	Potri.013G138201.1	174	622	184	198	460	2	12	10
WUAT02000946.1	Potri.011G074201.1	6484	4490	4830	4986	4468	3862	5224	6872
WUAT02000951.1	Potri.013G143400.2	6356	7408	6034	5142	2120	3146	580	980
