Gene_ID	subject_id	E_T1_Rep1	E_T1_Rep2	E_T1_Rep3	E_T1_Rep4	E_T2_Rep1	E_T2_Rep2	E_T2_Rep3	E_T2_Rep4
WUAT02000101.1	Potri.010G252000.6	31436	20146	26926	29342	31896	9264	18908	30920
WUAT02000104.1	Potri.008G088900.2	4146	3418	4088	3356	3286	4186	4164	3912
WUAT02000105.1	Potri.002G072100.1	2308	102	2172	436	1306	2582	4790	696
WUAT02000109.1	Potri.014G052500.1	46174	29420	37776	32768	42140	38996	55372	46402
WUAT02000114.1	Potri.013G153100.1	6060	4294	4552	4954	7470	15298	8576	6740
WUAT02000117.1	Potri.008G046500.1	398	596	530	168	602	1074	756	838
WUAT02000122.1	Potri.011G050500.1	11564	12776	11778	9736	25288	13606	16878	14778
WUAT02000123.1	Potri.012G095133.1	25862	18998	21272	18658	18818	20040	25580	23828
WUAT02000126.1	Potri.001G230000.4	1186	1312	1474	1230	2130	10250	5022	1986
WUAT02000127.1	Potri.001G174500.5	2040	1482	2194	1378	2484	1222	3064	2528
WUAT02000131.1	Potri.010G052500.1	45260	39874	49926	30870	35434	25752	66538	55052
WUAT02000136.1	Potri.001G312800.7	12560	21436	15332	12276	10168	63256	25086	16274
WUAT02000137.1	Potri.008G221801.2	62	74	146	204	194	108	142	168
WUAT02000139.1	Potri.010G042000.1	674	504	786	292	1010	928	1734	876
WUAT02000141.1	Potri.005G113600.4	14274	13082	14662	9830	36662	8496	9614	13550
WUAT02000142.1	Potri.012G105800.2	10586	6940	9688	8674	9484	11568	9530	10774
WUAT02000148.1	Potri.006G203300.1	13078	4844	8358	7822	8920	4744	6078	7224
WUAT02000150.1	Potri.011G156900.1	9738	7816	9344	8452	8792	8696	13264	9704
WUAT02000151.1	Potri.014G140400.1	2940	3060	3476	2396	3218	2436	3574	3674
WUAT02000154.1	Potri.001G450401.1	5148	6352	8044	3724	5248	5886	6990	5742
WUAT02000159.1	Potri.005G074200.2	5554	4408	4744	3258	3704	3428	6634	6194
WUAT02000163.1	Potri.005G048700.1	26344	22820	25050	20364	26134	44006	39294	32492
WUAT02000164.1	Potri.001G312800.9	2758	2354	2726	1170	2290	4196	3746	2946
WUAT02000167.1	Potri.005G205400.1	11832	11742	11818	5758	12788	18046	16494	11340
WUAT02000168.1	Potri.014G185804.1	12072	11062	10646	23990	13368	12498	18518	15842
WUAT02000172.1	Potri.007G073100.1	12144	7984	11194	10032	11378	9972	7438	11658
WUAT02000177.1	Potri.013G141912.1	646	826	848	804	974	952	996	926
WUAT02000182.1	Potri.001G375600.1	14	50	50	18	0	56	2	46
WUAT02000184.1	Potri.002G259600.4	43790	35000	41020	35632	42714	25266	39950	46600
WUAT02000185.1	Potri.015G035500.1	2398	2400	2280	5614	1976	2242	2508	1582
WUAT02000186.1	Potri.012G088500.11	24518	26472	26354	25048	23454	30148	29914	27240
WUAT02000190.1	Potri.012G069000.6	21648	15630	23752	17156	48320	63484	27958	23888
WUAT02000191.1	Potri.001G190200.1	3062	2740	3578	2872	2936	2702	2416	4764
WUAT02000194.1	Potri.016G004900.2	1048	1146	1294	924	1090	1162	1932	1694
WUAT02000196.1	Potri.013G142232.4	21266	6540	9370	6756	12512	6486	13172	12182
WUAT02000199.1	Potri.006G113300.1	51382	40182	40726	46550	42582	33644	51114	49366
WUAT02000200.1	Potri.006G268200.4	454	552	1084	436	704	1150	2854	656
WUAT02000203.1	Potri.005G210000.1	19602	9552	11712	15764	9954	8136	9038	13148
WUAT02000204.1	Potri.011G074868.1	282	122	388	356	190	328	532	284
WUAT02000205.1	Potri.007G147100.1	10942	8140	11040	11216	10180	8868	8654	10226
WUAT02000208.1	Potri.007G061721.1	12124	12194	17722	11196	16410	12482	13034	14368
WUAT02000209.1	Potri.006G185000.1	60068	52940	68882	47782	57362	37366	78488	75148
WUAT02000212.1	Potri.006G230400.5	2086	1424	2526	2040	1848	2366	2402	2100
WUAT02000217.1	Potri.001G370300.2	42144	32672	38456	30924	33600	29998	45860	42778
WUAT02000230.1	Potri.013G162600.1	180	696	382	290	1814	796	288	528
WUAT02000231.1	Potri.005G060300.2	766	1038	804	458	572	2434	1352	924
WUAT02000233.1	Potri.015G009200.4	30792	23972	27532	24478	36848	42810	28562	32408
WUAT02000234.1	Potri.008G005000.1	1248	1272	1242	858	2110	4230	1690	942
WUAT02000235.1	Potri.010G052500.1	22806	19774	25858	25490	23644	29168	24074	26936
WUAT02000238.1	Potri.011G044300.1	22620	21200	22034	26578	16498	40796	22932	16426
WUAT02000244.1	Potri.007G061861.1	14262	15742	14276	16516	12690	30878	16872	19698
WUAT02000248.1	Potri.003G183000.1	3394	2360	3058	3036	2960	4584	3288	3074
WUAT02000253.1	Potri.004G165500.1	19326	14978	18690	14514	17970	16806	23446	20338
WUAT02000256.1	Potri.014G175200.4	121930	161432	133322	160372	104948	239216	173100	133586
WUAT02000258.1	Potri.006G095000.2	3612	3506	4810	3250	3546	1500	7746	6444
WUAT02000262.1	Potri.013G143400.2	55250	37354	46976	45070	50010	112550	84598	45256
WUAT02000271.1	Potri.015G037200.1	17382	13090	15638	11898	19108	14554	19732	16630
WUAT02000276.1	Potri.011G074750.1	25036	28778	30564	18914	27610	46304	52158	34726
WUAT02000277.1	Potri.015G127900.1	104	24	8	6	2	4	2	14
WUAT02000280.1	Potri.017G099100.1	10978	6040	6048	4126	9572	2950	3276	5992
WUAT02000282.1	Potri.010G052900.1	704	1408	686	502	664	3778	912	906
WUAT02000289.1	Potri.013G142972.1	24432	14290	53066	18554	23528	24566	58028	46164
WUAT02000290.1	Potri.003G185901.1	2974	2626	2594	1896	2468	3700	2304	3396
WUAT02000295.1	Potri.001G222300.1	4724	3938	4750	3718	4926	6522	4834	4814
WUAT02000307.1	Potri.013G143400.2	2418	1698	1872	1520	1634	2130	2242	2194
WUAT02000312.1	Potri.003G039100.5	22424	16270	17986	15730	20448	36188	28240	32800
WUAT02000315.1	Potri.013G154600.1	13142	10804	17866	9356	8860	11926	16620	15278
WUAT02000318.1	Potri.012G031250.1	34	12	10	10	8	76	16	6
WUAT02000325.1	Potri.013G133550.2	19650	21396	26612	17890	41624	86296	49428	37060
WUAT02000327.1	Potri.014G076300.2	102	238	130	50	136	216	462	292
WUAT02000328.1	Potri.007G122100.1	23742	20010	29308	26566	27836	20018	17376	33058
WUAT02000329.1	Potri.014G170500.2	9096	6702	6812	8950	7330	25068	12322	14892
WUAT02000330.1	Potri.010G226000.9	3600	6212	4220	3474	4066	11702	2932	4556
WUAT02000334.1	Potri.008G005200.2	590	448	468	484	464	736	596	260
WUAT02000343.1	Potri.006G222000.1	1674	1716	1580	1878	1642	2208	2452	2392
WUAT02000344.1	Potri.003G018800.1	21096	19552	19828	21416	20650	21360	21216	22204
WUAT02000347.1	Potri.004G213400.1	968	1234	1290	1428	2268	2630	1248	2402
WUAT02000349.1	Potri.010G088900.1	844	1308	1772	870	2074	3948	2308	2476
WUAT02000352.1	Potri.014G044900.5	8558	6076	8306	7210	9462	4358	7250	8580
WUAT02000353.1	Potri.007G062302.2	1422	1530	3214	1750	1572	2802	2110	2518
WUAT02000356.1	Potri.008G224210.1	496	8256	324	488	296	306	226	348
WUAT02000357.1	Potri.008G013500.1	68	140	58	36	30	60	168	100
WUAT02000361.1	Potri.008G206000.4	40168	26714	32632	33984	26016	27942	31458	40172
WUAT02000362.1	Potri.002G149600.1	866	728	630	1038	202	1012	1180	1638
WUAT02000370.1	Potri.013G133550.2	58506	41584	46504	48656	45394	78442	42760	33962
WUAT02000371.1	Potri.003G077100.5	17042	14626	15194	12770	13818	12968	16144	15914
WUAT02000372.1	Potri.016G059900.3	5938	6262	5136	4730	4248	3696	4938	5566
WUAT02000379.1	Potri.011G094500.2	17824	15622	20032	14464	15746	12800	24692	21006
WUAT02000383.1	Potri.001G418100.1	5116	3420	6634	4830	6122	4844	7066	5496
WUAT02000388.1	Potri.018G076600.3	37108	30542	35906	29360	29872	29736	45924	37786
WUAT02000389.1	Potri.006G199400.1	4024	3756	3604	3244	10904	4200	4038	5128
WUAT02000393.1	Potri.018G068400.1	4606	2274	3398	2834	5686	224	2136	2300
WUAT02000394.1	Potri.005G140700.4	24014	19380	21806	24828	18144	33878	16994	22018
WUAT02000397.1	Potri.002G230700.3	11540	7642	10342	7644	10310	8528	11166	11312
WUAT02000402.1	Potri.013G073400.1	5032	3496	5116	4210	5816	2134	2948	4900
WUAT02000404.1	Potri.005G233400.1	6866	6512	7272	6156	5334	16508	14120	11268
WUAT02000405.1	Potri.001G159700.1	64380	33004	36436	42524	61022	20662	36200	46382
WUAT02000406.1	Potri.013G139112.2	284672	147714	138794	221158	59904	19800	79562	138846
WUAT02000411.1	Potri.004G040600.1	7386	17228	12954	9988	17588	77426	21718	22346
WUAT02000412.1	Potri.004G031600.3	194	240	164	232	190	290	324	308
WUAT02000415.1	Potri.013G138490.1	19706	20464	20748	17700	21750	27226	27710	24222
WUAT02000419.1	Potri.019G015111.1	7990	6448	7096	6678	8732	4724	6172	6464
WUAT02000420.1	Potri.004G054000.3	34000	24190	33084	28794	37028	36974	40160	37404
WUAT02000429.1	Potri.008G133300.1	15210	13854	13534	13758	13820	18288	17096	15130
WUAT02000430.1	Potri.002G174400.1	7128	4518	6116	4782	5820	4060	7104	6830
WUAT02000433.1	Potri.004G146600.5	210694	157434	147106	136372	144024	137566	193006	188268
WUAT02000437.1	Potri.011G026600.1	107426	78030	76584	82850	128712	171436	103720	108584
WUAT02000438.1	Potri.011G074600.2	4834	4340	5080	4866	3426	4490	4716	5980
WUAT02000439.1	Potri.005G110600.6	16340	12472	13888	13730	13288	11748	14078	16144
WUAT02000441.1	Potri.015G007700.1	11468	10158	11596	10242	9114	11704	11566	13084
WUAT02000442.1	Potri.010G128600.4	37498	37624	41180	33848	80412	40770	48868	55402
WUAT02000444.1	Potri.004G101500.1	8	14	4	4	0	8	4	4
WUAT02000447.1	Potri.013G133550.2	2388	2040	2556	2072	2268	4476	3710	3370
WUAT02000448.1	Potri.019G025700.4	1162	958	1104	1080	802	1390	1168	1264
WUAT02000451.1	Potri.008G221801.2	30496	23926	27308	24102	28444	30344	26818	30692
WUAT02000455.1	Potri.006G188700.1	2528	2306	1756	1478	1482	2854	1720	1578
WUAT02000460.1	Potri.001G435900.2	11492	8742	12110	9662	9230	11998	14420	13248
WUAT02000461.1	Potri.008G185200.2	13182	11418	12150	11734	13398	13100	13954	12736
WUAT02000464.1	Potri.018G087800.2	4802	3292	8144	4088	6800	13144	6990	8966
WUAT02000469.1	Potri.016G068900.3	14028	12760	14072	11634	14710	17192	19092	16694
WUAT02000471.1	Potri.011G146800.5	246	262	414	260	452	316	444	484
WUAT02000472.1	Potri.015G103700.1	25872	24688	25518	19966	28162	38728	29608	28822
WUAT02000475.1	Potri.008G062400.1	706	480	522	1056	252	1304	1880	544
WUAT02000478.1	Potri.013G158200.3	32574	29004	28776	18250	22706	19178	23336	27720
WUAT02000484.1	Potri.013G133550.2	1854	1108	1452	1346	1854	2904	2520	2204
WUAT02000487.1	Potri.003G015800.1	17150	14036	17918	12780	17824	20498	24576	19844
WUAT02000492.1	Potri.001G370366.2	2338	2180	2824	2422	1908	6042	3774	2664
WUAT02000496.1	Potri.018G040100.1	25958	17618	19450	20380	41856	9438	28322	27356
WUAT02000500.1	Potri.010G086900.2	2182	2200	2948	1802	6550	9090	7124	4802
WUAT02000501.1	Potri.004G182400.1	456	388	412	626	540	594	190	504
WUAT02000502.1	Potri.013G133550.2	6458	5990	6876	6566	19116	4130	3254	5758
WUAT02000503.1	Potri.016G084900.1	13654	7902	9770	11934	9162	29394	14022	8688
WUAT02000505.1	Potri.014G153000.1	13642	10234	11352	17512	8836	3272	7220	13404
WUAT02000511.1	Potri.008G142400.6	8806	6064	10218	8212	12974	10402	13094	11724
WUAT02000514.1	Potri.012G110800.1	2128	1754	3120	2672	2618	4806	3652	2810
WUAT02000518.1	Potri.001G349300.9	36772	26124	32534	31196	37766	15050	26146	32314
WUAT02000519.1	Potri.004G197000.2	5102	4202	5508	4364	5522	5654	5834	4954
WUAT02000523.1	Potri.012G031250.1	53462	72300	63476	49064	51612	58160	76444	62694
WUAT02000531.1	Potri.001G312800.9	27574	26674	34284	25958	28740	44154	37086	35166
WUAT02000539.1	Potri.013G092500.1	32	58	16	8	54	70	26	26
WUAT02000541.1	Potri.001G312800.7	75556	54990	73574	55970	81926	97222	92032	90220
WUAT02000543.1	Potri.004G059200.2	10332	6720	8248	7628	10346	5572	8862	10438
WUAT02000546.1	Potri.011G075051.1	242	1500	240	224	1122	502	470	780
WUAT02000550.1	Potri.002G193700.1	32044	25128	40338	16596	17224	41450	66470	29152
WUAT02000551.1	Potri.013G133550.2	1202	1054	1200	1464	1168	2078	1474	1286
WUAT02000559.1	Potri.001G313900.1	13676	11786	15640	9800	17076	8710	11210	14622
WUAT02000560.1	Potri.012G031250.1	2478	2192	2568	2230	3246	5256	3390	3320
WUAT02000566.1	Potri.013G147200.2	14982	9058	13484	12950	12750	10254	11808	10692
WUAT02000570.1	Potri.002G001900.9	1020	684	1154	912	596	266	1024	1118
WUAT02000573.1	Potri.001G359700.6	400	236	374	372	454	858	386	318
WUAT02000577.1	Potri.007G011200.7	18152	15130	15204	14520	13450	21070	19172	18768
WUAT02000582.1	Potri.012G031250.1	26994	26462	28820	26786	27164	38548	31636	30412
WUAT02000586.1	Potri.005G148900.1	13338	8066	12022	11168	10690	11694	11234	11014
WUAT02000588.1	Potri.005G086100.7	27154	29180	29332	26764	27462	35038	32838	30644
WUAT02000590.1	Potri.006G260200.4	22638	14900	15350	10578	13242	12042	15634	15574
WUAT02000591.1	Potri.013G138100.2	744	206	774	762	130	1770	406	148
WUAT02000595.1	Potri.003G072300.10	23780	22132	20068	21208	19716	30688	21928	22730
WUAT02000597.1	Potri.005G212700.1	1260	394	702	808	1166	578	838	540
WUAT02000600.1	Potri.012G062700.1	30864	21890	27480	24036	27338	21174	31448	28306
WUAT02000601.1	Potri.008G177000.7	82	30	96	36	324	62	26	100
WUAT02000602.1	Potri.002G093500.4	5822	2182	2748	2670	5492	532	2184	3676
WUAT02000604.1	Potri.009G034500.1	1000	854	854	804	594	3888	1064	918
WUAT02000605.1	Potri.002G090900.5	8102	5242	7842	6176	6716	9266	11656	8632
WUAT02000608.1	Potri.018G139400.1	406	234	102	114	136	130	170	214
WUAT02000610.1	Potri.007G061861.1	9654	15722	18492	12082	8380	8982	9174	11866
WUAT02000613.1	Potri.010G069000.2	36766	27766	29140	32508	53184	36960	37710	32224
WUAT02000618.1	Potri.013G133550.1	1456	914	1600	1442	2736	4572	4256	1960
WUAT02000626.1	Potri.002G078800.4	9166	8834	9820	8442	8924	12726	11292	11226
WUAT02000628.1	Potri.002G178801.1	1292	998	1850	1594	1630	1912	3116	1594
WUAT02000629.1	Potri.018G067800.2	32644	31384	34460	25294	32058	35540	47852	39578
WUAT02000631.1	Potri.001G243400.1	66944	66638	63948	57106	59696	74624	84676	72444
WUAT02000636.1	Potri.005G213300.6	5132	5918	5698	5184	5694	7146	7932	6650
WUAT02000639.1	Potri.002G109601.10	58	52	74	78	36	768	56	186
WUAT02000640.1	Potri.013G102700.1	16634	6876	14340	8102	13490	5510	11492	12714
WUAT02000641.1	Potri.013G137077.1	5230	8670	4480	2972	5278	5492	8038	6394
WUAT02000644.1	Potri.010G090100.2	3394	2732	4144	3486	2780	1310	3022	4154
WUAT02000645.1	Potri.001G314300.1	58788	59198	58790	53144	49902	89210	62680	58338
WUAT02000648.1	Potri.011G074067.1	1604	5046	526	2084	1498	828	1290	2250
WUAT02000650.1	Potri.003G203100.1	4838	4684	4730	3762	4874	6328	5602	5798
WUAT02000659.1	Potri.008G070600.2	826	58	1268	892	494	518	242	658
WUAT02000662.1	Potri.008G085000.1	3950	560	1810	11974	3276	3178	1110	646
WUAT02000667.1	Potri.010G000301.1	7064	3924	5452	6832	4934	8876	6250	6308
WUAT02000669.1	Potri.018G110200.3	7992	6180	6410	6016	4242	9330	8162	9596
WUAT02000676.1	Potri.011G074600.2	22978	21560	23176	20430	22178	25360	27574	24472
WUAT02000681.1	Potri.009G041800.1	7824	4326	3844	3630	8512	10530	9864	10304
WUAT02000685.1	Potri.004G078932.2	1830	1644	1914	1712	1610	1860	2294	2138
WUAT02000687.1	Potri.003G018500.2	2424	3526	2866	2548	2510	3096	2594	3176
WUAT02000689.1	Potri.010G105600.1	11568	11746	13402	11902	16818	18152	14922	13298
WUAT02000690.1	Potri.003G174900.3	30996	33040	33428	29788	24034	45640	36984	28690
WUAT02000694.1	Potri.004G210100.1	74802	58160	73690	52282	91120	79844	69354	117130
WUAT02000695.1	Potri.004G162500.1	28826	31058	28986	30038	27160	39980	35458	33486
WUAT02000699.1	Potri.010G189000.1	84248	61764	85164	46754	61926	53288	71924	91922
WUAT02000703.1	Potri.006G222500.5	65040	43992	71350	57462	59720	78846	71988	60998
WUAT02000707.1	Potri.010G052500.1	6750	5862	6476	5758	6358	6856	9058	7750
WUAT02000712.1	Potri.011G074150.1	42002	14918	26524	29060	37328	9646	18990	33330
WUAT02000714.1	Potri.004G094850.1	19958	11574	10552	10800	11176	7308	9162	13974
WUAT02000715.1	Potri.013G133550.2	52	12	66	12	30	132	92	126
WUAT02000717.1	Potri.005G208200.1	10156	8110	9132	8978	7340	14454	8332	9138
WUAT02000721.1	Potri.008G013300.1	1110	1546	766	594	1254	1948	1056	1354
WUAT02000722.1	Potri.011G147700.1	85174	88844	82654	55878	67004	57406	107142	93552
WUAT02000725.1	Potri.013G095100.2	36374	24130	32612	19476	68670	19530	21284	25058
WUAT02000726.1	Potri.013G143400.2	3456	3622	3280	2560	5314	4814	5656	5470
WUAT02000727.1	Potri.005G045500.4	14188	12464	16348	12604	14122	15842	17506	15870
WUAT02000730.1	Potri.006G263100.2	74214	52580	73044	61828	73316	97756	86946	78392
WUAT02000731.1	Potri.001G312800.7	544	68	1456	810	416	236	194	614
WUAT02000735.1	Potri.015G082700.1	2746	1926	2096	2840	2994	246	874	2188
WUAT02000740.1	Potri.015G112600.1	4054	4040	4642	3804	4604	4186	4756	5268
WUAT02000742.1	Potri.006G122300.4	22032	21676	22842	21648	32480	32124	24488	26030
WUAT02000743.1	Potri.006G222000.1	11254	13382	12756	9180	11302	9362	18696	15086
WUAT02000744.1	Potri.012G058400.2	142	110	178	28	118	252	116	80
WUAT02000748.1	Potri.016G055700.1	47642	28176	39130	39656	40040	42494	31132	40808
WUAT02000752.1	Potri.001G066800.1	24326	20452	23622	21708	28094	23048	24646	20748
WUAT02000754.1	Potri.006G046900.4	2452	1460	4670	2302	2376	2136	2224	2670
WUAT02000756.1	Potri.008G187600.2	13124	7770	10084	10300	11656	10872	12506	11480
WUAT02000757.1	Potri.013G141912.1	4432	2506	5128	2190	5020	3724	5654	5350
WUAT02000762.1	Potri.018G111700.1	976	608	988	864	1136	2170	1668	1352
WUAT02000766.1	Potri.009G058000.1	542	492	538	370	734	596	894	720
WUAT02000768.1	Potri.007G061961.1	344	420	298	166	282	432	942	142
WUAT02000771.1	Potri.004G052300.1	37208	38084	32070	29678	30360	50184	43994	42650
WUAT02000772.1	Potri.001G466000.2	287558	274636	243252	218008	227264	214490	301692	281508
WUAT02000775.1	Potri.001G207700.4	28664	30280	31210	29650	29412	44490	38810	35152
WUAT02000784.1	Potri.015G007400.2	57986	59950	62814	50680	52406	69848	82560	66174
WUAT02000785.1	Potri.019G039700.1	932	660	640	664	908	1170	1206	686
WUAT02000793.1	Potri.007G015500.1	6042	4110	6214	4504	5912	6242	7684	6834
WUAT02000795.1	Potri.006G095800.6	17364	14898	18440	15386	16292	11662	16924	17554
WUAT02000797.1	Potri.004G030500.4	13496	14074	15892	14440	19576	31178	24540	19730
WUAT02000798.1	Potri.006G188500.1	5532	8254	4532	3510	3646	2808	8658	6956
WUAT02000801.1	Potri.014G163400.1	30968	30186	39786	30960	41456	16626	30298	35224
WUAT02000802.1	Potri.002G123500.6	70518	49006	62628	68024	74510	42506	43716	65738
WUAT02000805.1	Potri.007G071350.1	8	24	0	0	0	0	4	0
WUAT02000806.1	Potri.014G018000.4	16460	13806	13832	16190	13950	19740	16814	16586
WUAT02000807.1	Potri.018G084800.1	18844	13156	14660	14736	12416	21340	19598	17504
WUAT02000808.1	Potri.004G176600.1	150428	114796	101788	160010	75812	110772	123486	139124
WUAT02000809.1	Potri.004G022600.1	10	10	0	2	2	8	4	8
WUAT02000811.1	Potri.015G024200.1	21886	23982	32674	23950	20350	22618	31368	23892
WUAT02000813.1	Potri.013G139112.2	14	12	4	4	4	8	8	12
WUAT02000816.1	Potri.011G074150.1	894	796	1116	660	764	2842	1750	3622
WUAT02000820.1	Potri.016G004900.2	1192	1990	1300	1112	1296	3508	2038	2002
WUAT02000825.1	Potri.005G046300.1	16522	12974	16030	16660	15768	9374	14656	18646
WUAT02000829.1	Potri.011G113575.1	16568	15468	15804	16398	13924	17386	21910	17758
WUAT02000833.1	Potri.011G074067.1	152	316	268	122	164	1336	610	178
WUAT02000840.1	Potri.006G152700.11	8528	6590	9864	8982	9122	4196	3862	7184
WUAT02000842.1	Potri.007G017600.8	34244	26740	31080	28314	31208	34712	35318	35090
WUAT02000846.1	Potri.004G188900.1	56700	59062	53678	65922	45154	58880	72864	68846
WUAT02000847.1	Potri.008G178300.1	926	462	976	380	694	1232	1178	552
WUAT02000851.1	Potri.013G136466.1	22	74	26	36	114	76	28	54
WUAT02000852.1	Potri.014G098600.7	111678	83348	96856	125086	103546	59976	71436	98632
WUAT02000856.1	Potri.003G058900.1	68374	43872	42000	68700	32448	35994	47350	54698
WUAT02000860.1	Potri.014G170500.2	406	448	170	220	260	1044	210	164
WUAT02000862.1	Potri.008G210100.1	2334	1776	2064	1560	1642	1170	1662	1812
WUAT02000865.1	Potri.017G075700.1	5840	4362	4672	3438	6280	6730	6934	7074
WUAT02000866.1	Potri.007G023300.1	0	42	6	2	2	0	4	8
WUAT02000874.1	Potri.004G104201.4	1964	2170	2110	1630	1924	6630	3948	2820
WUAT02000875.1	Potri.001G024800.1	2320	1256	1310	1026	1784	1874	1434	1760
WUAT02000877.1	Potri.010G029700.2	19884	15036	17754	15486	30540	12390	17950	20648
WUAT02000879.1	Potri.008G121200.2	42954	21030	30970	31048	34088	12320	18526	32180
WUAT02000880.1	Potri.013G092500.1	626	28	460	16	438	24	14	2
WUAT02000883.1	Potri.005G222900.6	18382	16018	18012	17486	20208	22604	25002	21564
WUAT02000887.1	Potri.008G064700.1	87462	55592	72764	82892	44876	36754	55126	61516
WUAT02000889.1	Potri.014G094300.1	2190	1634	1712	1562	1662	1264	1740	1864
WUAT02000893.1	Potri.013G143400.2	10	30	0	22	4	4	6	4
WUAT02000901.1	Potri.009G147100.3	1324	1462	1534	1000	1356	2086	2352	1504
WUAT02000903.1	Potri.019G052500.5	6112	4956	8110	4930	5260	1204	5014	5216
WUAT02000905.1	Potri.018G143100.5	19168	16564	19814	16470	21248	21910	19896	19750
WUAT02000907.1	Potri.014G066600.1	1800	1120	1192	1708	1258	2766	1520	1126
WUAT02000914.1	Potri.014G029800.3	18274	22782	20148	19004	18246	31052	20706	18872
WUAT02000915.1	Potri.001G255000.4	10186	11714	11824	11926	12700	15762	12616	13108
WUAT02000917.1	Potri.013G142760.1	1568	910	1282	1534	1534	2126	1610	1038
WUAT02000918.1	Potri.013G143400.2	2	2	4	0	0	4	4	4
WUAT02000919.1	Potri.001G411100.1	35300	28108	32498	26388	31628	25802	35590	35078
WUAT02000926.1	Potri.010G131100.1	16	18	10	4	2	4	0	26
WUAT02000928.1	Potri.007G062602.1	15168	10200	18144	15144	26958	11002	12498	23502
WUAT02000933.1	Potri.008G019800.1	7030	6324	6260	4572	9498	7692	7312	7508
WUAT02000938.1	Potri.013G138201.1	6	450	6	2	2	2	280	1024
WUAT02000946.1	Potri.011G074201.1	4754	4778	5950	3714	3950	9006	5434	5806
WUAT02000951.1	Potri.013G143400.2	8338	4670	3154	5308	9382	3154	3318	3756
