Protein_ID	subject_id	Gene_ID	exprLevel_log	transcript_ID	goTermId	goName	gotermType	goAcc
175077	Potri.001G308600.1	WUAT02004309.1	9.723036881	175077	3059	protein kinase CK2 complex	cellular_component	GO:0005956
175077	Potri.001G308600.1	WUAT02004309.1	9.723036881	175077	1979	protein tyrosine kinase activity	molecular_function	GO:0004713
175077	Potri.001G308600.1	WUAT02004309.1	9.723036881	175077	2653	ATP binding	molecular_function	GO:0005524
175077	Potri.001G308600.1	WUAT02004309.1	9.723036881	175077	1939	protein kinase activity	molecular_function	GO:0004672
175077	Potri.001G308600.1	WUAT02004309.1	9.723036881	175077	5224	obsolete protein kinase CK2 regulator activity	molecular_function	GO:0008605
175077	Potri.001G308600.1	WUAT02004309.1	9.723036881	175077	5223	cAMP-dependent protein kinase regulator activity	molecular_function	GO:0008603
175190	Potri.001G305400.1	WUAT02008646.1	10.10272384	175190	3879	transport	biological_process	GO:0006810
175190	Potri.001G305400.1	WUAT02008646.1	10.10272384	175190	5149	ammonium transmembrane transporter activity	molecular_function	GO:0008519
175190	Potri.001G305400.1	WUAT02008646.1	10.10272384	175190	7826	membrane	cellular_component	GO:0016020
175325	Potri.001G300900.1	WUAT02001132.1	10.07620195	175325	8335	amino acid binding	molecular_function	GO:0016597
175325	Potri.001G300900.1	WUAT02001132.1	10.07620195	175325	4804	metabolic process	biological_process	GO:0008152
175325	Potri.001G300900.1	WUAT02001132.1	10.07620195	175325	3643	L-serine biosynthetic process	biological_process	GO:0006564
175325	Potri.001G300900.1	WUAT02001132.1	10.07620195	175325	1887	phosphoglycerate dehydrogenase activity	molecular_function	GO:0004617
175325	Potri.001G300900.1	WUAT02001132.1	10.07620195	175325	8354	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor	molecular_function	GO:0016616
175504	Potri.001G294700.1	WUAT02010024.1	9.434515721	175504	5060	beta-glucosidase activity	molecular_function	GO:0008422
175504	Potri.001G294700.1	WUAT02010024.1	9.434515721	175504	3077	carbohydrate metabolic process	biological_process	GO:0005975
175504	Potri.001G294700.1	WUAT02010024.1	9.434515721	175504	1829	hydrolase activity, hydrolyzing O-glycosyl compounds	molecular_function	GO:0004553
175839	Potri.001G357100.4	WUAT02018123.1	9.317260192	175839	2131	obsolete signal transducer activity	molecular_function	GO:0004871
175839	Potri.001G357100.4	WUAT02018123.1	9.317260192	175839	2644	protein binding	molecular_function	GO:0005515
175839	Potri.001G357100.4	WUAT02018123.1	9.317260192	175839	6006	response to light stimulus	biological_process	GO:0009416
176275	Potri.001G370600.1	WUAT02012499.1	7.801969105	176275	8614	ATPase activity	molecular_function	GO:0016887
176275	Potri.001G370600.1	WUAT02012499.1	7.801969105	176275	2653	ATP binding	molecular_function	GO:0005524
176275	Potri.001G370600.1	WUAT02012499.1	7.801969105	176275	157	nucleotide binding	molecular_function	GO:0000166
176275	Potri.001G370600.1	WUAT02012499.1	7.801969105	176275	11963	phosphopantetheine binding	molecular_function	GO:0031177
176275	Potri.001G370600.1	WUAT02012499.1	7.801969105	176275	8812	nucleoside-triphosphatase activity	molecular_function	GO:0017111
176347	Potri.001G374200.4	WUAT02012842.1	10.29296586	176347	1056	DNA binding	molecular_function	GO:0003677
176347	Potri.001G374200.4	WUAT02012842.1	10.29296586	176347	2757	nucleus	cellular_component	GO:0005634
176347	Potri.001G374200.4	WUAT02012842.1	10.29296586	176347	3449	regulation of transcription, DNA-templated	biological_process	GO:0006355
177231	Potri.001G459200.1	WUAT02020625.1	7.790120814	177231	3218	obsolete electron transport	biological_process	GO:0006118
177383	Potri.001G462700.1	WUAT02006971.1	9.198416838	177383	8235	oxidoreductase activity	molecular_function	GO:0016491
177383	Potri.001G462700.1	WUAT02006971.1	9.198416838	177383	3218	obsolete electron transport	biological_process	GO:0006118
177387	Potri.001G462800.1	WUAT02017673.1	5.976546625	177387	3218	obsolete electron transport	biological_process	GO:0006118
177956	Potri.001G007900.2	WUAT02021555.1	10.27289552	177956	2653	ATP binding	molecular_function	GO:0005524
177956	Potri.001G007900.2	WUAT02021555.1	10.27289552	177956	4688	helicase activity	molecular_function	GO:0004386
177956	Potri.001G007900.2	WUAT02021555.1	10.27289552	177956	1055	nucleic acid binding	molecular_function	GO:0003676
178328	Potri.001G033900.4	WUAT02019488.1	8.120506511	178328	4693	tRNA processing	biological_process	GO:0008033
178328	Potri.001G033900.4	WUAT02019488.1	8.120506511	178328	1824	ribonuclease activity	molecular_function	GO:0004540
181064	Potri.001G180200.1	WUAT02022663.1	9.290778908	181064	8207	pyrophosphatase activity	molecular_function	GO:0016462
181064	Potri.001G180200.1	WUAT02022663.1	9.290778908	181064	5336	5-3 DNA helicase activity	molecular_function	GO:0043139
181064	Potri.001G180200.1	WUAT02022663.1	9.290778908	181064	10007	dihydroneopterin triphosphate pyrophosphohydrolase activity	molecular_function	GO:0019177
181064	Potri.001G180200.1	WUAT02022663.1	9.290778908	181064	8545	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	molecular_function	GO:0016818
181064	Potri.001G180200.1	WUAT02022663.1	9.290778908	181064	10006	dihydroneopterin monophosphate phosphatase activity	molecular_function	GO:0019176
181064	Potri.001G180200.1	WUAT02022663.1	9.290778908	181064	5437	dATP pyrophosphohydrolase activity	molecular_function	GO:0008828
197160	Potri.004G035400.1	WUAT02009541.1	10.10859035	197160	7826	membrane	cellular_component	GO:0016020
197160	Potri.004G035400.1	WUAT02009541.1	10.10859035	197160	3946	intracellular protein transport	biological_process	GO:0006886
197160	Potri.004G035400.1	WUAT02009541.1	10.10859035	197160	5191	obsolete protein transporter activity	molecular_function	GO:0008565
197404	Potri.004G065400.1	WUAT02005711.1	9.054734034	197404	8277	cyclin-dependent protein serine/threonine kinase regulator activity	molecular_function	GO:0016538
197404	Potri.004G065400.1	WUAT02005711.1	9.054734034	197404	1981	non-membrane spanning protein tyrosine kinase activity	molecular_function	GO:0004715
197404	Potri.004G065400.1	WUAT02005711.1	9.054734034	197404	1949	calmodulin-dependent protein kinase activity	molecular_function	GO:0004683
197404	Potri.004G065400.1	WUAT02005711.1	9.054734034	197404	1945	AMP-activated protein kinase activity	molecular_function	GO:0004679
197404	Potri.004G065400.1	WUAT02005711.1	9.054734034	197404	1972	JUN kinase kinase kinase activity	molecular_function	GO:0004706
197404	Potri.004G065400.1	WUAT02005711.1	9.054734034	197404	1952	elongation factor-2 kinase activity	molecular_function	GO:0004686
197404	Potri.004G065400.1	WUAT02005711.1	9.054734034	197404	1946	obsolete casein kinase activity	molecular_function	GO:0004680
197404	Potri.004G065400.1	WUAT02005711.1	9.054734034	197404	1947	obsolete casein kinase I activity	molecular_function	GO:0004681
197404	Potri.004G065400.1	WUAT02005711.1	9.054734034	197404	1982	obsolete signal transducer, downstream of receptor, with protein tyrosine kinase activity	molecular_function	GO:0004716
197404	Potri.004G065400.1	WUAT02005711.1	9.054734034	197404	1963	protein kinase C activity	molecular_function	GO:0004697
197404	Potri.004G065400.1	WUAT02005711.1	9.054734034	197404	1979	protein tyrosine kinase activity	molecular_function	GO:0004713
197404	Potri.004G065400.1	WUAT02005711.1	9.054734034	197404	1980	transmembrane receptor protein tyrosine kinase activity	molecular_function	GO:0004714
197404	Potri.004G065400.1	WUAT02005711.1	9.054734034	197404	1958	cGMP-dependent protein kinase activity	molecular_function	GO:0004692
197404	Potri.004G065400.1	WUAT02005711.1	9.054734034	197404	1978	protein serine/threonine/tyrosine kinase activity	molecular_function	GO:0004712
197404	Potri.004G065400.1	WUAT02005711.1	9.054734034	197404	1977	ribosomal protein S6 kinase activity	molecular_function	GO:0004711
197404	Potri.004G065400.1	WUAT02005711.1	9.054734034	197404	1944	DNA-dependent protein kinase activity	molecular_function	GO:0004677
197404	Potri.004G065400.1	WUAT02005711.1	9.054734034	197404	1971	JUN kinase activity	molecular_function	GO:0004705
197404	Potri.004G065400.1	WUAT02005711.1	9.054734034	197404	5225	phosphorylase kinase regulator activity	molecular_function	GO:0008607
197404	Potri.004G065400.1	WUAT02005711.1	9.054734034	197404	1956	cyclic nucleotide-dependent protein kinase activity	molecular_function	GO:0004690
197404	Potri.004G065400.1	WUAT02005711.1	9.054734034	197404	1960	eukaryotic translation initiation factor 2alpha kinase activity	molecular_function	GO:0004694
197404	Potri.004G065400.1	WUAT02005711.1	9.054734034	197404	1968	obsolete signal transducer, downstream of receptor, with serine/threonine kinase activity	molecular_function	GO:0004702
197404	Potri.004G065400.1	WUAT02005711.1	9.054734034	197404	1975	MAP kinase kinase kinase activity	molecular_function	GO:0004709
197404	Potri.004G065400.1	WUAT02005711.1	9.054734034	197404	4989	MAP kinase kinase kinase kinase activity	molecular_function	GO:0008349
197404	Potri.004G065400.1	WUAT02005711.1	9.054734034	197404	1970	NF-kappaB-inducing kinase activity	molecular_function	GO:0004704
197404	Potri.004G065400.1	WUAT02005711.1	9.054734034	197404	1973	MAP kinase activity	molecular_function	GO:0004707
197404	Potri.004G065400.1	WUAT02005711.1	9.054734034	197404	1959	cyclin-dependent protein serine/threonine kinase activity	molecular_function	GO:0004693
197404	Potri.004G065400.1	WUAT02005711.1	9.054734034	197404	8094	phosphatidylinositol phosphate kinase activity	molecular_function	GO:0016307
197404	Potri.004G065400.1	WUAT02005711.1	9.054734034	197404	1969	G protein-coupled receptor kinase activity	molecular_function	GO:0004703
197404	Potri.004G065400.1	WUAT02005711.1	9.054734034	197404	1955	phosphorylase kinase activity	molecular_function	GO:0004689
197404	Potri.004G065400.1	WUAT02005711.1	9.054734034	197404	8502	phosphotransferase activity, alcohol group as acceptor	molecular_function	GO:0016773
197404	Potri.004G065400.1	WUAT02005711.1	9.054734034	197404	1974	MAP kinase kinase activity	molecular_function	GO:0004708
197404	Potri.004G065400.1	WUAT02005711.1	9.054734034	197404	1943	3-phosphoinositide-dependent protein kinase activity	molecular_function	GO:0004676
197404	Potri.004G065400.1	WUAT02005711.1	9.054734034	197404	2653	ATP binding	molecular_function	GO:0005524
197404	Potri.004G065400.1	WUAT02005711.1	9.054734034	197404	13114	eukaryotic elongation factor-2 kinase activator activity	molecular_function	GO:0042557
197404	Potri.004G065400.1	WUAT02005711.1	9.054734034	197404	5080	phosphofructokinase activity	molecular_function	GO:0008443
197404	Potri.004G065400.1	WUAT02005711.1	9.054734034	197404	13113	eukaryotic elongation factor-2 kinase regulator activity	molecular_function	GO:0042556
197404	Potri.004G065400.1	WUAT02005711.1	9.054734034	197404	1964	calcium-dependent protein kinase C activity	molecular_function	GO:0004698
197404	Potri.004G065400.1	WUAT02005711.1	9.054734034	197404	10721	cyclin-dependent protein kinase activating kinase activity	molecular_function	GO:0019912
197404	Potri.004G065400.1	WUAT02005711.1	9.054734034	197404	3551	protein phosphorylation	biological_process	GO:0006468
197404	Potri.004G065400.1	WUAT02005711.1	9.054734034	197404	10722	cyclin-dependent protein kinase activating kinase regulator activity	molecular_function	GO:0019914
197404	Potri.004G065400.1	WUAT02005711.1	9.054734034	197404	5023	IkappaB kinase activity	molecular_function	GO:0008384
197404	Potri.004G065400.1	WUAT02005711.1	9.054734034	197404	1939	protein kinase activity	molecular_function	GO:0004672
197404	Potri.004G065400.1	WUAT02005711.1	9.054734034	197404	1941	protein serine/threonine kinase activity	molecular_function	GO:0004674
197404	Potri.004G065400.1	WUAT02005711.1	9.054734034	197404	5174	JUN kinase kinase activity	molecular_function	GO:0008545
197404	Potri.004G065400.1	WUAT02005711.1	9.054734034	197404	9567	phenol kinase activity	molecular_function	GO:0018720
197404	Potri.004G065400.1	WUAT02005711.1	9.054734034	197404	1942	transmembrane receptor protein serine/threonine kinase activity	molecular_function	GO:0004675
197404	Potri.004G065400.1	WUAT02005711.1	9.054734034	197404	12218	phosphatidylinositol 3-kinase activity	molecular_function	GO:0035004
197404	Potri.004G065400.1	WUAT02005711.1	9.054734034	197404	10029	transmembrane receptor protein kinase activity	molecular_function	GO:0019199
197404	Potri.004G065400.1	WUAT02005711.1	9.054734034	197404	5428	cobinamide kinase activity	molecular_function	GO:0008819
197539	Potri.004G061800.1	WUAT02018955.1	9.816201307	197539	8306	protein ubiquitination	biological_process	GO:0016567
197539	Potri.004G061800.1	WUAT02018955.1	9.816201307	197539	2103	ubiquitin-protein transferase activity	molecular_function	GO:0004842
197539	Potri.004G061800.1	WUAT02018955.1	9.816201307	197539	143	ubiquitin ligase complex	cellular_component	GO:0000151
197763	Potri.004G053400.2	WUAT02020939.1	10.09755564	197763	8812	nucleoside-triphosphatase activity	molecular_function	GO:0017111
197763	Potri.004G053400.2	WUAT02020939.1	10.09755564	197763	7789	photosynthesis	biological_process	GO:0015979
197763	Potri.004G053400.2	WUAT02020939.1	10.09755564	197763	157	nucleotide binding	molecular_function	GO:0000166
197763	Potri.004G053400.2	WUAT02020939.1	10.09755564	197763	7805	chlorophyll biosynthetic process	biological_process	GO:0015995
197763	Potri.004G053400.2	WUAT02020939.1	10.09755564	197763	8578	magnesium chelatase activity	molecular_function	GO:0016851
198631	Potri.004G083300.2	WUAT02018589.1	7.575666879	198631	2478	voltage-gated potassium channel activity	molecular_function	GO:0005249
198631	Potri.004G083300.2	WUAT02018589.1	7.575666879	198631	2451	ion channel activity	molecular_function	GO:0005216
198631	Potri.004G083300.2	WUAT02018589.1	7.575666879	198631	2487	potassium channel activity	molecular_function	GO:0005267
198631	Potri.004G083300.2	WUAT02018589.1	7.575666879	198631	3882	potassium ion transport	biological_process	GO:0006813
198631	Potri.004G083300.2	WUAT02018589.1	7.575666879	198631	3880	ion transport	biological_process	GO:0006811
198631	Potri.004G083300.2	WUAT02018589.1	7.575666879	198631	7826	membrane	cellular_component	GO:0016020
198892	Potri.004G074000.1	WUAT02004272.1	7.596579735	198892	1170	catalytic activity	molecular_function	GO:0003824
198892	Potri.004G074000.1	WUAT02004272.1	7.596579735	198892	4804	metabolic process	biological_process	GO:0008152
199158	Potri.004G108200.2	WUAT02013902.1	9.559845602	199158	3551	protein phosphorylation	biological_process	GO:0006468
199158	Potri.004G108200.2	WUAT02013902.1	9.559845602	199158	2653	ATP binding	molecular_function	GO:0005524
199158	Potri.004G108200.2	WUAT02013902.1	9.559845602	199158	1939	protein kinase activity	molecular_function	GO:0004672
199158	Potri.004G108200.2	WUAT02013902.1	9.559845602	199158	1941	protein serine/threonine kinase activity	molecular_function	GO:0004674
199158	Potri.004G108200.2	WUAT02013902.1	9.559845602	199158	1979	protein tyrosine kinase activity	molecular_function	GO:0004713
199267	Potri.004G129200.1	WUAT02002701.1	9.965577037	199267	4889	obsolete plasminogen activator activity	molecular_function	GO:0008243
199267	Potri.004G129200.1	WUAT02002701.1	9.965577037	199267	1573	serine-type endopeptidase activity	molecular_function	GO:0004252
199267	Potri.004G129200.1	WUAT02002701.1	9.965577037	199267	4786	obsolete pancreatic elastase activity	molecular_function	GO:0008132
199267	Potri.004G129200.1	WUAT02002701.1	9.965577037	199267	1596	obsolete trypsin activity	molecular_function	GO:0004295
199267	Potri.004G129200.1	WUAT02002701.1	9.965577037	199267	8536	obsolete proprotein convertase activity	molecular_function	GO:0016808
199267	Potri.004G129200.1	WUAT02002701.1	9.965577037	199267	5594	obsolete serine-type signal peptidase activity	molecular_function	GO:0008991
199267	Potri.004G129200.1	WUAT02002701.1	9.965577037	199267	1591	obsolete subtilase activity	molecular_function	GO:0004289
199267	Potri.004G129200.1	WUAT02002701.1	9.965577037	199267	3588	proteolysis	biological_process	GO:0006508
203486	Potri.009G040700.2	WUAT02012085.1	7.880141486	203486	19	phosphopyruvate hydratase complex	cellular_component	GO:0000015
203486	Potri.009G040700.2	WUAT02012085.1	7.880141486	203486	1904	phosphopyruvate hydratase activity	molecular_function	GO:0004634
203486	Potri.009G040700.2	WUAT02012085.1	7.880141486	203486	3196	glycolytic process	biological_process	GO:0006096
204062	Potri.009G021200.1	WUAT02021190.1	10.68552042	204062	3946	intracellular protein transport	biological_process	GO:0006886
204190	Potri.009G016900.1	WUAT02023084.1	10.54609172	204190	1989	calcium-dependent protein serine/threonine phosphatase activity	molecular_function	GO:0004723
204190	Potri.009G016900.1	WUAT02023084.1	10.54609172	204190	8729	myosin phosphatase regulator activity	molecular_function	GO:0017020
204190	Potri.009G016900.1	WUAT02023084.1	10.54609172	204190	1990	magnesium-dependent protein serine/threonine phosphatase activity	molecular_function	GO:0004724
204190	Potri.009G016900.1	WUAT02023084.1	10.54609172	204190	2653	ATP binding	molecular_function	GO:0005524
204190	Potri.009G016900.1	WUAT02023084.1	10.54609172	204190	5220	calcium-dependent protein serine/threonine phosphatase regulator activity	molecular_function	GO:0008597
204190	Potri.009G016900.1	WUAT02023084.1	10.54609172	204190	3362	DNA topological change	biological_process	GO:0006265
204190	Potri.009G016900.1	WUAT02023084.1	10.54609172	204190	8728	myosin phosphatase activity	molecular_function	GO:0017018
204190	Potri.009G016900.1	WUAT02023084.1	10.54609172	204190	149	protein serine/threonine phosphatase activity	molecular_function	GO:0004722
204190	Potri.009G016900.1	WUAT02023084.1	10.54609172	204190	8516	hydrolase activity	molecular_function	GO:0016787
204190	Potri.009G016900.1	WUAT02023084.1	10.54609172	204190	1987	phosphoprotein phosphatase activity	molecular_function	GO:0004721
204190	Potri.009G016900.1	WUAT02023084.1	10.54609172	204190	5058	RNA polymerase II CTD heptapeptide repeat phosphatase activity	molecular_function	GO:0008420
204190	Potri.009G016900.1	WUAT02023084.1	10.54609172	204190	1258	DNA topoisomerase type II (double strand cut, ATP-hydrolyzing) activity	molecular_function	GO:0003918
204190	Potri.009G016900.1	WUAT02023084.1	10.54609172	204190	3065	magnesium-dependent protein serine/threonine phosphatase complex	cellular_component	GO:0005963
204190	Potri.009G016900.1	WUAT02023084.1	10.54609172	204190	1056	DNA binding	molecular_function	GO:0003677
204190	Potri.009G016900.1	WUAT02023084.1	10.54609172	204190	8732	myosin phosphatase complex	cellular_component	GO:0017023
204190	Potri.009G016900.1	WUAT02023084.1	10.54609172	204190	3358	DNA metabolic process	biological_process	GO:0006259
204283	Potri.009G014500.5	WUAT02016479.1	5.675546513	204283	3449	regulation of transcription, DNA-templated	biological_process	GO:0006355
204283	Potri.009G014500.5	WUAT02016479.1	5.675546513	204283	1056	DNA binding	molecular_function	GO:0003677
204283	Potri.009G014500.5	WUAT02016479.1	5.675546513	204283	2757	nucleus	cellular_component	GO:0005634
204283	Potri.009G014500.5	WUAT02016479.1	5.675546513	204283	1076	DNA-binding transcription factor activity	molecular_function	GO:0003700
204283	Potri.009G014500.5	WUAT02008259.1	10.4290129	204283	3449	regulation of transcription, DNA-templated	biological_process	GO:0006355
204283	Potri.009G014500.5	WUAT02008259.1	10.4290129	204283	1056	DNA binding	molecular_function	GO:0003677
204283	Potri.009G014500.5	WUAT02008259.1	10.4290129	204283	2757	nucleus	cellular_component	GO:0005634
204283	Potri.009G014500.5	WUAT02008259.1	10.4290129	204283	1076	DNA-binding transcription factor activity	molecular_function	GO:0003700
