Gene_ID	subject_id	F_T1_Rep1	F_T1_Rep2	F_T1_Rep3	F_T1_Rep4	F_T2_Rep1	F_T2_Rep2	F_T2_Rep3	F_T2_Rep4
WUAT02000159.1	Potri.005G074200.2	5250	7600	3128	5416	4912	5018	4622	8148
WUAT02000163.1	Potri.005G048700.1	24960	30786	20558	30258	21572	31690	27332	39014
WUAT02000164.1	Potri.001G312800.9	1846	3250	1910	2950	1644	2950	1742	3734
WUAT02000167.1	Potri.005G205400.1	7914	6502	4328	9332	2972	5836	8056	7330
WUAT02000168.1	Potri.014G185804.1	12358	15368	11508	22520	11832	8956	7726	9024
WUAT02000172.1	Potri.007G073100.1	10368	11544	9694	14568	14920	11268	6184	13644
WUAT02000177.1	Potri.013G141912.1	670	1006	918	548	590	1010	1042	1418
WUAT02000182.1	Potri.001G375600.1	34	126	30	12	14	20	4	114
WUAT02000184.1	Potri.002G259600.4	47954	51024	33966	49066	43354	52218	36864	58718
WUAT02000185.1	Potri.015G035500.1	2638	3658	4078	2542	2194	1104	2156	1512
WUAT02000186.1	Potri.012G088500.11	25206	29758	29234	27772	25484	34554	30344	38012
WUAT02000190.1	Potri.012G069000.6	33586	24262	20554	24766	15962	26386	23236	36338
WUAT02000191.1	Potri.001G190200.1	2684	6726	4726	5662	6856	6018	8200	5276
WUAT02000194.1	Potri.016G004900.2	1460	1874	1166	1570	954	1674	1856	2364
WUAT02000196.1	Potri.013G142232.4	10676	10924	5276	10440	14166	26066	19078	24564
WUAT02000199.1	Potri.006G113300.1	41546	52520	40350	50712	39584	46914	43578	57400
WUAT02000200.1	Potri.006G268200.4	1234	584	58	430	176	356	2866	552
WUAT02000203.1	Potri.005G210000.1	11144	14274	9318	14244	17116	10998	17300	14238
WUAT02000204.1	Potri.011G074868.1	114	660	214	174	144	224	494	126
WUAT02000205.1	Potri.007G147100.1	11946	12746	10562	10968	11430	12952	11978	12236
WUAT02000208.1	Potri.007G061721.1	16532	13332	14042	14232	12378	24240	18436	31136
WUAT02000209.1	Potri.006G185000.1	46642	77998	70934	83798	48714	85326	60280	103388
WUAT02000212.1	Potri.006G230400.5	1948	2268	2542	2362	2200	3070	2078	2892
WUAT02000217.1	Potri.001G370300.2	38094	47016	33070	40072	36110	40844	36002	53148
WUAT02000230.1	Potri.013G162600.1	582	466	176	238	212	450	532	1714
WUAT02000231.1	Potri.005G060300.2	586	376	1512	710	568	566	470	1300
WUAT02000233.1	Potri.015G009200.4	29280	36320	26614	35244	28178	47136	33922	38692
WUAT02000234.1	Potri.008G005000.1	1100	1150	1116	1604	834	1694	1470	1940
WUAT02000235.1	Potri.010G052500.1	27468	26574	22892	27836	25680	27358	22584	30804
WUAT02000238.1	Potri.011G044300.1	17914	23598	16490	18924	19174	23834	17746	23958
WUAT02000244.1	Potri.007G061861.1	15242	20322	16660	18684	13452	19428	20666	21766
WUAT02000248.1	Potri.003G183000.1	3044	3412	3438	3222	3014	3404	4018	4444
WUAT02000253.1	Potri.004G165500.1	18054	21098	18428	20660	14394	21886	20888	24822
WUAT02000256.1	Potri.014G175200.4	111998	121100	221512	118808	87230	121892	133510	159852
WUAT02000258.1	Potri.006G095000.2	4980	6946	3934	5318	4088	4722	2888	8024
WUAT02000262.1	Potri.013G143400.2	45038	50278	37134	53028	36038	59200	60898	61782
WUAT02000271.1	Potri.015G037200.1	19390	22268	13180	18136	18958	18942	17210	24756
WUAT02000276.1	Potri.011G074750.1	27858	32214	28670	31416	19950	27328	20880	34650
WUAT02000277.1	Potri.015G127900.1	24	2	8	112	94	132	4	6
WUAT02000280.1	Potri.017G099100.1	8332	8616	4538	8216	6958	4416	2830	4926
WUAT02000282.1	Potri.010G052900.1	444	552	1366	820	706	480	894	874
WUAT02000289.1	Potri.013G142972.1	19730	18330	38104	22352	19896	18594	18102	22564
WUAT02000290.1	Potri.003G185901.1	1562	3450	3286	2436	2408	3560	3606	4480
WUAT02000295.1	Potri.001G222300.1	4250	5552	3918	4700	5208	4326	4362	5482
WUAT02000307.1	Potri.013G143400.2	1666	2370	1946	2506	1468	3122	2398	2110
WUAT02000312.1	Potri.003G039100.5	19918	23504	27978	25946	25034	30838	20726	33164
WUAT02000315.1	Potri.013G154600.1	11788	14958	10284	14200	10376	18050	13002	19214
WUAT02000318.1	Potri.012G031250.1	30	12	44	44	4	24	18	28
WUAT02000325.1	Potri.013G133550.2	15302	26160	22966	21842	22356	28510	21244	37206
WUAT02000327.1	Potri.014G076300.2	38	154	250	74	82	126	246	272
WUAT02000328.1	Potri.007G122100.1	26610	44696	10116	20332	30070	30920	21108	23266
WUAT02000329.1	Potri.014G170500.2	7534	3698	5676	1410	7472	1780	2690	13618
WUAT02000330.1	Potri.010G226000.9	3740	5280	7258	5886	7368	8480	5166	11100
WUAT02000334.1	Potri.008G005200.2	432	620	166	596	314	206	74	354
WUAT02000343.1	Potri.006G222000.1	2250	2410	1600	2996	1588	2358	2692	3352
WUAT02000344.1	Potri.003G018800.1	19336	26306	23942	25516	25050	42206	29458	33046
WUAT02000347.1	Potri.004G213400.1	926	2248	1140	1150	2268	950	2702	1674
WUAT02000349.1	Potri.010G088900.1	1196	1758	1036	714	1072	1370	774	2416
WUAT02000352.1	Potri.014G044900.5	9430	7644	6524	9692	7648	11740	9578	9072
WUAT02000353.1	Potri.007G062302.2	1530	2224	3458	2242	2288	2686	3456	3044
WUAT02000356.1	Potri.008G224210.1	372	410	270	436	452	388	362	408
WUAT02000357.1	Potri.008G013500.1	54	146	74	22	68	60	72	206
WUAT02000361.1	Potri.008G206000.4	31072	37796	30204	34468	31536	44604	39504	63698
WUAT02000362.1	Potri.002G149600.1	468	614	1284	662	814	846	1468	612
WUAT02000370.1	Potri.013G133550.2	56606	63428	56116	74724	42116	47352	36008	60268
WUAT02000371.1	Potri.003G077100.5	14626	18426	13402	16166	14184	18630	16320	18834
WUAT02000372.1	Potri.016G059900.3	5844	5600	5590	7460	5176	7228	6258	6542
WUAT02000379.1	Potri.011G094500.2	18276	23496	16770	22258	14312	20310	19950	27846
WUAT02000383.1	Potri.001G418100.1	5074	5688	3488	5374	3868	4704	4328	5976
WUAT02000388.1	Potri.018G076600.3	34966	44350	41348	42482	30120	37176	38312	56110
WUAT02000389.1	Potri.006G199400.1	4264	4670	3936	3606	4450	4200	5070	7760
WUAT02000393.1	Potri.018G068400.1	5478	7282	3756	5110	3972	4180	2534	5604
WUAT02000394.1	Potri.005G140700.4	22128	24886	31910	24392	21434	20746	20188	24868
WUAT02000397.1	Potri.002G230700.3	11184	11672	9850	11284	10328	10514	9958	13992
WUAT02000402.1	Potri.013G073400.1	4600	8198	4344	8936	8764	10540	4532	9294
WUAT02000404.1	Potri.005G233400.1	5030	5192	6780	6976	5952	6652	4966	12218
WUAT02000405.1	Potri.001G159700.1	49542	35986	40404	45638	58008	73126	58910	52538
WUAT02000406.1	Potri.013G139112.2	189938	128432	198816	173066	160960	92762	116358	33650
WUAT02000411.1	Potri.004G040600.1	6172	14982	10138	26020	6700	5874	3396	21344
WUAT02000412.1	Potri.004G031600.3	182	250	296	202	220	362	236	334
WUAT02000415.1	Potri.013G138490.1	20156	24842	25462	22270	20162	32716	24632	32558
WUAT02000419.1	Potri.019G015111.1	7522	7878	5380	7576	6802	12104	10260	10216
WUAT02000420.1	Potri.004G054000.3	28288	34586	34484	36834	27724	38988	30882	50644
WUAT02000429.1	Potri.008G133300.1	13478	18302	14736	15516	14028	20612	14300	22464
WUAT02000430.1	Potri.002G174400.1	7584	6470	6122	6706	6266	5962	4318	7984
WUAT02000433.1	Potri.004G146600.5	173192	198174	115866	204788	112550	252754	141386	208820
WUAT02000437.1	Potri.011G026600.1	103306	120538	71374	104226	75396	131640	100090	147998
WUAT02000438.1	Potri.011G074600.2	4528	4540	4314	5234	4166	4660	5234	6100
WUAT02000439.1	Potri.005G110600.6	13126	16314	14414	18192	14794	17256	19060	19446
WUAT02000441.1	Potri.015G007700.1	12364	13818	9258	12114	8858	12184	12170	11420
WUAT02000442.1	Potri.010G128600.4	72490	47596	35988	42678	42144	52224	43164	57674
WUAT02000444.1	Potri.004G101500.1	6	30	6	6	8	8	16	6
WUAT02000447.1	Potri.013G133550.2	2480	2642	2270	2442	2312	2632	2730	3842
WUAT02000448.1	Potri.019G025700.4	1622	1770	1396	1114	1074	708	1794	1844
WUAT02000451.1	Potri.008G221801.2	27354	31846	28198	32044	27924	35630	29380	31592
WUAT02000455.1	Potri.006G188700.1	1700	2066	2938	1664	1658	1912	2490	2618
WUAT02000460.1	Potri.001G435900.2	10294	11542	10062	11400	9454	14996	10930	16740
WUAT02000461.1	Potri.008G185200.2	12060	14264	12408	13726	12774	18634	14944	17726
WUAT02000464.1	Potri.018G087800.2	3586	12104	4934	5246	7420	6594	5642	8338
WUAT02000469.1	Potri.016G068900.3	13466	15660	15696	16890	12044	15106	12948	21514
WUAT02000471.1	Potri.011G146800.5	316	528	286	588	310	650	218	554
WUAT02000472.1	Potri.015G103700.1	22634	24156	23818	25750	18700	20914	20354	24060
WUAT02000475.1	Potri.008G062400.1	678	568	2208	1080	340	1848	2808	1614
WUAT02000478.1	Potri.013G158200.3	24338	30668	23866	26310	20092	39842	43582	29084
WUAT02000484.1	Potri.013G133550.2	1272	1460	854	1866	1636	1802	1132	2390
WUAT02000487.1	Potri.003G015800.1	15936	24006	12806	17424	14912	17874	18316	36816
WUAT02000492.1	Potri.001G370366.2	2360	2824	2732	3044	2170	4274	2178	6736
WUAT02000496.1	Potri.018G040100.1	21178	27948	15016	27948	22312	30120	35080	23200
WUAT02000500.1	Potri.010G086900.2	1904	4592	2760	2340	2226	2680	3198	2786
WUAT02000501.1	Potri.004G182400.1	380	436	466	432	432	754	164	228
WUAT02000502.1	Potri.013G133550.2	12928	10708	6392	10292	10104	12318	10934	13512
WUAT02000503.1	Potri.016G084900.1	10384	11956	12286	9348	14856	12626	8086	11220
WUAT02000505.1	Potri.014G153000.1	15306	10330	8958	12288	14106	11318	7602	6888
WUAT02000511.1	Potri.008G142400.6	11974	12712	12380	12314	10864	11848	11496	10438
WUAT02000514.1	Potri.012G110800.1	2344	3644	2792	2614	3276	3392	2430	3536
WUAT02000518.1	Potri.001G349300.9	34708	36382	26858	33746	38714	37814	25462	29998
WUAT02000519.1	Potri.004G197000.2	5030	5438	4934	5356	4086	5494	5334	5960
WUAT02000523.1	Potri.012G031250.1	56410	70652	137856	69948	35194	60008	75850	78018
WUAT02000531.1	Potri.001G312800.9	26290	29162	33372	29100	23624	38202	30580	40592
WUAT02000539.1	Potri.013G092500.1	70	44	6	10	72	64	52	78
WUAT02000541.1	Potri.001G312800.7	68564	103148	51352	76860	62894	63798	49220	83988
WUAT02000543.1	Potri.004G059200.2	10488	6604	6022	8220	10206	10688	8824	8666
WUAT02000546.1	Potri.011G075051.1	280	664	844	440	880	334	470	1542
WUAT02000550.1	Potri.002G193700.1	17882	26494	18768	15200	20238	79398	77294	27210
WUAT02000551.1	Potri.013G133550.2	1066	1276	1318	1326	1284	1216	1350	2068
WUAT02000559.1	Potri.001G313900.1	12192	17862	14438	15456	13540	14986	12446	18072
WUAT02000560.1	Potri.012G031250.1	2034	3454	2270	3142	2132	3744	2792	3438
WUAT02000566.1	Potri.013G147200.2	11760	13888	14846	14840	11698	18916	13856	18148
WUAT02000570.1	Potri.002G001900.9	1104	1850	1548	1548	1490	2126	1764	2120
WUAT02000573.1	Potri.001G359700.6	376	454	346	408	400	486	512	776
WUAT02000577.1	Potri.007G011200.7	16862	18316	14962	19104	14086	21028	20066	27992
WUAT02000582.1	Potri.012G031250.1	23560	32304	33672	31872	26324	37952	31964	42296
WUAT02000586.1	Potri.005G148900.1	15986	13938	10450	11064	11104	11216	9094	11634
WUAT02000588.1	Potri.005G086100.7	28806	31832	33902	31998	28100	38876	34326	43588
WUAT02000590.1	Potri.006G260200.4	12014	18026	9702	16104	16614	20632	13838	24694
WUAT02000591.1	Potri.013G138100.2	1352	858	760	242	1152	262	1770	820
WUAT02000595.1	Potri.003G072300.10	21986	27252	27238	21188	25170	26624	22726	30044
WUAT02000597.1	Potri.005G212700.1	1108	1368	1076	1314	764	836	324	288
WUAT02000600.1	Potri.012G062700.1	29610	32270	24300	31164	26488	36192	28054	37904
WUAT02000601.1	Potri.008G177000.7	140	96	32	52	136	34	56	62
WUAT02000602.1	Potri.002G093500.4	5250	5054	2632	3062	6152	4684	3758	4014
WUAT02000604.1	Potri.009G034500.1	800	784	942	816	810	1296	1170	1480
WUAT02000605.1	Potri.002G090900.5	8006	8598	7364	6820	12246	8162	9716	11936
WUAT02000608.1	Potri.018G139400.1	144	36	170	204	106	118	66	146
WUAT02000610.1	Potri.007G061861.1	15410	12084	24044	12182	11586	8504	9142	10482
WUAT02000613.1	Potri.010G069000.2	32332	34908	30156	33808	33924	32672	32170	37526
WUAT02000618.1	Potri.013G133550.1	1520	964	1574	2084	742	3726	2194	3126
WUAT02000626.1	Potri.002G078800.4	9818	11128	10620	9942	9134	12986	10860	11906
WUAT02000628.1	Potri.002G178801.1	1132	1110	2148	1340	1312	2098	1472	1932
WUAT02000629.1	Potri.018G067800.2	30728	40580	41336	46324	27456	42584	37072	58414
WUAT02000631.1	Potri.001G243400.1	59524	77640	73836	70624	53322	75024	66214	87288
WUAT02000636.1	Potri.005G213300.6	5630	6802	6142	5708	5426	7438	7408	9440
WUAT02000639.1	Potri.002G109601.10	64	152	58	80	116	208	150	144
WUAT02000640.1	Potri.013G102700.1	14762	14352	10926	11658	13754	18174	14330	16690
WUAT02000641.1	Potri.013G137077.1	3680	6784	5698	4834	7274	9328	7364	7960
WUAT02000644.1	Potri.010G090100.2	3284	3982	4142	3810	3454	3228	2412	4520
WUAT02000645.1	Potri.001G314300.1	51550	68440	70924	66874	51570	77306	49132	82994
WUAT02000648.1	Potri.011G074067.1	3166	6468	9328	3474	5254	2440	1358	1676
WUAT02000650.1	Potri.003G203100.1	4238	5368	5272	5012	4602	6378	5348	7876
WUAT02000659.1	Potri.008G070600.2	426	478	564	298	98	446	486	1328
WUAT02000662.1	Potri.008G085000.1	794	1536	2780	1864	386	616	4852	468
WUAT02000667.1	Potri.010G000301.1	5802	6290	4328	5520	5810	6418	3922	4640
WUAT02000669.1	Potri.018G110200.3	6918	6692	9004	8924	10362	11688	7286	12512
WUAT02000676.1	Potri.011G074600.2	20466	24690	22702	22650	19372	26190	21730	30060
WUAT02000681.1	Potri.009G041800.1	3740	6530	4176	7076	6838	7062	5488	6296
WUAT02000685.1	Potri.004G078932.2	1774	2022	2216	1918	1716	2238	1824	2356
WUAT02000687.1	Potri.003G018500.2	2508	2906	3272	2578	2894	3076	2790	4052
WUAT02000689.1	Potri.010G105600.1	13006	13120	15048	14414	11696	14284	12424	16232
WUAT02000690.1	Potri.003G174900.3	30022	37500	36334	35342	24324	38438	31806	43466
WUAT02000694.1	Potri.004G210100.1	60364	73238	87226	78026	55212	81240	68398	117102
WUAT02000695.1	Potri.004G162500.1	29940	37690	35394	32398	27214	38972	36098	42222
WUAT02000699.1	Potri.010G189000.1	82114	95936	79040	98906	74836	100800	67620	136788
WUAT02000703.1	Potri.006G222500.5	67892	81734	75512	70902	49880	70498	72284	79708
WUAT02000707.1	Potri.010G052500.1	6058	6142	6528	7978	4476	3828	4396	5794
WUAT02000712.1	Potri.011G074150.1	34698	28126	17788	37592	46172	65170	37116	43048
WUAT02000714.1	Potri.004G094850.1	14180	13940	10106	8912	16326	25480	36660	16920
WUAT02000715.1	Potri.013G133550.2	16	50	60	94	22	78	32	62
WUAT02000717.1	Potri.005G208200.1	8692	8186	10592	9364	7870	9332	7422	9906
WUAT02000721.1	Potri.008G013300.1	1242	1882	1592	1692	796	1170	1364	2400
WUAT02000722.1	Potri.011G147700.1	82582	102042	92946	101208	56988	96584	88044	119892
WUAT02000725.1	Potri.013G095100.2	29916	45468	24374	47804	43258	64058	33300	87128
WUAT02000726.1	Potri.013G143400.2	2644	5806	4044	3520	2776	4630	3652	4082
WUAT02000727.1	Potri.005G045500.4	13286	17326	11010	14294	12478	13852	12414	14578
WUAT02000730.1	Potri.006G263100.2	69902	79820	63596	79842	58338	77446	67788	104096
WUAT02000731.1	Potri.001G312800.7	342	728	368	376	218	1078	68	1274
WUAT02000735.1	Potri.015G082700.1	3694	1974	1736	2776	2796	2792	1620	1420
WUAT02000740.1	Potri.015G112600.1	3630	5904	3568	4234	4750	5536	5048	4730
WUAT02000742.1	Potri.006G122300.4	26448	25374	25992	25210	20814	29496	24824	35742
WUAT02000743.1	Potri.006G222000.1	13990	18906	13612	15424	9220	14416	13214	21000
WUAT02000744.1	Potri.012G058400.2	98	40	242	204	208	368	74	170
WUAT02000748.1	Potri.016G055700.1	40816	48282	38910	46158	42976	72716	57952	56018
WUAT02000752.1	Potri.001G066800.1	23706	23042	21674	26280	19004	22526	19902	28404
WUAT02000754.1	Potri.006G046900.4	1616	6336	2824	2726	3700	4154	3054	6108
WUAT02000756.1	Potri.008G187600.2	9886	14232	8530	14890	11648	15866	14850	13242
WUAT02000757.1	Potri.013G141912.1	3792	2898	3446	4280	2832	3552	2516	3730
WUAT02000762.1	Potri.018G111700.1	756	1292	1086	1196	840	1392	980	1128
WUAT02000766.1	Potri.009G058000.1	628	658	530	796	506	462	426	652
WUAT02000768.1	Potri.007G061961.1	148	162	932	188	586	98	642	2454
WUAT02000771.1	Potri.004G052300.1	30518	38358	44154	40048	31994	47318	42372	44818
WUAT02000772.1	Potri.001G466000.2	268510	420966	349516	348276	241906	340780	305498	410016
WUAT02000775.1	Potri.001G207700.4	29730	34544	38264	33080	30644	42626	38004	44176
WUAT02000784.1	Potri.015G007400.2	57556	62756	43536	64772	37350	54006	56266	68980
WUAT02000785.1	Potri.019G039700.1	528	1042	470	888	740	952	892	1256
WUAT02000793.1	Potri.007G015500.1	5320	6310	5998	5148	4946	5258	6048	7794
WUAT02000795.1	Potri.006G095800.6	17910	27144	18098	20388	18448	27618	20898	28752
WUAT02000797.1	Potri.004G030500.4	13438	18438	16116	16440	15794	15198	14238	20704
WUAT02000798.1	Potri.006G188500.1	5456	4104	5120	6910	3750	6090	6018	10198
WUAT02000801.1	Potri.014G163400.1	42962	53100	33970	49076	35524	51060	39858	60086
WUAT02000802.1	Potri.002G123500.6	76162	64138	66776	76204	79448	116170	65164	74364
WUAT02000805.1	Potri.007G071350.1	8	2	0	4	0	4	0	0
WUAT02000806.1	Potri.014G018000.4	14668	17898	15564	15504	16976	17882	17872	21248
WUAT02000807.1	Potri.018G084800.1	14850	15366	16984	15812	15618	20084	20398	19504
WUAT02000808.1	Potri.004G176600.1	101362	106410	249406	121006	115938	154604	134570	136354
WUAT02000809.1	Potri.004G022600.1	6	4	6	12	6	2	8	2
WUAT02000811.1	Potri.015G024200.1	27706	25936	26198	24292	31148	16744	14160	16754
WUAT02000813.1	Potri.013G139112.2	4	8	2	6	14	4	8	4
WUAT02000816.1	Potri.011G074150.1	486	1048	828	876	892	1678	598	1162
WUAT02000820.1	Potri.016G004900.2	1166	942	2546	1182	1846	1852	1586	2878
WUAT02000825.1	Potri.005G046300.1	16788	14532	15758	16688	14576	17838	15384	16766
WUAT02000829.1	Potri.011G113575.1	14738	16100	11758	15560	12198	12466	10370	18356
WUAT02000833.1	Potri.011G074067.1	112	716	510	456	486	558	144	404
WUAT02000840.1	Potri.006G152700.11	12614	8920	7186	9920	9060	6440	4420	3414
WUAT02000842.1	Potri.007G017600.8	29280	36588	32202	36128	34966	49244	37334	46634
WUAT02000846.1	Potri.004G188900.1	52072	61114	96480	60478	53618	57718	52462	63804
WUAT02000847.1	Potri.008G178300.1	550	842	692	1088	644	860	1132	992
WUAT02000851.1	Potri.013G136466.1	50	62	42	12	38	10	60	50
WUAT02000852.1	Potri.014G098600.7	118522	95602	106590	109026	127306	151556	97912	100992
WUAT02000856.1	Potri.003G058900.1	53428	44986	72754	49800	66698	79802	82542	67872
WUAT02000860.1	Potri.014G170500.2	240	508	148	1068	210	570	1348	634
WUAT02000862.1	Potri.008G210100.1	2422	2504	1788	2258	1770	2026	1800	1978
WUAT02000865.1	Potri.017G075700.1	3890	5650	4772	5442	4836	4796	4088	7164
WUAT02000866.1	Potri.007G023300.1	8	10	0	0	18	6	4	10
WUAT02000874.1	Potri.004G104201.4	2212	3542	2606	2180	2130	4092	3990	5872
WUAT02000875.1	Potri.001G024800.1	1418	2464	1022	1660	1280	3102	2814	2042
WUAT02000877.1	Potri.010G029700.2	20192	20582	20158	19702	20654	34060	33816	28580
WUAT02000879.1	Potri.008G121200.2	36488	29320	25664	36996	41302	43134	32164	36936
WUAT02000880.1	Potri.013G092500.1	14	8	10	584	8	850	16	20
WUAT02000883.1	Potri.005G222900.6	18604	22954	17564	21396	18448	23872	20308	28926
WUAT02000887.1	Potri.008G064700.1	66696	93372	89134	80262	87630	62938	72448	87424
WUAT02000889.1	Potri.014G094300.1	2000	2522	2222	2392	2238	2310	2700	3294
WUAT02000893.1	Potri.013G143400.2	4	14	16	0	6	12	0	14
WUAT02000901.1	Potri.009G147100.3	1566	1354	1244	1210	1146	1696	1062	2942
WUAT02000903.1	Potri.019G052500.5	7232	10902	4454	8314	6310	6884	4038	10406
WUAT02000905.1	Potri.018G143100.5	18136	21026	18234	21088	19592	23734	20722	27266
WUAT02000907.1	Potri.014G066600.1	894	1606	1746	1454	1060	1560	1262	1438
WUAT02000914.1	Potri.014G029800.3	19538	21354	25232	19840	18606	21530	16544	23868
WUAT02000915.1	Potri.001G255000.4	11772	14854	13342	14212	10590	16130	14098	19452
WUAT02000917.1	Potri.013G142760.1	1402	1452	1110	1270	1268	814	1012	1052
WUAT02000918.1	Potri.013G143400.2	8	4	2	0	2	0	0	0
WUAT02000919.1	Potri.001G411100.1	31792	34394	25090	34892	26930	34454	30542	37958
WUAT02000926.1	Potri.010G131100.1	2	10	0	8	10	12	36	4
WUAT02000928.1	Potri.007G062602.1	15822	12732	17592	11070	28100	14064	9718	17664
WUAT02000933.1	Potri.008G019800.1	5340	7162	5768	5710	5300	6520	7166	8692
WUAT02000938.1	Potri.013G138201.1	162	220	186	2	2054	194	0	86
WUAT02000946.1	Potri.011G074201.1	4732	7800	4440	6256	4842	6462	4102	8480
WUAT02000951.1	Potri.013G143400.2	7036	7884	4180	7944	18284	14212	9094	13534
