Gene_ID	explevel_log	subject_id
WUAT02000089.1	10.6819002384192	Potri.013G143400.2
WUAT02000091.1	8.5448348861739	Potri.002G159400.1
WUAT02000092.1	10.9021848811553	Potri.007G075500.1
WUAT02000093.1	-0.381886622016167	Potri.013G140850.2
WUAT02000096.1	9.22464242709409	Potri.018G088300.1
WUAT02000101.1	10.5465000949747	Potri.010G252000.6
WUAT02000104.1	8.45508800559241	Potri.008G088900.2
WUAT02000105.1	7.15335145427683	Potri.002G072100.1
WUAT02000109.1	10.628240342104	Potri.014G052500.1
WUAT02000114.1	8.72630525633118	Potri.013G153100.1
WUAT02000117.1	5.71312539276735	Potri.008G046500.1
WUAT02000122.1	9.84311335145755	Potri.011G050500.1
WUAT02000123.1	10.0752042073893	Potri.012G095133.1
WUAT02000126.1	7.47958599776546	Potri.001G230000.4
WUAT02000127.1	7.62845060916602	Potri.001G174500.5
WUAT02000131.1	10.6530714623706	Potri.010G052500.1
WUAT02000136.1	9.8724891054699	Potri.001G312800.7
WUAT02000137.1	4.84152392135807	Potri.008G221801.2
WUAT02000139.1	6.86230308822626	Potri.010G042000.1
WUAT02000141.1	9.55657920311522	Potri.005G113600.4
WUAT02000142.1	9.33727149560073	Potri.012G105800.2
WUAT02000148.1	9.13604161159216	Potri.006G203300.1
WUAT02000150.1	9.26629650841975	Potri.011G156900.1
WUAT02000151.1	8.39554826090624	Potri.014G140400.1
WUAT02000154.1	8.28044213034763	Potri.001G450401.1
WUAT02000159.1	8.46044635360586	Potri.005G074200.2
WUAT02000163.1	10.2043036467098	Potri.005G048700.1
WUAT02000164.1	7.75795376432888	Potri.001G312800.9
WUAT02000167.1	8.56342827480251	Potri.005G205400.1
WUAT02000168.1	9.52275268128681	Potri.014G185804.1
WUAT02000172.1	9.51697471371952	Potri.007G073100.1
WUAT02000177.1	6.71655287046383	Potri.013G141912.1
WUAT02000182.1	4.4503235179932	Potri.001G375600.1
WUAT02000184.1	10.7064784553108	Potri.002G259600.4
WUAT02000185.1	7.90128143932722	Potri.015G035500.1
WUAT02000186.1	10.3594098367501	Potri.012G088500.11
WUAT02000190.1	10.0530459650309	Potri.012G069000.6
WUAT02000191.1	8.78744097707371	Potri.001G190200.1
WUAT02000194.1	7.1762764751138	Potri.016G004900.2
WUAT02000196.1	9.48127391046492	Potri.013G142232.4
WUAT02000199.1	10.7780701870193	Potri.006G113300.1
WUAT02000200.1	6.75740087981236	Potri.006G268200.4
WUAT02000203.1	9.63095505276966	Potri.005G210000.1
WUAT02000204.1	5.45662192452125	Potri.011G074868.1
WUAT02000205.1	9.40996410833853	Potri.007G147100.1
WUAT02000208.1	9.77549607114204	Potri.007G061721.1
WUAT02000209.1	11.0479165061306	Potri.006G185000.1
WUAT02000212.1	7.87682840966651	Potri.006G230400.5
WUAT02000217.1	10.5766041160363	Potri.001G370300.2
WUAT02000230.1	6.72778126212642	Potri.013G162600.1
WUAT02000231.1	6.93421963022544	Potri.005G060300.2
WUAT02000233.1	10.3841712968378	Potri.015G009200.4
WUAT02000234.1	7.12696331898335	Potri.008G005000.1
WUAT02000235.1	10.2005560850038	Potri.010G052500.1
WUAT02000238.1	10.2525004220452	Potri.011G044300.1
WUAT02000244.1	9.90467126666084	Potri.007G061861.1
WUAT02000248.1	8.19948162134807	Potri.003G183000.1
WUAT02000253.1	9.84540535091764	Potri.004G165500.1
WUAT02000256.1	12.2287564379843	Potri.014G175200.4
WUAT02000258.1	8.48271567269837	Potri.006G095000.2
WUAT02000262.1	10.6977221059272	Potri.013G143400.2
WUAT02000271.1	9.73492922972719	Potri.015G037200.1
WUAT02000276.1	10.3140038490149	Potri.011G074750.1
WUAT02000277.1	4.70686944502875	Potri.015G127900.1
WUAT02000280.1	8.58811386238667	Potri.017G099100.1
WUAT02000282.1	7.03376840558592	Potri.010G052900.1
WUAT02000289.1	9.78713127966027	Potri.013G142972.1
WUAT02000290.1	8.05775695891319	Potri.003G185901.1
WUAT02000295.1	8.4786447410419	Potri.001G222300.1
WUAT02000307.1	7.55050199744089	Potri.013G143400.2
WUAT02000312.1	10.2654317288074	Potri.003G039100.5
WUAT02000315.1	9.54516378513631	Potri.013G154600.1
WUAT02000318.1	2.55918921103792	Potri.012G031250.1
WUAT02000325.1	10.149772899127	Potri.013G133550.2
WUAT02000327.1	5.68635611799763	Potri.014G076300.2
WUAT02000328.1	10.2363447866601	Potri.007G122100.1
WUAT02000329.1	8.78889353805742	Potri.014G170500.2
WUAT02000330.1	8.75457735075945	Potri.010G226000.9
WUAT02000334.1	5.65584077770215	Potri.008G005200.2
WUAT02000343.1	7.68461532010222	Potri.006G222000.1
WUAT02000344.1	10.2550056139042	Potri.003G018800.1
WUAT02000347.1	7.38976840418766	Potri.004G213400.1
WUAT02000349.1	7.12721006887783	Potri.010G088900.1
WUAT02000352.1	9.07813105308199	Potri.014G044900.5
WUAT02000353.1	7.96766581516076	Potri.007G062302.2
WUAT02000356.1	7.02609851282588	Potri.008G224210.1
WUAT02000357.1	4.05120134872381	Potri.008G013500.1
WUAT02000361.1	10.5304040535468	Potri.008G206000.4
WUAT02000362.1	7.02630514757336	Potri.002G149600.1
WUAT02000370.1	10.8782479090159	Potri.013G133550.2
WUAT02000371.1	9.70072350553023	Potri.003G077100.5
WUAT02000372.1	8.78721511094121	Potri.016G059900.3
WUAT02000379.1	9.80182406724262	Potri.011G094500.2
WUAT02000383.1	8.48315370859535	Potri.001G418100.1
WUAT02000388.1	10.5155473738888	Potri.018G076600.3
WUAT02000389.1	8.48484516480824	Potri.006G199400.1
WUAT02000393.1	8.28639400290565	Potri.018G068400.1
WUAT02000394.1	10.3271400977133	Potri.005G140700.4
WUAT02000397.1	9.3846708658008	Potri.002G230700.3
WUAT02000402.1	8.84725819561912	Potri.013G073400.1
WUAT02000404.1	8.92081406880516	Potri.005G233400.1
WUAT02000405.1	10.9352541349909	Potri.001G159700.1
WUAT02000406.1	12.3711466516007	Potri.013G139112.2
WUAT02000411.1	9.50595880800501	Potri.004G040600.1
WUAT02000412.1	5.69994906636348	Potri.004G031600.3
WUAT02000415.1	10.1977625674651	Potri.013G138490.1
WUAT02000419.1	8.88405036797811	Potri.019G015111.1
WUAT02000420.1	10.5733175338751	Potri.004G054000.3
WUAT02000429.1	9.77656353800617	Potri.008G133300.1
WUAT02000430.1	8.83970426596788	Potri.002G174400.1
WUAT02000433.1	11.8949370468492	Potri.004G146600.5
WUAT02000437.1	11.4859946730033	Potri.011G026600.1
WUAT02000438.1	8.58128640608349	Potri.011G074600.2
WUAT02000439.1	9.68321709293323	Potri.005G110600.6
WUAT02000441.1	9.33528164138808	Potri.015G007700.1
WUAT02000442.1	10.7893672484447	Potri.010G128600.4
WUAT02000444.1	1.588471113121	Potri.004G101500.1
WUAT02000447.1	7.91937666482397	Potri.013G133550.2
WUAT02000448.1	7.18522983823704	Potri.019G025700.4
WUAT02000451.1	10.3626734807813	Potri.008G221801.2
WUAT02000455.1	7.71376509458121	Potri.006G188700.1
WUAT02000460.1	9.38547368017327	Potri.001G435900.2
WUAT02000461.1	9.52789455415531	Potri.008G185200.2
WUAT02000464.1	8.94036389501983	Potri.018G087800.2
WUAT02000469.1	9.71111433176583	Potri.016G068900.3
WUAT02000471.1	5.94634511447406	Potri.011G146800.5
WUAT02000472.1	10.1637507152698	Potri.015G103700.1
WUAT02000475.1	6.90974325017612	Potri.008G062400.1
WUAT02000478.1	10.2261807558322	Potri.013G158200.3
WUAT02000484.1	7.42610755491803	Potri.013G133550.2
WUAT02000487.1	9.75640440859688	Potri.003G015800.1
WUAT02000492.1	7.93994018528281	Potri.001G370366.2
WUAT02000496.1	9.95117317200901	Potri.018G040100.1
WUAT02000500.1	7.91248297682488	Potri.010G086900.2
WUAT02000501.1	6.33747827730857	Potri.004G182400.1
WUAT02000502.1	9.29303469212619	Potri.013G133550.2
WUAT02000503.1	9.4663833005512	Potri.016G084900.1
WUAT02000505.1	9.54981688328795	Potri.014G153000.1
WUAT02000511.1	9.5337209549526	Potri.008G142400.6
WUAT02000514.1	7.92069989967663	Potri.012G110800.1
WUAT02000518.1	10.451357722184	Potri.001G349300.9
WUAT02000519.1	8.55316301313997	Potri.004G197000.2
WUAT02000523.1	11.3072776573798	Potri.012G031250.1
WUAT02000531.1	10.4711370248374	Potri.001G312800.9
WUAT02000539.1	3.9767960650931	Potri.013G092500.1
WUAT02000541.1	11.1756447278243	Potri.001G312800.7
WUAT02000543.1	9.16009080578505	Potri.004G059200.2
WUAT02000546.1	7.15183905646506	Potri.011G075051.1
WUAT02000550.1	10.1340769252828	Potri.002G193700.1
WUAT02000551.1	7.38176472098976	Potri.013G133550.2
WUAT02000559.1	9.71478585683332	Potri.001G313900.1
WUAT02000560.1	8.09672872532536	Potri.012G031250.1
WUAT02000566.1	9.56072076386285	Potri.013G147200.2
WUAT02000570.1	7.36681448113415	Potri.002G001900.9
WUAT02000573.1	5.94298673892378	Potri.001G359700.6
WUAT02000577.1	9.92444378232149	Potri.007G011200.7
WUAT02000582.1	10.4351260696848	Potri.012G031250.1
WUAT02000586.1	9.49348207289262	Potri.005G148900.1
WUAT02000588.1	10.5664347591113	Potri.005G086100.7
WUAT02000590.1	9.73393695863398	Potri.006G260200.4
WUAT02000591.1	6.98236032636853	Potri.013G138100.2
WUAT02000595.1	10.3320771586677	Potri.003G072300.10
WUAT02000597.1	6.68845697079865	Potri.005G212700.1
WUAT02000600.1	10.3057190290678	Potri.012G062700.1
WUAT02000601.1	4.35739957963409	Potri.008G177000.7
WUAT02000602.1	8.45050268711929	Potri.002G093500.4
WUAT02000604.1	6.96190072878905	Potri.009G034500.1
WUAT02000605.1	9.24534786140237	Potri.002G090900.5
WUAT02000608.1	5.51274253910001	Potri.018G139400.1
WUAT02000610.1	9.74021413819551	Potri.007G061861.1
WUAT02000613.1	10.5160922826515	Potri.010G069000.2
WUAT02000618.1	7.56994487356135	Potri.013G133550.1
WUAT02000626.1	9.32215688251879	Potri.002G078800.4
WUAT02000628.1	7.1852263825194	Potri.002G178801.1
WUAT02000629.1	10.5939661767458	Potri.018G067800.2
WUAT02000631.1	11.202024929153	Potri.001G243400.1
WUAT02000636.1	8.85418024864693	Potri.005G213300.6
WUAT02000639.1	4.39658511272233	Potri.002G109601.10
WUAT02000640.1	9.52620156379729	Potri.013G102700.1
WUAT02000641.1	8.96608658786167	Potri.013G137077.1
WUAT02000644.1	8.26434707416725	Potri.010G090100.2
WUAT02000645.1	11.1704314030586	Potri.001G314300.1
WUAT02000648.1	8.19519251521673	Potri.011G074067.1
WUAT02000650.1	8.65201864296669	Potri.003G203100.1
WUAT02000659.1	6.6140086760664	Potri.008G070600.2
WUAT02000662.1	6.60121300552066	Potri.008G085000.1
WUAT02000667.1	8.56048576516211	Potri.010G000301.1
WUAT02000669.1	9.11921400750342	Potri.018G110200.3
WUAT02000676.1	10.1606474183566	Potri.011G074600.2
WUAT02000681.1	8.63297406107758	Potri.009G041800.1
WUAT02000685.1	7.72973860702204	Potri.004G078932.2
WUAT02000687.1	8.16445419254939	Potri.003G018500.2
WUAT02000689.1	9.58277899449904	Potri.010G105600.1
WUAT02000690.1	10.5430708326854	Potri.003G174900.3
WUAT02000694.1	11.3176018167675	Potri.004G210100.1
WUAT02000695.1	10.5232624467048	Potri.004G162500.1
WUAT02000699.1	11.3925149787482	Potri.010G189000.1
WUAT02000703.1	11.1101989413533	Potri.006G222500.5
WUAT02000707.1	8.817037724583	Potri.010G052500.1
WUAT02000712.1	10.435529519923	Potri.011G074150.1
WUAT02000714.1	9.68781005028096	Potri.004G094850.1
WUAT02000715.1	3.817780355634	Potri.013G133550.2
WUAT02000717.1	9.24679464829283	Potri.005G208200.1
WUAT02000721.1	7.42706165077541	Potri.008G013300.1
WUAT02000722.1	11.3405944667295	Potri.011G147700.1
WUAT02000725.1	10.6795134085048	Potri.013G095100.2
WUAT02000726.1	8.37443287574006	Potri.013G143400.2
WUAT02000727.1	9.50904934509385	Potri.005G045500.4
WUAT02000730.1	11.2173177280209	Potri.006G263100.2
WUAT02000731.1	6.62265636236826	Potri.001G312800.7
WUAT02000735.1	7.85704215350749	Potri.015G082700.1
WUAT02000740.1	8.42991952102305	Potri.015G112600.1
WUAT02000742.1	10.2315314839297	Potri.006G122300.4
WUAT02000743.1	9.50736156665436	Potri.006G222000.1
WUAT02000744.1	5.08973210221137	Potri.012G058400.2
WUAT02000748.1	10.7547161340038	Potri.016G055700.1
WUAT02000752.1	10.147584052678	Potri.001G066800.1
WUAT02000754.1	8.01854609102351	Potri.006G046900.4
WUAT02000756.1	9.36250063167883	Potri.008G187600.2
WUAT02000757.1	8.04776820700244	Potri.013G141912.1
WUAT02000762.1	6.96785270519662	Potri.018G111700.1
WUAT02000766.1	6.40091186489543	Potri.009G058000.1
WUAT02000768.1	6.63566274327599	Potri.007G061961.1
WUAT02000771.1	10.6702286773377	Potri.004G052300.1
WUAT02000772.1	12.5934996384565	Potri.001G466000.2
WUAT02000775.1	10.6478838317791	Potri.001G207700.4
WUAT02000784.1	10.868241240877	Potri.015G007400.2
WUAT02000785.1	6.77372971698593	Potri.019G039700.1
WUAT02000793.1	8.65534711630096	Potri.007G015500.1
WUAT02000795.1	9.93804643376154	Potri.006G095800.6
WUAT02000797.1	9.77221436150199	Potri.004G030500.4
WUAT02000798.1	8.6511336039886	Potri.006G188500.1
WUAT02000801.1	10.7203599188099	Potri.014G163400.1
WUAT02000802.1	11.337701383337	Potri.002G123500.6
WUAT02000805.1	0.123380227106673	Potri.007G071350.1
WUAT02000806.1	9.86298982464288	Potri.014G018000.4
WUAT02000807.1	9.79453625250741	Potri.018G084800.1
WUAT02000808.1	12.1448925387562	Potri.004G176600.1
WUAT02000809.1	0.781687913962212	Potri.004G022600.1
WUAT02000811.1	10.2880458328238	Potri.015G024200.1
WUAT02000813.1	2.29467532494263	Potri.013G139112.2
WUAT02000816.1	6.97665095271572	Potri.011G074150.1
WUAT02000820.1	7.70946607802851	Potri.016G004900.2
WUAT02000825.1	9.7684174898731	Potri.005G046300.1
WUAT02000829.1	9.58985870849702	Potri.011G113575.1
WUAT02000833.1	6.03319988168481	Potri.011G074067.1
WUAT02000840.1	9.03091307134228	Potri.006G152700.11
WUAT02000842.1	10.5549435834631	Potri.007G017600.8
WUAT02000846.1	11.0929916563391	Potri.004G188900.1
WUAT02000847.1	6.6594566491771	Potri.008G178300.1
WUAT02000851.1	3.6927318255408	Potri.013G136466.1
WUAT02000852.1	11.8095443012657	Potri.014G098600.7
WUAT02000856.1	11.3845045133082	Potri.003G058900.1
WUAT02000860.1	5.75671894388605	Potri.014G170500.2
WUAT02000862.1	7.55070940388065	Potri.008G210100.1
WUAT02000865.1	8.6349768230845	Potri.017G075700.1
WUAT02000866.1	2.49559455462094	Potri.007G023300.1
WUAT02000874.1	7.82055308846912	Potri.004G104201.4
WUAT02000875.1	7.59014490294762	Potri.001G024800.1
WUAT02000877.1	10.1623377402347	Potri.010G029700.2
WUAT02000879.1	10.4817214843746	Potri.008G121200.2
WUAT02000880.1	5.09034380597758	Potri.013G092500.1
WUAT02000883.1	9.96486161930567	Potri.005G222900.6
WUAT02000887.1	11.4266880507242	Potri.008G064700.1
WUAT02000889.1	7.8233844874268	Potri.014G094300.1
WUAT02000893.1	1.45427115643881	Potri.013G143400.2
WUAT02000901.1	7.33424982061073	Potri.009G147100.3
WUAT02000903.1	8.89794334428466	Potri.019G052500.5
WUAT02000905.1	10.0402086834312	Potri.018G143100.5
WUAT02000907.1	7.31630155254358	Potri.014G066600.1
WUAT02000914.1	10.0859847889005	Potri.014G029800.3
WUAT02000915.1	9.54670006784866	Potri.001G255000.4
WUAT02000917.1	7.00649304125356	Potri.013G142760.1
WUAT02000918.1	0.748569193850927	Potri.013G143400.2
WUAT02000919.1	10.3109098363043	Potri.001G411100.1
WUAT02000926.1	2.70556954205421	Potri.010G131100.1
WUAT02000928.1	9.90864550543082	Potri.007G062602.1
WUAT02000933.1	8.81699930340648	Potri.008G019800.1
WUAT02000938.1	6.31667536277373	Potri.013G138201.1
WUAT02000946.1	8.607462740749	Potri.011G074201.1
WUAT02000951.1	9.0826031498032	Potri.013G143400.2
WUAT02000954.1	6.51658682334519	Potri.005G140000.1
WUAT02000955.1	11.1143472523043	Potri.001G356500.4
WUAT02000959.1	8.82531546624995	Potri.013G143400.2
WUAT02000964.1	10.1299507935357	Potri.015G085300.1
WUAT02000968.1	7.23140704935284	Potri.007G020100.1
WUAT02000970.1	11.9018478754209	Potri.003G197200.4
WUAT02000972.1	9.13059707182672	Potri.003G154800.2
WUAT02000973.1	10.9907890991504	Potri.010G131800.1
WUAT02000977.1	8.38805737155709	Potri.007G061721.1
WUAT02000982.1	10.8379904674446	Potri.009G079500.1
WUAT02000987.1	10.7303823367403	Potri.001G146100.8
WUAT02000996.1	8.64133179634818	Potri.013G142232.5
WUAT02001000.1	10.5812456858621	Potri.019G071700.2
WUAT02001004.1	9.93105810763574	Potri.013G091900.11
WUAT02001006.1	8.61888952940881	Potri.005G070700.6
WUAT02001007.1	7.87991421961224	Potri.009G126500.1
WUAT02001009.1	9.85278059072265	Potri.013G162800.1
WUAT02001014.1	8.94204634725758	Potri.006G120700.1
WUAT02001015.1	4.35887359663854	Potri.011G074501.1
WUAT02001018.1	10.961957107559	Potri.010G225100.1
WUAT02001022.1	7.9047283863908	Potri.014G185804.1
WUAT02001024.1	9.82861460802933	Potri.015G115701.2
WUAT02001027.1	9.79185587007748	Potri.002G133100.2
WUAT02001028.1	5.8886709540105	Potri.004G121400.2
WUAT02001031.1	10.1874122966801	Potri.016G085200.3
WUAT02001032.1	9.3958400634948	Potri.017G064201.1
WUAT02001036.1	9.17436615139247	Potri.008G224210.1
WUAT02001037.1	7.08625766327612	Potri.005G118100.1
WUAT02001042.1	8.88091142819851	Potri.002G094700.1
WUAT02001045.1	11.6780555947691	Potri.009G028001.1
WUAT02001047.1	0.486782564532227	Potri.013G143400.2
WUAT02001054.1	11.0960752048059	Potri.003G159000.6
WUAT02001058.1	6.46669938682634	Potri.010G022000.6
WUAT02001059.1	10.0785955995702	Potri.014G090100.2
WUAT02001063.1	11.8073018206968	Potri.012G031250.1
WUAT02001066.1	1.62191277772572	Potri.013G142760.1
WUAT02001068.1	9.40634335006419	Potri.001G312800.9
WUAT02001070.1	9.75111788941421	Potri.014G119100.5
WUAT02001075.1	1.88702269587868	Potri.013G133550.1
WUAT02001076.1	7.55438025139654	Potri.002G159400.1
WUAT02001077.1	9.77893443067816	Potri.005G038700.1
WUAT02001083.1	6.25440552502193	Potri.005G154350.1
WUAT02001088.1	7.7547424716166	Potri.012G117500.1
WUAT02001090.1	9.83162551021339	Potri.013G142760.3
WUAT02001091.1	7.39208022987139	Potri.010G000301.1
WUAT02001094.1	4.87651834276916	Potri.009G009200.5
WUAT02001095.1	9.84809645231848	Potri.011G127600.8
WUAT02001098.1	2.70121773674943	Potri.001G441040.1
WUAT02001104.1	7.9510472248598	Potri.007G095200.11
WUAT02001108.1	10.5740905462973	Potri.001G339500.3
WUAT02001112.1	8.70883615931764	Potri.012G031250.1
WUAT02001113.1	10.9586217241506	Potri.010G052500.1
WUAT02001121.1	8.51730566178292	Potri.015G074900.6
WUAT02001122.1	10.4735871233326	Potri.011G000200.1
WUAT02001126.1	11.0411513556038	Potri.013G036300.1
WUAT02001132.1	10.0957516373987	Potri.001G300900.1
WUAT02001135.1	10.2327490081618	Potri.006G246700.1
WUAT02001139.1	10.1406759177154	Potri.008G150000.1
WUAT02001144.1	11.2234091763843	Potri.001G312800.9
WUAT02001145.1	10.1269890306734	Potri.002G074600.2
WUAT02001147.1	4.25166913575299	Potri.017G140601.1
WUAT02001153.1	10.1790588334747	Potri.017G075100.2
WUAT02001158.1	8.58112407782497	Potri.011G074700.2
WUAT02001159.1	9.88449649704434	Potri.009G082500.1
WUAT02001162.1	11.7482522473339	Potri.016G055400.1
WUAT02001166.1	10.2286445734693	Potri.010G148900.3
WUAT02001167.1	3.9333925043926	Potri.002G224000.2
WUAT02001169.1	5.67275162260278	Potri.013G163100.1
WUAT02001171.1	8.70318539388016	Potri.008G058500.16
WUAT02001175.1	8.15150625415215	Potri.001G386300.1
WUAT02001176.1	8.97097324646277	Potri.005G154350.1
WUAT02001180.1	8.24249690875557	Potri.014G068100.1
WUAT02001185.1	9.89414025214997	Potri.004G176000.8
WUAT02001187.1	7.23213709600329	Potri.005G097000.4
WUAT02001189.1	9.75498448195274	Potri.017G075400.1
WUAT02001190.1	10.4479573161779	Potri.004G132300.1
WUAT02001193.1	12.0793749961735	Potri.005G015100.3
WUAT02001196.1	8.64498362872727	Potri.018G086350.1
WUAT02001198.1	9.534210642531	Potri.014G042700.3
WUAT02001199.1	10.5729869988711	Potri.001G135900.2
WUAT02001202.1	10.6336064806212	Potri.002G008176.1
WUAT02001203.1	9.63710782831369	Potri.010G161500.12
WUAT02001207.1	10.2107133388465	Potri.001G347800.1
WUAT02001211.1	9.2526148653983	Potri.001G441040.1
WUAT02001212.1	11.7594972764435	Potri.013G143400.2
WUAT02001213.1	6.01316646041649	Potri.013G143400.2
WUAT02001220.1	8.80872502432393	Potri.011G139100.1
WUAT02001221.1	10.4186861335528	Potri.004G133500.6
WUAT02001226.1	6.93263898655491	Potri.003G205700.1
WUAT02001229.1	9.07432324860189	Potri.013G133550.2
WUAT02001233.1	8.98106791319148	Potri.010G149700.4
WUAT02001239.1	6.71973850116551	Potri.011G073900.2
WUAT02001243.1	10.447289240742	Potri.002G181400.2
WUAT02001248.1	5.0542555405548	Potri.017G007400.1
WUAT02001252.1	12.334624125117	Potri.010G171600.5
WUAT02001256.1	11.0369626142835	Potri.010G105700.13
WUAT02001257.1	10.0973898799372	Potri.017G134200.2
WUAT02001258.1	9.98784288778779	Potri.019G032900.2
WUAT02001261.1	9.37336846885722	Potri.007G069300.1
WUAT02001266.1	9.21911420888555	Potri.010G052500.1
WUAT02001267.1	7.30979611809708	Potri.012G088100.1
WUAT02001269.1	5.76855122651828	Potri.018G116000.1
WUAT02001272.1	0.601559354629519	Potri.007G062442.1
WUAT02001275.1	10.5169678593111	Potri.002G254700.1
WUAT02001278.1	1.65643798227972	Potri.001G259204.1
WUAT02001279.1	8.9973877077394	Potri.019G047540.1
WUAT02001280.1	8.70612264276357	Potri.007G062302.2
WUAT02001284.1	9.37510380194555	Potri.013G138000.1
WUAT02001288.1	10.2560981111544	Potri.008G112400.4
WUAT02001290.1	2.95478450206404	Potri.019G129740.2
WUAT02001292.1	9.2607251927285	Potri.009G135900.3
WUAT02001293.1	4.54874621838825	Potri.011G113575.1
WUAT02001294.1	5.52995253354529	Potri.018G143500.1
WUAT02001297.1	9.9781869090591	Potri.005G258700.8
WUAT02001298.1	10.0585733125987	Potri.012G129700.5
WUAT02001308.1	9.17505786834012	Potri.017G078500.1
WUAT02001311.1	8.22116181287561	Potri.010G115000.3
WUAT02001312.1	8.1052417558659	Potri.014G080900.1
WUAT02001316.1	4.69460162546038	Potri.007G062322.1
WUAT02001318.1	3.05048894227045	Potri.013G137077.1
WUAT02001319.1	10.2168258726436	Potri.016G138600.1
WUAT02001320.1	10.5137747661585	Potri.011G022300.2
WUAT02001324.1	7.31805175874564	Potri.007G061881.1
WUAT02001325.1	5.86349487247723	Potri.013G143400.2
WUAT02001326.1	1.54780373490016	Potri.011G074150.1
WUAT02001328.1	9.97823051811676	Potri.009G029600.2
WUAT02001329.1	8.8431773898891	Potri.011G137400.1
WUAT02001333.1	9.30919100697648	Potri.010G192100.1
WUAT02001334.1	7.23164067620751	Potri.019G012300.3
WUAT02001337.1	8.20714691382921	Potri.009G057500.1
WUAT02001342.1	8.74104111035565	Potri.001G119700.1
WUAT02001344.1	5.14502871331945	Potri.013G143400.2
WUAT02001345.1	1.11646781246795	Potri.010G052500.1
WUAT02001346.1	10.549285866893	Potri.001G101400.1
WUAT02001348.1	10.1027264955131	Potri.001G254500.1
WUAT02001351.1	10.4588202073574	Potri.010G180600.1
WUAT02001356.1	12.3651068754512	Potri.006G222000.1
WUAT02001360.1	9.96779685835327	Potri.005G154300.1
WUAT02001369.1	8.93803893031763	Potri.004G114600.4
WUAT02001373.1	8.96360045407036	Potri.014G185804.1
WUAT02001377.1	9.44810225992087	Potri.009G066800.2
WUAT02001378.1	10.3650382329321	Potri.013G133550.2
WUAT02001384.1	9.26752351113849	Potri.005G250100.1
WUAT02001387.1	9.36013269738736	Potri.001G342933.1
WUAT02001388.1	9.03346675436032	Potri.014G125100.1
WUAT02001391.1	13.3435034143886	Potri.010G013400.1
WUAT02001392.1	8.05384004760508	Potri.016G066100.2
WUAT02001393.1	9.83066117092643	Potri.013G142124.1
WUAT02001400.1	6.498673213107	Potri.007G062582.1
WUAT02001401.1	8.91529484833964	Potri.016G133300.1
WUAT02001402.1	3.83423606514976	Potri.004G090200.13
WUAT02001410.1	10.1974204397763	Potri.004G201900.2
WUAT02001411.1	10.2214159047509	Potri.001G236700.2
WUAT02001412.1	3.70759604005669	Potri.017G142500.1
WUAT02001414.1	10.8633447426418	Potri.003G102400.9
WUAT02001415.1	10.0194521198933	Potri.015G103300.1
WUAT02001418.1	10.4224969612526	Potri.014G153000.1
WUAT02001419.1	11.6990052477958	Potri.012G006700.2
WUAT02001425.1	8.98455769403296	Potri.013G069900.2
WUAT02001428.1	8.0967113425525	Potri.003G142100.1
WUAT02001429.1	8.06016869359983	Potri.006G087701.1
WUAT02001433.1	8.77893000689023	Potri.007G001500.9
WUAT02001436.1	7.36131189605048	Potri.003G071500.1
WUAT02001438.1	3.48105994857591	Potri.001G312800.7
WUAT02001441.1	9.6506868949924	Potri.008G224210.1
WUAT02001443.1	6.84427347521641	Potri.015G133700.1
