Gene_ID	subject_id	H_T1_Rep1	H_T1_Rep2	H_T1_Rep3	H_T1_Rep4	H_T2_Rep1	H_T2_Rep2	H_T2_Rep3	H_T2_Rep4
WUAT02000154.1	Potri.001G450401.1	3242	3976	2706	6298	3600	3908	4502	3714
WUAT02000159.1	Potri.005G074200.2	5282	3190	3168	5700	4742	5314	6278	4414
WUAT02000163.1	Potri.005G048700.1	24042	24502	22168	25654	25500	31444	31146	33220
WUAT02000164.1	Potri.001G312800.9	1784	2322	2124	3602	2476	2060	2336	2162
WUAT02000167.1	Potri.005G205400.1	5692	6098	2936	8644	3686	4216	5642	5188
WUAT02000168.1	Potri.014G185804.1	15162	13100	14896	18040	14930	8918	10882	12534
WUAT02000172.1	Potri.007G073100.1	11112	10632	17804	11356	19886	13054	11920	12350
WUAT02000177.1	Potri.013G141912.1	490	1148	756	930	778	758	1092	674
WUAT02000182.1	Potri.001G375600.1	8	78	216	12	26	50	112	188
WUAT02000184.1	Potri.002G259600.4	40290	29042	40314	41098	54390	51754	52260	50722
WUAT02000185.1	Potri.015G035500.1	2698	1314	3478	3436	3134	3740	1432	2380
WUAT02000186.1	Potri.012G088500.11	22070	31424	28112	36460	31398	34114	34186	37156
WUAT02000190.1	Potri.012G069000.6	17188	20878	21558	24682	23546	26688	25862	27158
WUAT02000191.1	Potri.001G190200.1	3272	4996	8452	5178	6210	10636	6806	7470
WUAT02000194.1	Potri.016G004900.2	1250	1242	898	1364	1142	1550	1792	1300
WUAT02000196.1	Potri.013G142232.4	13390	4680	11758	6038	14690	12818	25240	17566
WUAT02000199.1	Potri.006G113300.1	46968	42052	42602	50016	47548	51620	49232	54730
WUAT02000200.1	Potri.006G268200.4	228	278	146	1684	638	160	4032	162
WUAT02000203.1	Potri.005G210000.1	19232	9254	20652	11880	10432	18710	12212	18526
WUAT02000204.1	Potri.011G074868.1	524	238	56	128	448	152	208	36
WUAT02000205.1	Potri.007G147100.1	11098	9606	12650	11996	12862	12424	12696	14714
WUAT02000208.1	Potri.007G061721.1	11466	14214	14858	20870	19054	14634	21856	26404
WUAT02000209.1	Potri.006G185000.1	48968	62910	60552	86714	52286	49274	76176	70092
WUAT02000212.1	Potri.006G230400.5	2006	2272	2542	3640	2456	2200	2942	3282
WUAT02000217.1	Potri.001G370300.2	37998	29936	33872	40330	43862	42736	44410	42028
WUAT02000230.1	Potri.013G162600.1	130	710	1346	470	370	834	1462	1520
WUAT02000231.1	Potri.005G060300.2	494	1452	736	1586	606	974	1174	1338
WUAT02000233.1	Potri.015G009200.4	23134	26424	31976	35966	33958	32574	34832	42912
WUAT02000234.1	Potri.008G005000.1	1096	1206	1352	1618	1190	1034	1248	1228
WUAT02000235.1	Potri.010G052500.1	21146	20848	24262	28144	33832	36004	25398	27316
WUAT02000238.1	Potri.011G044300.1	19202	33178	20636	33512	30618	27442	21666	42876
WUAT02000244.1	Potri.007G061861.1	16034	17246	20214	22414	20552	23466	22668	18502
WUAT02000248.1	Potri.003G183000.1	3426	2760	2708	3508	3736	4624	3852	4782
WUAT02000253.1	Potri.004G165500.1	14474	18528	16834	24884	15976	18550	22156	21148
WUAT02000256.1	Potri.014G175200.4	144246	407384	157864	319872	114150	164126	147252	170454
WUAT02000258.1	Potri.006G095000.2	3084	3462	4282	5762	5598	4888	5870	6400
WUAT02000262.1	Potri.013G143400.2	34954	33018	29926	50460	47418	47008	52320	65324
WUAT02000271.1	Potri.015G037200.1	19166	12352	14664	16766	22378	14458	18762	16302
WUAT02000276.1	Potri.011G074750.1	23054	36724	19160	42862	27392	30784	34482	28938
WUAT02000277.1	Potri.015G127900.1	292	10	0	14	504	2	6	2
WUAT02000280.1	Potri.017G099100.1	5424	2208	4904	8052	6294	4308	4300	8076
WUAT02000282.1	Potri.010G052900.1	714	1688	936	1498	526	1240	1078	1472
WUAT02000289.1	Potri.013G142972.1	11470	13994	14630	30508	24094	14780	14054	21316
WUAT02000290.1	Potri.003G185901.1	1476	2670	2210	3202	2624	3650	5030	5136
WUAT02000295.1	Potri.001G222300.1	5190	4052	4748	5406	4848	4524	4568	5088
WUAT02000307.1	Potri.013G143400.2	2082	1260	1642	3328	1746	1352	1982	1960
WUAT02000312.1	Potri.003G039100.5	16294	20674	30130	29760	32570	32402	36954	34670
WUAT02000315.1	Potri.013G154600.1	11632	12058	10514	15606	12520	14982	18482	17504
WUAT02000318.1	Potri.012G031250.1	24	16	16	14	2	4	14	10
WUAT02000325.1	Potri.013G133550.2	17452	34846	19938	36532	21298	26472	24864	24480
WUAT02000327.1	Potri.014G076300.2	118	370	190	426	130	730	254	190
WUAT02000328.1	Potri.007G122100.1	18596	4078	41858	13594	42872	40632	23710	40120
WUAT02000329.1	Potri.014G170500.2	2294	4830	6604	5090	11682	3946	6260	12778
WUAT02000330.1	Potri.010G226000.9	6602	6026	11110	8630	4384	4790	4020	4340
WUAT02000334.1	Potri.008G005200.2	292	186	172	744	250	134	342	216
WUAT02000343.1	Potri.006G222000.1	1286	2160	1992	2160	2058	2504	2992	2470
WUAT02000344.1	Potri.003G018800.1	17546	22566	30924	28058	33152	30820	31304	35558
WUAT02000347.1	Potri.004G213400.1	1444	1344	2294	974	1444	1552	1556	2300
WUAT02000349.1	Potri.010G088900.1	848	1114	1038	1038	836	2620	1362	1244
WUAT02000352.1	Potri.014G044900.5	7140	6412	8718	7856	10514	10444	9340	10130
WUAT02000353.1	Potri.007G062302.2	2980	3460	2224	2890	2344	2796	2828	3520
WUAT02000356.1	Potri.008G224210.1	356	208	446	252	408	370	442	7234
WUAT02000357.1	Potri.008G013500.1	22	84	86	52	24	66	76	50
WUAT02000361.1	Potri.008G206000.4	36342	32824	37552	34608	36614	41156	40520	39908
WUAT02000362.1	Potri.002G149600.1	900	1838	920	994	612	1540	1192	960
WUAT02000370.1	Potri.013G133550.2	44744	49232	64948	67050	56766	49412	43966	47170
WUAT02000371.1	Potri.003G077100.5	14858	13538	15546	16874	16066	17950	18394	18066
WUAT02000372.1	Potri.016G059900.3	4528	6074	9158	6360	6770	6822	5262	7400
WUAT02000379.1	Potri.011G094500.2	17768	18196	12440	19980	15900	17460	22118	21530
WUAT02000383.1	Potri.001G418100.1	4478	6636	4244	5006	4666	3966	5186	4180
WUAT02000388.1	Potri.018G076600.3	31902	37278	27416	50018	36442	37426	38008	38836
WUAT02000389.1	Potri.006G199400.1	4402	4130	5438	4106	5134	4646	6278	4552
WUAT02000393.1	Potri.018G068400.1	4466	6590	2348	4810	5738	1572	2680	2906
WUAT02000394.1	Potri.005G140700.4	21756	34770	29094	40748	24502	33828	29068	32338
WUAT02000397.1	Potri.002G230700.3	13038	10382	8912	14358	11994	11020	12582	13218
WUAT02000402.1	Potri.013G073400.1	4030	2640	10524	5168	12294	7272	6290	7704
WUAT02000404.1	Potri.005G233400.1	6532	7012	5448	11624	4862	8842	9712	6670
WUAT02000405.1	Potri.001G159700.1	49532	32532	55062	38066	80450	57630	69698	68490
WUAT02000406.1	Potri.013G139112.2	234770	253456	184178	425130	180102	296738	141990	176772
WUAT02000411.1	Potri.004G040600.1	8420	9620	22604	20408	5860	24080	11780	5358
WUAT02000412.1	Potri.004G031600.3	166	244	126	268	290	508	458	398
WUAT02000415.1	Potri.013G138490.1	15498	28550	23590	32400	26164	30364	28856	32112
WUAT02000419.1	Potri.019G015111.1	5580	4026	7334	6182	9740	8040	8432	9006
WUAT02000420.1	Potri.004G054000.3	29012	50786	34076	48370	30252	42322	38050	40866
WUAT02000429.1	Potri.008G133300.1	13394	18330	17428	19670	16476	19104	17724	19480
WUAT02000430.1	Potri.002G174400.1	5382	4614	7920	5308	9638	9942	8010	4454
WUAT02000433.1	Potri.004G146600.5	178696	99370	116350	157074	134922	159870	167740	161252
WUAT02000437.1	Potri.011G026600.1	103622	92790	77814	77266	95244	88782	114320	129184
WUAT02000438.1	Potri.011G074600.2	4534	5298	4254	5978	4394	5432	7304	5828
WUAT02000439.1	Potri.005G110600.6	15096	14574	13520	20508	14752	15194	16424	19160
WUAT02000441.1	Potri.015G007700.1	10538	9986	11776	13616	9594	10382	10888	14260
WUAT02000442.1	Potri.010G128600.4	39500	46322	39926	42492	52274	57854	57364	54616
WUAT02000444.1	Potri.004G101500.1	0	0	10	2	8	8	8	4
WUAT02000447.1	Potri.013G133550.2	2642	2678	2324	2498	2560	3030	3558	2750
WUAT02000448.1	Potri.019G025700.4	1504	1588	794	1802	1228	976	1304	1338
WUAT02000451.1	Potri.008G221801.2	27276	25604	29946	35636	33658	32384	32644	37918
WUAT02000455.1	Potri.006G188700.1	1310	2614	1784	2132	1950	2652	2502	3198
WUAT02000460.1	Potri.001G435900.2	10258	9828	9390	17290	9314	12972	14234	13412
WUAT02000461.1	Potri.008G185200.2	10650	12602	14466	13404	14372	15300	15198	14342
WUAT02000464.1	Potri.018G087800.2	3918	5584	7480	6210	8378	14096	7380	9032
WUAT02000469.1	Potri.016G068900.3	13040	16194	13322	18184	17764	16634	20292	17582
WUAT02000471.1	Potri.011G146800.5	360	272	216	442	348	526	608	334
WUAT02000472.1	Potri.015G103700.1	21476	25798	24362	34552	23346	31562	22090	25444
WUAT02000475.1	Potri.008G062400.1	272	1240	290	3050	480	440	1960	646
WUAT02000478.1	Potri.013G158200.3	28756	27836	20522	31786	22136	26488	28074	36268
WUAT02000484.1	Potri.013G133550.2	1622	1368	1960	1712	1446	1972	1928	1414
WUAT02000487.1	Potri.003G015800.1	15298	13606	15038	21690	14892	19992	19852	19246
WUAT02000492.1	Potri.001G370366.2	2590	2650	3074	3794	2340	2408	2642	3004
WUAT02000496.1	Potri.018G040100.1	22854	20902	17792	18134	23686	22900	22222	18252
WUAT02000500.1	Potri.010G086900.2	2472	2784	2136	3188	3050	3492	2276	2486
WUAT02000501.1	Potri.004G182400.1	204	690	564	682	964	706	196	532
WUAT02000502.1	Potri.013G133550.2	7554	4006	14970	7380	20816	10422	8804	13186
WUAT02000503.1	Potri.016G084900.1	13192	12562	14420	10606	15874	10496	11188	14052
WUAT02000505.1	Potri.014G153000.1	14574	6982	17858	11414	17166	14934	14024	15202
WUAT02000511.1	Potri.008G142400.6	9770	14258	12278	13312	12752	17974	16748	14326
WUAT02000514.1	Potri.012G110800.1	2138	2664	2718	3408	3234	3136	2414	2376
WUAT02000518.1	Potri.001G349300.9	36276	28136	36920	32840	44606	34430	30026	31726
WUAT02000519.1	Potri.004G197000.2	3904	5092	4192	6572	5308	4858	6358	5612
WUAT02000523.1	Potri.012G031250.1	75874	158618	48168	116022	39670	69502	70070	67218
WUAT02000531.1	Potri.001G312800.9	24044	32436	32246	39314	35364	39056	40214	42924
WUAT02000539.1	Potri.013G092500.1	16	4	32	10	80	70	156	78
WUAT02000541.1	Potri.001G312800.7	73344	52308	65834	75292	69914	84106	69980	82538
WUAT02000543.1	Potri.004G059200.2	9318	6932	7564	7506	10074	11280	13072	10850
WUAT02000546.1	Potri.011G075051.1	1012	2314	938	448	1304	838	858	2390
WUAT02000550.1	Potri.002G193700.1	22394	17726	21236	17336	22636	32474	33060	37036
WUAT02000551.1	Potri.013G133550.2	846	1934	1508	1876	1568	1894	1778	1560
WUAT02000559.1	Potri.001G313900.1	12084	11634	20002	16224	21060	19690	15552	16836
WUAT02000560.1	Potri.012G031250.1	2454	3848	2892	3902	2860	3832	3556	3044
WUAT02000566.1	Potri.013G147200.2	9942	11428	17484	18394	15568	13070	13612	14810
WUAT02000570.1	Potri.002G001900.9	1028	760	1640	1634	1988	2330	1662	1832
WUAT02000573.1	Potri.001G359700.6	312	296	404	430	492	352	480	292
WUAT02000577.1	Potri.007G011200.7	18024	18430	17464	18582	17812	18486	27986	28024
WUAT02000582.1	Potri.012G031250.1	25642	34622	31714	44180	29584	33458	35296	40212
WUAT02000586.1	Potri.005G148900.1	11594	10586	12880	13572	17320	12918	17046	10484
WUAT02000588.1	Potri.005G086100.7	27186	40274	33136	43320	36464	42696	42328	48282
WUAT02000590.1	Potri.006G260200.4	19650	9708	10834	14848	16728	23010	24408	16942
WUAT02000591.1	Potri.013G138100.2	1028	146	598	3744	1716	112	1026	526
WUAT02000595.1	Potri.003G072300.10	22628	31812	27970	33102	31876	30182	30540	39200
WUAT02000597.1	Potri.005G212700.1	1136	590	512	902	1410	680	586	524
WUAT02000600.1	Potri.012G062700.1	29070	23316	26660	30542	30130	30252	35582	35022
WUAT02000601.1	Potri.008G177000.7	126	22	72	36	172	30	74	80
WUAT02000602.1	Potri.002G093500.4	6714	2618	3758	1940	8104	3084	5236	5484
WUAT02000604.1	Potri.009G034500.1	648	988	1078	1310	994	856	1202	1488
WUAT02000605.1	Potri.002G090900.5	9244	9172	9246	8750	13098	8656	14032	10814
WUAT02000608.1	Potri.018G139400.1	482	196	176	152	344	148	150	276
WUAT02000610.1	Potri.007G061861.1	13650	21976	16290	19656	14290	14160	17186	18616
WUAT02000613.1	Potri.010G069000.2	34610	29072	33194	36398	44996	41188	37246	39416
WUAT02000618.1	Potri.013G133550.1	1372	2032	1838	3204	914	2016	1892	2488
WUAT02000626.1	Potri.002G078800.4	8146	11078	10044	13482	10840	12450	11676	12562
WUAT02000628.1	Potri.002G178801.1	1162	986	982	1832	1144	1626	1666	1316
WUAT02000629.1	Potri.018G067800.2	28010	48228	35648	52980	33566	40710	40398	41676
WUAT02000631.1	Potri.001G243400.1	61290	78598	62594	88216	63068	76092	73974	85870
WUAT02000636.1	Potri.005G213300.6	5444	6782	6106	6834	6418	7406	8462	9092
WUAT02000639.1	Potri.002G109601.10	86	70	110	88	90	76	42	80
WUAT02000640.1	Potri.013G102700.1	16428	11002	12228	9940	16162	13400	15050	14832
WUAT02000641.1	Potri.013G137077.1	4602	13292	7018	4996	4766	12306	7528	7936
WUAT02000644.1	Potri.010G090100.2	2856	3198	3970	4434	4480	4648	3666	4040
WUAT02000645.1	Potri.001G314300.1	50976	72238	68020	94934	63808	74062	66506	82614
WUAT02000648.1	Potri.011G074067.1	4654	6580	3652	760	3956	2416	3398	2438
WUAT02000650.1	Potri.003G203100.1	4182	6118	5044	6298	4898	6518	6550	6550
WUAT02000659.1	Potri.008G070600.2	730	634	854	1404	844	46	1252	196
WUAT02000662.1	Potri.008G085000.1	426	158	964	804	1402	1442	376	366
WUAT02000667.1	Potri.010G000301.1	6652	3962	5050	5558	5684	5028	4970	4544
WUAT02000669.1	Potri.018G110200.3	10596	7732	8652	6616	8490	10474	9302	10854
WUAT02000676.1	Potri.011G074600.2	21800	24324	21050	26478	24256	24330	32502	34096
WUAT02000681.1	Potri.009G041800.1	7392	4170	5162	4578	7186	6276	4650	4984
WUAT02000685.1	Potri.004G078932.2	1702	2822	1646	2640	1888	2720	2516	2392
WUAT02000687.1	Potri.003G018500.2	2274	3836	3394	3202	3142	4090	3718	4686
WUAT02000689.1	Potri.010G105600.1	10256	15148	13054	19208	15686	14034	13584	16038
WUAT02000690.1	Potri.003G174900.3	29830	40748	31666	49010	33752	38444	40524	41702
WUAT02000694.1	Potri.004G210100.1	64532	61422	86546	111710	74294	104490	97540	64006
WUAT02000695.1	Potri.004G162500.1	25124	38754	33550	42664	34696	40676	37812	47128
WUAT02000699.1	Potri.010G189000.1	81762	79510	80264	70640	92100	94844	101382	110820
WUAT02000703.1	Potri.006G222500.5	62246	69654	48644	92988	61448	71560	69208	61864
WUAT02000707.1	Potri.010G052500.1	7676	5728	5064	11358	6390	6484	5062	6420
WUAT02000712.1	Potri.011G074150.1	34164	13366	42344	21028	50100	34722	42520	33874
WUAT02000714.1	Potri.004G094850.1	24310	9094	8280	10470	15494	12982	24472	24124
WUAT02000715.1	Potri.013G133550.2	86	38	50	48	32	12	56	32
WUAT02000717.1	Potri.005G208200.1	10322	9974	9804	13208	8968	10100	10210	10478
WUAT02000721.1	Potri.008G013300.1	1206	2290	1780	2104	690	1282	2744	1400
WUAT02000722.1	Potri.011G147700.1	75444	93660	57376	106818	67120	87346	88452	102396
WUAT02000725.1	Potri.013G095100.2	22474	13626	60932	25768	71224	53210	51120	53598
WUAT02000726.1	Potri.013G143400.2	3350	3622	4598	3384	4200	7256	4536	3874
WUAT02000727.1	Potri.005G045500.4	12748	9580	11118	16514	16588	12972	14214	14942
WUAT02000730.1	Potri.006G263100.2	75820	53942	66480	85220	73452	77694	83876	82202
WUAT02000731.1	Potri.001G312800.7	574	318	716	1154	1080	312	1020	958
WUAT02000735.1	Potri.015G082700.1	2390	548	3532	1416	4088	3362	2438	2930
WUAT02000740.1	Potri.015G112600.1	3632	2088	4688	3554	5886	5874	5378	6022
WUAT02000742.1	Potri.006G122300.4	20010	26068	27446	28594	27638	29304	30238	34678
WUAT02000743.1	Potri.006G222000.1	10458	13236	9876	15934	13084	14638	15470	16208
WUAT02000744.1	Potri.012G058400.2	30	120	320	152	170	224	152	140
WUAT02000748.1	Potri.016G055700.1	43098	29118	50824	36818	56822	50398	56062	53002
WUAT02000752.1	Potri.001G066800.1	20444	22656	23554	28480	26266	25802	24992	33798
WUAT02000754.1	Potri.006G046900.4	1824	1774	2570	1622	3824	4230	3948	4992
WUAT02000756.1	Potri.008G187600.2	11820	8722	10646	11474	14466	12202	11412	12490
WUAT02000757.1	Potri.013G141912.1	3634	3166	2622	4540	2786	2792	2884	2496
WUAT02000762.1	Potri.018G111700.1	758	848	988	1608	1132	1030	1046	1206
WUAT02000766.1	Potri.009G058000.1	444	496	586	576	746	782	596	624
WUAT02000768.1	Potri.007G061961.1	180	674	2340	622	12	10	1062	1170
WUAT02000771.1	Potri.004G052300.1	33778	49814	36464	53074	35800	45700	43944	47896
WUAT02000772.1	Potri.001G466000.2	237138	310598	269960	342814	309182	271690	239224	386826
WUAT02000775.1	Potri.001G207700.4	27842	51022	36226	51244	35934	42104	45700	49630
WUAT02000784.1	Potri.015G007400.2	54588	46326	41730	68336	44628	50648	57304	58666
WUAT02000785.1	Potri.019G039700.1	694	536	862	1072	790	1034	1398	712
WUAT02000793.1	Potri.007G015500.1	6394	5874	3306	7140	6038	4534	6908	5814
WUAT02000795.1	Potri.006G095800.6	15520	15008	19826	19240	23804	21820	22264	30128
WUAT02000797.1	Potri.004G030500.4	12344	20592	15656	16920	13956	19952	20346	21524
WUAT02000798.1	Potri.006G188500.1	7222	5794	4314	6058	3378	7640	6672	4454
WUAT02000801.1	Potri.014G163400.1	26014	30226	43752	48112	56212	52390	51020	60934
WUAT02000802.1	Potri.002G123500.6	54594	51078	96548	70260	112562	106488	97290	89004
WUAT02000805.1	Potri.007G071350.1	0	0	0	0	0	2	0	8
WUAT02000806.1	Potri.014G018000.4	15064	17482	19930	19272	18572	20586	19612	24056
WUAT02000807.1	Potri.018G084800.1	16524	16146	13006	17116	16784	24178	19730	21092
WUAT02000808.1	Potri.004G176600.1	157224	285874	102892	273044	120742	206440	163320	201872
WUAT02000809.1	Potri.004G022600.1	0	4	0	2	2	2	8	0
WUAT02000811.1	Potri.015G024200.1	23606	25234	33558	33250	34302	30700	29666	24972
WUAT02000813.1	Potri.013G139112.2	0	22	12	10	22	0	0	12
WUAT02000816.1	Potri.011G074150.1	794	1184	1066	1014	816	1288	1142	1312
WUAT02000820.1	Potri.016G004900.2	2260	2650	1864	2770	1300	2222	2520	2256
WUAT02000825.1	Potri.005G046300.1	13990	15232	18506	16398	16780	18970	18258	22476
WUAT02000829.1	Potri.011G113575.1	16360	9164	16544	13780	11808	18166	15446	15700
WUAT02000833.1	Potri.011G074067.1	710	186	280	160	864	364	418	278
WUAT02000840.1	Potri.006G152700.11	7782	3540	10948	7150	12746	11044	6684	6820
WUAT02000842.1	Potri.007G017600.8	31988	35146	34780	40660	39192	40846	43584	42628
WUAT02000846.1	Potri.004G188900.1	61600	82516	51480	102910	51384	65164	57744	53088
WUAT02000847.1	Potri.008G178300.1	866	698	646	1188	920	414	936	566
WUAT02000851.1	Potri.013G136466.1	26	54	38	106	36	16	14	34
WUAT02000852.1	Potri.014G098600.7	105994	86212	138960	113842	172932	175044	134110	157214
WUAT02000856.1	Potri.003G058900.1	52368	82308	43942	102940	84342	87620	110172	158578
WUAT02000860.1	Potri.014G170500.2	122	636	186	174	484	234	296	382
WUAT02000862.1	Potri.008G210100.1	1754	1618	1498	2324	2198	2006	1746	2170
WUAT02000865.1	Potri.017G075700.1	5110	4414	6726	5060	5424	6108	5664	6530
WUAT02000866.1	Potri.007G023300.1	12	6	20	20	2	2	26	10
WUAT02000874.1	Potri.004G104201.4	2368	1816	1728	3060	2294	2926	3554	2440
WUAT02000875.1	Potri.001G024800.1	2200	1752	1698	1732	1662	2286	2006	2496
WUAT02000877.1	Potri.010G029700.2	18314	18508	22304	21030	30378	28288	37338	34160
WUAT02000879.1	Potri.008G121200.2	31732	17356	41074	28048	54428	39070	38424	35758
WUAT02000880.1	Potri.013G092500.1	14	16	18	788	464	24	38	16
WUAT02000883.1	Potri.005G222900.6	16356	19152	18672	23640	22824	20190	24552	26398
WUAT02000887.1	Potri.008G064700.1	73126	84406	89084	129422	100906	78200	75150	108696
WUAT02000889.1	Potri.014G094300.1	1794	2216	1978	1996	2980	3080	3204	2942
WUAT02000893.1	Potri.013G143400.2	2	6	0	16	0	2	4	6
WUAT02000901.1	Potri.009G147100.3	1246	978	1508	2036	1156	1314	2104	2136
WUAT02000903.1	Potri.019G052500.5	7698	3330	7030	6182	8944	8830	7818	9058
WUAT02000905.1	Potri.018G143100.5	18276	16404	24200	20160	27446	25196	24694	28314
WUAT02000907.1	Potri.014G066600.1	1604	1774	1198	1794	1590	1138	1206	1668
WUAT02000914.1	Potri.014G029800.3	17628	22642	24290	28882	23890	22860	21730	31716
WUAT02000915.1	Potri.001G255000.4	9048	14748	13318	17756	14644	13396	15078	14972
WUAT02000917.1	Potri.013G142760.1	1480	808	620	1208	1500	1032	1082	1072
WUAT02000918.1	Potri.013G143400.2	2	4	6	2	0	0	2	0
WUAT02000919.1	Potri.001G411100.1	30562	23626	24954	33152	28384	33732	32704	34790
WUAT02000926.1	Potri.010G131100.1	16	32	8	14	6	6	10	26
WUAT02000928.1	Potri.007G062602.1	20328	18344	19706	20044	23418	28244	15854	13926
WUAT02000933.1	Potri.008G019800.1	6720	5674	4196	8962	7678	7690	7836	5614
WUAT02000938.1	Potri.013G138201.1	876	988	1098	370	138	0	136	580
WUAT02000946.1	Potri.011G074201.1	4030	4024	5254	5710	5416	6156	6836	6954
WUAT02000951.1	Potri.013G143400.2	5666	2634	17476	9922	8722	4718	9362	12470
