Gene_ID	subject_id	G_T1_Rep1	G_T1_Rep2	G_T1_Rep3	G_T1_Rep4	G_T2_Rep1	G_T2_Rep2	G_T2_Rep3	G_T2_Rep4
WUAT02000131.1	Potri.010G052500.1	32426	55352	23814	76356	35824	26884	33196	28154
WUAT02000136.1	Potri.001G312800.7	9380	21438	38076	16194	28344	49720	75622	102888
WUAT02000137.1	Potri.008G221801.2	60	74	218	192	474	66	68	142
WUAT02000139.1	Potri.010G042000.1	392	752	444	888	826	826	532	2278
WUAT02000141.1	Potri.005G113600.4	13978	11408	9944	24174	67974	13906	8146	6482
WUAT02000142.1	Potri.012G105800.2	8082	10966	8066	13234	10792	10286	12392	16648
WUAT02000148.1	Potri.006G203300.1	9970	8206	7248	8446	6626	4138	3684	9972
WUAT02000150.1	Potri.011G156900.1	8702	12014	6846	14116	12058	7478	7824	9710
WUAT02000151.1	Potri.014G140400.1	2354	3526	3026	5000	3152	2178	3056	2348
WUAT02000154.1	Potri.001G450401.1	2824	5630	3456	6318	6726	5560	7370	5052
WUAT02000159.1	Potri.005G074200.2	4306	6882	2306	6866	5588	3704	4898	4120
WUAT02000163.1	Potri.005G048700.1	22606	32758	21170	37798	38868	33498	40806	36618
WUAT02000164.1	Potri.001G312800.9	1784	3620	1736	3008	3528	2234	3500	2460
WUAT02000167.1	Potri.005G205400.1	5474	9294	5056	11322	13244	12812	19728	7414
WUAT02000168.1	Potri.014G185804.1	16378	13398	20676	9508	11604	12964	9094	52098
WUAT02000172.1	Potri.007G073100.1	12784	10510	14316	14982	7268	8974	7454	19616
WUAT02000177.1	Potri.013G141912.1	524	1148	836	1292	1476	1176	1078	906
WUAT02000182.1	Potri.001G375600.1	30	6	8	66	20	4	6	30
WUAT02000184.1	Potri.002G259600.4	44160	51002	27412	69590	25752	20966	19840	25900
WUAT02000185.1	Potri.015G035500.1	2438	3758	1852	4392	2372	2662	1840	2402
WUAT02000186.1	Potri.012G088500.11	26046	36448	29552	36528	24840	28498	28144	28282
WUAT02000190.1	Potri.012G069000.6	16576	30386	19276	32490	181166	64788	50638	57024
WUAT02000191.1	Potri.001G190200.1	4052	5638	3704	7202	2472	1888	2094	3232
WUAT02000194.1	Potri.016G004900.2	882	1648	850	2056	1240	1108	1494	1414
WUAT02000196.1	Potri.013G142232.4	10274	6836	5310	13644	10484	4192	5330	6618
WUAT02000199.1	Potri.006G113300.1	43674	62452	33022	64582	35784	28828	31482	34070
WUAT02000200.1	Potri.006G268200.4	448	364	1138	840	1338	682	404	2266
WUAT02000203.1	Potri.005G210000.1	15152	15478	8990	20374	8278	8542	9830	15594
WUAT02000204.1	Potri.011G074868.1	78	226	134	260	780	266	280	888
WUAT02000205.1	Potri.007G147100.1	9728	12362	8548	14642	8814	7310	8782	9956
WUAT02000208.1	Potri.007G061721.1	11310	18000	9784	17552	14734	14026	12780	16998
WUAT02000209.1	Potri.006G185000.1	50458	84884	54032	74328	46318	44032	44802	53940
WUAT02000212.1	Potri.006G230400.5	1776	2576	1726	3142	1604	2622	2742	2894
WUAT02000217.1	Potri.001G370300.2	33352	41738	24278	51752	35884	28500	29798	36430
WUAT02000230.1	Potri.013G162600.1	204	280	676	882	436	1230	810	556
WUAT02000231.1	Potri.005G060300.2	370	1082	1662	442	1364	1926	2954	2168
WUAT02000233.1	Potri.015G009200.4	26380	31306	24520	45702	34806	25730	26056	27290
WUAT02000234.1	Potri.008G005000.1	698	1298	724	1550	4412	2540	2006	3158
WUAT02000235.1	Potri.010G052500.1	18848	29158	19260	30804	25312	22394	25640	25854
WUAT02000238.1	Potri.011G044300.1	19886	16340	47798	21956	15496	46848	24388	62312
WUAT02000244.1	Potri.007G061861.1	14056	15864	16074	23972	16696	21736	19834	41430
WUAT02000248.1	Potri.003G183000.1	2584	3880	2108	4156	3608	2560	3726	3930
WUAT02000253.1	Potri.004G165500.1	12814	22176	16748	23498	17672	15590	15588	20974
WUAT02000256.1	Potri.014G175200.4	104224	236362	350234	145810	167254	290466	293540	584196
WUAT02000258.1	Potri.006G095000.2	3632	4458	2804	7528	1736	2120	1308	1524
WUAT02000262.1	Potri.013G143400.2	29882	57190	25566	54586	111576	71810	114736	121086
WUAT02000271.1	Potri.015G037200.1	15834	21544	8962	24402	21444	12550	16078	15388
WUAT02000276.1	Potri.011G074750.1	20720	40614	24442	42384	42866	34954	38994	37358
WUAT02000277.1	Potri.015G127900.1	130	12	4	4	318	4	4	4
WUAT02000280.1	Potri.017G099100.1	6046	5370	3154	8394	3106	2672	3348	3700
WUAT02000282.1	Potri.010G052900.1	616	1050	2280	818	828	956	1312	1920
WUAT02000289.1	Potri.013G142972.1	9876	52208	10090	27344	13904	16396	11706	11862
WUAT02000290.1	Potri.003G185901.1	1866	3292	2252	4392	2616	3262	2768	4276
WUAT02000295.1	Potri.001G222300.1	4290	4844	3642	5818	6608	4292	5620	6472
WUAT02000307.1	Potri.013G143400.2	1370	2384	1626	1686	3104	1732	3302	3854
WUAT02000312.1	Potri.003G039100.5	20284	22508	20888	26806	23336	17390	15892	44762
WUAT02000315.1	Potri.013G154600.1	10232	15958	8940	18598	9954	12684	12382	10506
WUAT02000318.1	Potri.012G031250.1	2	42	4	2	10	22	4	8
WUAT02000325.1	Potri.013G133550.2	20546	37002	22260	31904	94874	63880	58692	44846
WUAT02000327.1	Potri.014G076300.2	66	166	198	106	236	396	466	248
WUAT02000328.1	Potri.007G122100.1	17550	7966	12346	25540	15480	4864	6570	11094
WUAT02000329.1	Potri.014G170500.2	10006	5152	4066	15588	5406	4496	25776	5400
WUAT02000330.1	Potri.010G226000.9	5266	5570	6246	7220	9584	9852	21898	9866
WUAT02000334.1	Potri.008G005200.2	252	426	112	452	306	406	670	130
WUAT02000343.1	Potri.006G222000.1	1452	2222	2212	2346	1278	1484	1386	2962
WUAT02000344.1	Potri.003G018800.1	22748	27058	22410	33916	15952	17236	17908	22980
WUAT02000347.1	Potri.004G213400.1	962	1986	1472	2400	1812	1642	2512	2470
WUAT02000349.1	Potri.010G088900.1	1070	1040	1122	1948	2372	2262	2562	1460
WUAT02000352.1	Potri.014G044900.5	7374	8108	5884	9688	6276	5286	4078	4138
WUAT02000353.1	Potri.007G062302.2	2072	2172	3122	2258	2032	3680	2536	7294
WUAT02000356.1	Potri.008G224210.1	360	400	454	420	620	264	342	370
WUAT02000357.1	Potri.008G013500.1	34	12	66	56	92	68	68	122
WUAT02000361.1	Potri.008G206000.4	29234	41262	24496	50034	27422	19294	27114	27872
WUAT02000362.1	Potri.002G149600.1	1204	1568	488	1174	486	408	560	828
WUAT02000370.1	Potri.013G133550.2	40434	54058	42362	78660	61376	79930	113366	86680
WUAT02000371.1	Potri.003G077100.5	13734	20022	12104	20540	12620	11888	13516	13490
WUAT02000372.1	Potri.016G059900.3	5368	7770	5034	7786	2676	3990	4496	4374
WUAT02000379.1	Potri.011G094500.2	13816	22820	13598	27080	17780	12286	14094	17624
WUAT02000383.1	Potri.001G418100.1	3092	6664	3342	6190	8974	6360	5732	5886
WUAT02000388.1	Potri.018G076600.3	26614	46254	29518	53670	29710	32318	33332	33746
WUAT02000389.1	Potri.006G199400.1	3814	3564	4348	5898	8904	5026	7104	5910
WUAT02000393.1	Potri.018G068400.1	5386	4336	2334	6220	892	532	496	502
WUAT02000394.1	Potri.005G140700.4	13872	29356	27286	26920	22484	27794	33718	41420
WUAT02000397.1	Potri.002G230700.3	8780	11090	8752	13272	9520	6964	9388	10030
WUAT02000402.1	Potri.013G073400.1	6908	5464	4420	8048	1684	1662	998	2534
WUAT02000404.1	Potri.005G233400.1	4878	8406	6540	8212	7924	9302	8356	12482
WUAT02000405.1	Potri.001G159700.1	65052	45256	43996	55896	22016	17780	20938	25816
WUAT02000406.1	Potri.013G139112.2	153776	241214	183628	155352	18408	15148	19058	132212
WUAT02000411.1	Potri.004G040600.1	6004	10696	25934	20132	55274	79818	148218	100076
WUAT02000412.1	Potri.004G031600.3	184	424	202	334	262	314	310	328
WUAT02000415.1	Potri.013G138490.1	19336	29126	23182	30072	23318	28222	24716	28606
WUAT02000419.1	Potri.019G015111.1	7262	5576	4452	9992	4954	5688	5474	3694
WUAT02000420.1	Potri.004G054000.3	25088	44498	33752	45182	39836	35980	40724	42566
WUAT02000429.1	Potri.008G133300.1	13282	19108	13332	22242	14232	16122	17258	17344
WUAT02000430.1	Potri.002G174400.1	3914	8066	4704	8514	3318	3488	4074	6646
WUAT02000433.1	Potri.004G146600.5	139102	202558	87846	209448	126428	86118	124262	85774
WUAT02000437.1	Potri.011G026600.1	86948	87902	71442	157018	212080	121670	138442	135104
WUAT02000438.1	Potri.011G074600.2	3336	5744	3788	7266	5012	3354	4264	6556
WUAT02000439.1	Potri.005G110600.6	12484	16542	12478	23470	13130	9748	13538	14938
WUAT02000441.1	Potri.015G007700.1	9068	11876	8016	17020	12802	7832	9964	14796
WUAT02000442.1	Potri.010G128600.4	40490	46614	36908	66720	186048	62424	37536	50150
WUAT02000444.1	Potri.004G101500.1	6	0	2	8	12	0	0	24
WUAT02000447.1	Potri.013G133550.2	2148	3424	2100	3004	3856	3558	4654	4384
WUAT02000448.1	Potri.019G025700.4	1024	1878	1812	1416	834	1986	1592	1370
WUAT02000451.1	Potri.008G221801.2	28128	32552	26424	35996	28864	20272	26710	27086
WUAT02000455.1	Potri.006G188700.1	1796	2246	2174	2460	2508	2266	3092	5224
WUAT02000460.1	Potri.001G435900.2	7938	16360	7462	12576	12656	15740	11022	10544
WUAT02000461.1	Potri.008G185200.2	11704	13416	10806	17064	13058	11328	12466	13736
WUAT02000464.1	Potri.018G087800.2	2760	6138	5560	5268	12648	5834	7092	11590
WUAT02000469.1	Potri.016G068900.3	10218	17858	13418	20844	13440	15296	19988	26966
WUAT02000471.1	Potri.011G146800.5	292	410	246	350	428	270	310	278
WUAT02000472.1	Potri.015G103700.1	18554	29324	25612	29984	42266	29436	28974	40812
WUAT02000475.1	Potri.008G062400.1	174	1162	654	740	856	1552	2152	1464
WUAT02000478.1	Potri.013G158200.3	17386	42916	23758	33542	20680	16512	21100	25976
WUAT02000484.1	Potri.013G133550.2	1452	1620	1320	1968	2398	1750	2436	2574
WUAT02000487.1	Potri.003G015800.1	12248	14942	11986	20896	21452	37184	26142	25716
WUAT02000492.1	Potri.001G370366.2	1990	3184	2540	2856	3354	4116	5036	5894
WUAT02000496.1	Potri.018G040100.1	35016	31312	10188	37062	23134	8914	9064	11418
WUAT02000500.1	Potri.010G086900.2	1854	4014	2162	3884	9066	5858	4518	4072
WUAT02000501.1	Potri.004G182400.1	424	846	324	738	218	276	308	236
WUAT02000502.1	Potri.013G133550.2	9626	5708	5376	15042	13406	4892	6382	5926
WUAT02000503.1	Potri.016G084900.1	12222	10686	9326	11530	22460	24726	35258	35088
WUAT02000505.1	Potri.014G153000.1	15408	7862	12874	13772	3298	3080	3546	6060
WUAT02000511.1	Potri.008G142400.6	7512	15256	14294	15752	11978	9890	7626	18388
WUAT02000514.1	Potri.012G110800.1	2100	3454	1802	3272	4796	3450	5578	2538
WUAT02000518.1	Potri.001G349300.9	29022	28762	22982	41604	20706	15028	15248	24044
WUAT02000519.1	Potri.004G197000.2	3804	7196	3938	6688	6310	5798	6990	6664
WUAT02000523.1	Potri.012G031250.1	46988	102300	93702	73902	60858	54486	61392	96206
WUAT02000531.1	Potri.001G312800.9	25660	44810	27552	39094	31036	36162	33806	30908
WUAT02000539.1	Potri.013G092500.1	6	8	20	28	496	126	62	250
WUAT02000541.1	Potri.001G312800.7	70772	74492	57270	89966	79170	55924	66632	61052
WUAT02000543.1	Potri.004G059200.2	8922	8562	7778	8552	9694	4528	4472	7902
WUAT02000546.1	Potri.011G075051.1	910	628	3024	494	636	702	804	3930
WUAT02000550.1	Potri.002G193700.1	14694	20034	43304	28320	46498	16250	11428	83032
WUAT02000551.1	Potri.013G133550.2	808	2064	1204	1838	1330	2078	1608	2312
WUAT02000559.1	Potri.001G313900.1	10530	21082	15114	20382	12958	9210	9552	11034
WUAT02000560.1	Potri.012G031250.1	2314	4262	2824	3478	3902	5196	4860	7312
WUAT02000566.1	Potri.013G147200.2	10626	14898	11002	15948	8048	8832	9182	12524
WUAT02000570.1	Potri.002G001900.9	858	1412	1012	1508	252	344	378	864
WUAT02000573.1	Potri.001G359700.6	314	362	280	476	732	904	1166	606
WUAT02000577.1	Potri.007G011200.7	16024	17512	14820	24036	19824	14622	17922	23236
WUAT02000582.1	Potri.012G031250.1	22544	38672	28100	38160	27306	28782	32724	37510
WUAT02000586.1	Potri.005G148900.1	8342	14532	9766	13420	9278	9372	10786	14216
WUAT02000588.1	Potri.005G086100.7	26384	38968	35874	41560	29990	32630	32924	38976
WUAT02000590.1	Potri.006G260200.4	13132	12662	8382	16924	17658	9752	9880	7600
WUAT02000591.1	Potri.013G138100.2	924	1474	520	1626	952	910	944	1082
WUAT02000595.1	Potri.003G072300.10	21284	33030	27984	30052	24668	29368	30864	29414
WUAT02000597.1	Potri.005G212700.1	594	1076	634	830	606	338	648	1142
WUAT02000600.1	Potri.012G062700.1	25630	31284	17942	40198	29760	20098	21966	18310
WUAT02000601.1	Potri.008G177000.7	60	76	24	68	748	184	132	148
WUAT02000602.1	Potri.002G093500.4	3240	1814	2590	4492	1078	426	542	1116
WUAT02000604.1	Potri.009G034500.1	722	1346	776	838	3178	5372	5510	5788
WUAT02000605.1	Potri.002G090900.5	6446	8770	6452	9130	9972	7082	11166	10876
WUAT02000608.1	Potri.018G139400.1	372	362	80	130	472	120	168	144
WUAT02000610.1	Potri.007G061861.1	15578	15038	20898	12032	6532	16132	11938	26254
WUAT02000613.1	Potri.010G069000.2	34164	38792	25494	46326	52342	32626	39708	26042
WUAT02000618.1	Potri.013G133550.1	868	3556	1658	1860	734	3644	3484	2206
WUAT02000626.1	Potri.002G078800.4	8242	12496	9632	13450	10276	10282	11300	12042
WUAT02000628.1	Potri.002G178801.1	572	1754	1062	1708	2172	1964	1592	1866
WUAT02000629.1	Potri.018G067800.2	27398	48108	32058	49158	40210	36466	44534	44504
WUAT02000631.1	Potri.001G243400.1	52558	91904	63454	90020	68922	67804	76026	79974
WUAT02000636.1	Potri.005G213300.6	5346	7786	5746	8720	5710	5480	5700	6496
WUAT02000639.1	Potri.002G109601.10	76	76	114	134	282	184	206	268
WUAT02000640.1	Potri.013G102700.1	11210	11256	7702	14316	9556	6174	11440	7034
WUAT02000641.1	Potri.013G137077.1	3624	4400	4060	6202	9342	4850	4938	7074
WUAT02000644.1	Potri.010G090100.2	2782	4394	3228	4238	1352	1498	1206	2450
WUAT02000645.1	Potri.001G314300.1	48986	74472	58896	77982	52518	74344	83160	92840
WUAT02000648.1	Potri.011G074067.1	1176	5786	4140	4750	914	540	320	1562
WUAT02000650.1	Potri.003G203100.1	4170	6026	5056	6828	8024	6266	7052	7974
WUAT02000659.1	Potri.008G070600.2	386	84	946	906	1218	168	624	862
WUAT02000662.1	Potri.008G085000.1	1124	1008	202	2478	1362	1370	756	600
WUAT02000667.1	Potri.010G000301.1	4724	6714	3604	7936	6528	5436	7106	5790
WUAT02000669.1	Potri.018G110200.3	7850	8534	6872	9824	7034	8232	11472	15016
WUAT02000676.1	Potri.011G074600.2	18414	28402	21854	26614	24198	27086	26060	27134
WUAT02000681.1	Potri.009G041800.1	4576	8928	3724	9650	9152	6482	8008	6698
WUAT02000685.1	Potri.004G078932.2	1508	2558	1466	2514	1840	1592	1838	2210
WUAT02000687.1	Potri.003G018500.2	3172	3090	2776	3328	2748	2682	2730	3686
WUAT02000689.1	Potri.010G105600.1	11020	18624	13676	15254	17674	17540	17560	16512
WUAT02000690.1	Potri.003G174900.3	29380	43716	32762	43244	30844	41790	38366	38918
WUAT02000694.1	Potri.004G210100.1	54300	95072	54130	95314	75820	92026	96344	91760
WUAT02000695.1	Potri.004G162500.1	26642	43536	36400	42734	32460	34174	37252	42924
WUAT02000699.1	Potri.010G189000.1	64076	81474	71966	106076	50264	40486	46710	63134
WUAT02000703.1	Potri.006G222500.5	48872	93242	50848	82120	74862	53048	69314	90072
WUAT02000707.1	Potri.010G052500.1	6674	11068	3926	7146	5436	6526	5864	7042
WUAT02000712.1	Potri.011G074150.1	41566	25282	18562	44132	12352	8394	7458	14122
WUAT02000714.1	Potri.004G094850.1	11252	17534	14086	19212	10618	6226	6924	13588
WUAT02000715.1	Potri.013G133550.2	22	38	24	82	68	58	78	60
WUAT02000717.1	Potri.005G208200.1	9020	10148	10682	11272	14628	10526	16392	28742
WUAT02000721.1	Potri.008G013300.1	1086	2600	1752	1760	964	1812	1414	1346
WUAT02000722.1	Potri.011G147700.1	60656	105808	65330	111960	67578	53534	57210	61582
WUAT02000725.1	Potri.013G095100.2	50946	34616	22124	49818	54062	19234	12180	18408
WUAT02000726.1	Potri.013G143400.2	2578	3800	4064	3476	5524	5312	4194	3428
WUAT02000727.1	Potri.005G045500.4	12538	16978	10586	18642	16492	13004	14908	10836
WUAT02000730.1	Potri.006G263100.2	58428	83800	48122	92958	102642	89022	94846	80960
WUAT02000731.1	Potri.001G312800.7	424	680	382	262	734	454	264	1294
WUAT02000735.1	Potri.015G082700.1	3232	1758	2342	2190	348	210	142	1458
WUAT02000740.1	Potri.015G112600.1	2318	4050	3526	4646	3862	2044	3300	3504
WUAT02000742.1	Potri.006G122300.4	19586	25394	25346	34530	29772	28212	32394	36772
WUAT02000743.1	Potri.006G222000.1	11020	18188	9296	18536	11750	10036	12466	9490
WUAT02000744.1	Potri.012G058400.2	40	182	114	22	142	20	18	228
WUAT02000748.1	Potri.016G055700.1	44104	41770	39428	58356	65362	25868	43092	79396
WUAT02000752.1	Potri.001G066800.1	20110	31402	19984	27606	23368	19472	21290	23404
WUAT02000754.1	Potri.006G046900.4	2220	1902	1870	2894	3470	1720	1742	2562
WUAT02000756.1	Potri.008G187600.2	10462	12294	7004	15498	11216	7468	7010	8778
WUAT02000757.1	Potri.013G141912.1	2384	5162	1968	2940	5702	4034	5238	5496
WUAT02000762.1	Potri.018G111700.1	866	1130	928	1338	1058	1188	2132	1008
WUAT02000766.1	Potri.009G058000.1	366	632	436	658	742	522	564	856
WUAT02000768.1	Potri.007G061961.1	718	326	48	230	292	290	2032	190
WUAT02000771.1	Potri.004G052300.1	28364	48412	39500	46584	39150	41814	45168	59240
WUAT02000772.1	Potri.001G466000.2	271256	409392	232632	487152	187154	207300	206314	243486
WUAT02000775.1	Potri.001G207700.4	27522	41822	39934	42244	36882	45026	43106	50158
WUAT02000784.1	Potri.015G007400.2	43554	68936	47958	85168	77854	55618	63210	59814
WUAT02000785.1	Potri.019G039700.1	686	1048	406	1262	824	1044	1524	698
WUAT02000793.1	Potri.007G015500.1	4770	5548	6772	6974	7376	5336	7140	7286
WUAT02000795.1	Potri.006G095800.6	16570	19884	12774	27842	10684	7562	9374	12522
WUAT02000797.1	Potri.004G030500.4	15212	18036	18596	20882	21444	25636	21896	21638
WUAT02000798.1	Potri.006G188500.1	3746	7224	3460	10266	6046	3370	4086	4116
WUAT02000801.1	Potri.014G163400.1	30862	41120	28296	59132	25116	17134	16772	21020
WUAT02000802.1	Potri.002G123500.6	79892	69194	68056	82996	31004	26248	27544	54908
WUAT02000805.1	Potri.007G071350.1	0	0	0	0	0	0	0	0
WUAT02000806.1	Potri.014G018000.4	13916	18654	16164	21790	14530	16350	16108	20898
WUAT02000807.1	Potri.018G084800.1	11364	22702	12510	15816	21580	16704	18802	24844
WUAT02000808.1	Potri.004G176600.1	94366	174444	185300	126974	92446	97814	112404	211090
WUAT02000809.1	Potri.004G022600.1	12	4	0	0	0	2	2	0
WUAT02000811.1	Potri.015G024200.1	24216	29610	34986	28448	20204	21510	25642	35766
WUAT02000813.1	Potri.013G139112.2	10	20	12	12	2	2	0	2
WUAT02000816.1	Potri.011G074150.1	508	1252	994	1076	2440	3442	2040	1404
WUAT02000820.1	Potri.016G004900.2	1324	1980	1866	1750	3116	2366	2992	6616
WUAT02000825.1	Potri.005G046300.1	16256	19212	17306	18574	9504	9876	9418	13272
WUAT02000829.1	Potri.011G113575.1	12980	15892	15118	19754	21168	24040	24038	14290
WUAT02000833.1	Potri.011G074067.1	496	546	212	180	774	158	1006	964
WUAT02000840.1	Potri.006G152700.11	11708	8148	10374	9986	3802	2860	2258	4608
WUAT02000842.1	Potri.007G017600.8	32390	38408	34694	40158	34236	29798	33978	44888
WUAT02000846.1	Potri.004G188900.1	47802	90308	72360	64886	67350	75544	67224	85376
WUAT02000847.1	Potri.008G178300.1	474	660	356	1078	982	738	1406	1226
WUAT02000851.1	Potri.013G136466.1	30	90	48	56	126	98	28	32
WUAT02000852.1	Potri.014G098600.7	128448	106996	113850	120922	50206	58382	49806	78136
WUAT02000856.1	Potri.003G058900.1	47204	91194	48376	56198	26974	35490	41794	36956
WUAT02000860.1	Potri.014G170500.2	452	254	542	184	248	578	256	2240
WUAT02000862.1	Potri.008G210100.1	1494	1408	1060	2638	1780	920	1410	1152
WUAT02000865.1	Potri.017G075700.1	4200	5408	4834	6950	8164	5334	4976	6964
WUAT02000866.1	Potri.007G023300.1	0	0	22	10	4	0	6	8
WUAT02000874.1	Potri.004G104201.4	1774	2220	1634	2134	4748	4214	3950	4598
WUAT02000875.1	Potri.001G024800.1	1488	1824	932	2302	2830	964	1948	2770
WUAT02000877.1	Potri.010G029700.2	18278	22712	15304	26330	15812	10272	10202	13064
WUAT02000879.1	Potri.008G121200.2	46280	28646	28660	42838	12660	9852	10898	17070
WUAT02000880.1	Potri.013G092500.1	6	46	12	12	8	16	2280	18
WUAT02000883.1	Potri.005G222900.6	15976	25560	16246	27766	21272	18338	19780	22454
WUAT02000887.1	Potri.008G064700.1	80572	112140	81786	101394	30520	38042	43160	54562
WUAT02000889.1	Potri.014G094300.1	1904	2184	1560	2948	1470	1184	1682	1980
WUAT02000893.1	Potri.013G143400.2	8	2	18	8	8	0	2	12
WUAT02000901.1	Potri.009G147100.3	1152	1848	998	1882	2554	1820	2342	2208
WUAT02000903.1	Potri.019G052500.5	5092	7710	2380	10442	2130	1650	4404	1424
WUAT02000905.1	Potri.018G143100.5	18262	21828	18786	23616	23140	19276	21024	22828
WUAT02000907.1	Potri.014G066600.1	880	1630	1730	1476	1250	1222	2002	3204
WUAT02000914.1	Potri.014G029800.3	21352	24876	25536	26568	22528	25374	24202	27006
WUAT02000915.1	Potri.001G255000.4	11220	13694	11992	22992	14798	16004	12586	13346
WUAT02000917.1	Potri.013G142760.1	1090	1616	920	1770	1874	1466	2634	1626
WUAT02000918.1	Potri.013G143400.2	0	0	0	0	0	0	6	8
WUAT02000919.1	Potri.001G411100.1	27712	35992	16916	45758	24960	22296	23248	24424
WUAT02000926.1	Potri.010G131100.1	6	8	8	2	2	2	2	20
WUAT02000928.1	Potri.007G062602.1	11694	15158	25272	15268	23430	10274	10738	26502
WUAT02000933.1	Potri.008G019800.1	6812	8818	5602	8816	10124	6082	7324	6988
WUAT02000938.1	Potri.013G138201.1	656	4	536	834	2	124	4	4
WUAT02000946.1	Potri.011G074201.1	5178	6326	3346	8380	5036	3574	5858	3498
WUAT02000951.1	Potri.013G143400.2	9442	5700	2654	4844	8986	4992	2484	5736
