Gene_ID	subject_id	C_T1_Rep1	C_T1_Rep2	C_T1_Rep3	C_T1_Rep4	C_T2_Rep1	C_T2_Rep2	C_T2_Rep3	C_T2_Rep4
WUAT02000163.1	Potri.005G048700.1	20852	26070	25074	29906	39148	44130	39988	38430
WUAT02000164.1	Potri.001G312800.9	1954	2188	1940	2766	4506	3602	3220	4318
WUAT02000167.1	Potri.005G205400.1	13778	5750	6140	10816	23416	12998	17242	16790
WUAT02000168.1	Potri.014G185804.1	16964	13538	29732	15330	8722	12130	11894	24164
WUAT02000172.1	Potri.007G073100.1	5646	11760	8802	12552	5958	5438	5920	9576
WUAT02000177.1	Potri.013G141912.1	594	548	528	680	958	948	1212	862
WUAT02000182.1	Potri.001G375600.1	10	48	280	12	6	6	32	6
WUAT02000184.1	Potri.002G259600.4	39818	42960	28412	48544	44748	33348	29782	24308
WUAT02000185.1	Potri.015G035500.1	1868	3102	3136	2014	2028	1950	1954	1432
WUAT02000186.1	Potri.012G088500.11	27218	30574	24186	28224	29982	23016	29390	29130
WUAT02000190.1	Potri.012G069000.6	26778	24282	17730	22236	31792	26690	50598	47586
WUAT02000191.1	Potri.001G190200.1	2010	7320	4364	5022	1766	1470	2260	1926
WUAT02000194.1	Potri.016G004900.2	912	1084	1054	1652	1302	1666	1160	1202
WUAT02000196.1	Potri.013G142232.4	8960	9902	7250	12410	20126	10428	7988	7134
WUAT02000199.1	Potri.006G113300.1	47082	44314	36448	46518	49914	43182	41276	39074
WUAT02000200.1	Potri.006G268200.4	3982	92	240	3330	844	1146	374	2358
WUAT02000203.1	Potri.005G210000.1	11572	13744	6958	17772	9002	8250	6648	9628
WUAT02000204.1	Potri.011G074868.1	338	172	394	196	476	556	422	620
WUAT02000205.1	Potri.007G147100.1	10296	11952	8324	11292	9650	8288	7686	9092
WUAT02000208.1	Potri.007G061721.1	8780	12244	8884	10224	14414	13746	14234	20104
WUAT02000209.1	Potri.006G185000.1	53484	53956	51256	69764	51150	68056	58552	64502
WUAT02000212.1	Potri.006G230400.5	1328	2132	1648	2722	1862	1314	1504	1660
WUAT02000217.1	Potri.001G370300.2	35802	39356	33302	42730	42336	37822	33930	35480
WUAT02000230.1	Potri.013G162600.1	1250	1050	380	796	650	1184	294	876
WUAT02000231.1	Potri.005G060300.2	726	862	1190	684	1376	1770	2202	2820
WUAT02000233.1	Potri.015G009200.4	26096	34732	20614	30846	24180	19036	28074	26298
WUAT02000234.1	Potri.008G005000.1	496	1052	1122	1312	1092	1906	1714	1808
WUAT02000235.1	Potri.010G052500.1	20126	27670	20562	24644	27620	24808	25066	24584
WUAT02000238.1	Potri.011G044300.1	14764	29308	20620	19168	14584	22534	25952	31842
WUAT02000244.1	Potri.007G061861.1	18456	19186	17614	19324	18272	20836	16282	25596
WUAT02000248.1	Potri.003G183000.1	3336	3166	2818	2752	3256	2522	3064	3396
WUAT02000253.1	Potri.004G165500.1	16260	17250	16544	19314	22330	18778	18958	19834
WUAT02000256.1	Potri.014G175200.4	115920	161180	241710	103544	126534	133924	185850	302606
WUAT02000258.1	Potri.006G095000.2	2554	4698	2584	5772	2914	4664	2638	2000
WUAT02000262.1	Potri.013G143400.2	34218	44548	45524	56684	84788	67610	61612	115048
WUAT02000271.1	Potri.015G037200.1	12544	16062	12384	23536	20256	13948	13838	16644
WUAT02000276.1	Potri.011G074750.1	32490	29654	28304	33600	49172	48408	40678	51722
WUAT02000277.1	Potri.015G127900.1	0	2	110	122	14	212	4	8
WUAT02000280.1	Potri.017G099100.1	5288	6900	3504	13666	2722	2376	3446	3424
WUAT02000282.1	Potri.010G052900.1	470	930	1016	682	582	720	1546	1020
WUAT02000289.1	Potri.013G142972.1	11852	28882	9902	28456	21832	37588	21614	10578
WUAT02000290.1	Potri.003G185901.1	1908	2584	2596	3342	1512	3230	3602	3342
WUAT02000295.1	Potri.001G222300.1	4062	4600	3686	4586	5294	5288	5030	6328
WUAT02000307.1	Potri.013G143400.2	1420	1928	2018	2298	1776	1442	2338	1882
WUAT02000312.1	Potri.003G039100.5	12978	24288	14360	19186	18506	11176	19226	26960
WUAT02000315.1	Potri.013G154600.1	13638	12626	9200	16792	16400	12336	12538	10964
WUAT02000318.1	Potri.012G031250.1	8	0	6	4	18	44	18	16
WUAT02000325.1	Potri.013G133550.2	20182	27894	26652	27290	75374	62112	71936	76990
WUAT02000327.1	Potri.014G076300.2	88	186	312	334	144	250	112	354
WUAT02000328.1	Potri.007G122100.1	17314	29412	5522	21982	27120	10616	9576	10648
WUAT02000329.1	Potri.014G170500.2	11190	3868	2340	4194	28432	18696	19812	22870
WUAT02000330.1	Potri.010G226000.9	1982	4220	3466	5730	5082	2084	3670	10748
WUAT02000334.1	Potri.008G005200.2	474	252	386	690	450	382	508	428
WUAT02000343.1	Potri.006G222000.1	1212	1748	1198	2284	1254	1244	1674	2612
WUAT02000344.1	Potri.003G018800.1	18592	28216	20252	26348	23790	14732	17400	20734
WUAT02000347.1	Potri.004G213400.1	1366	1518	1576	1096	1272	884	4076	2356
WUAT02000349.1	Potri.010G088900.1	2012	1166	790	1528	2564	2412	3048	3742
WUAT02000352.1	Potri.014G044900.5	7238	9924	6166	9766	9140	6356	6076	5672
WUAT02000353.1	Potri.007G062302.2	1724	2388	1478	2426	1830	2032	2778	4046
WUAT02000356.1	Potri.008G224210.1	344	532	9098	444	312	360	424	544
WUAT02000357.1	Potri.008G013500.1	36	40	44	76	254	24	84	158
WUAT02000361.1	Potri.008G206000.4	25370	35330	32180	39002	32636	29164	27874	26538
WUAT02000362.1	Potri.002G149600.1	708	898	1176	630	596	716	854	882
WUAT02000370.1	Potri.013G133550.2	35990	57360	36322	52362	50656	40992	58988	96352
WUAT02000371.1	Potri.003G077100.5	15194	17284	13064	16854	17804	12318	14434	14922
WUAT02000372.1	Potri.016G059900.3	3884	6558	6058	6564	3790	4086	4148	3938
WUAT02000379.1	Potri.011G094500.2	21104	18866	16406	22094	15922	19586	17004	15754
WUAT02000383.1	Potri.001G418100.1	5710	3632	3452	5316	6852	5046	6354	7962
WUAT02000388.1	Potri.018G076600.3	36498	36490	30154	40568	37372	41166	32818	31956
WUAT02000389.1	Potri.006G199400.1	3424	4196	2848	4280	4508	4018	6868	5610
WUAT02000393.1	Potri.018G068400.1	1962	4132	2632	4530	2846	918	480	130
WUAT02000394.1	Potri.005G140700.4	14462	23374	23036	24734	17966	15318	17692	29990
WUAT02000397.1	Potri.002G230700.3	9430	10382	8272	11300	9264	8762	8466	8674
WUAT02000402.1	Potri.013G073400.1	2064	7540	3498	8234	1796	1394	1324	1820
WUAT02000404.1	Potri.005G233400.1	4538	5888	6780	7638	10142	8694	7406	14852
WUAT02000405.1	Potri.001G159700.1	42174	50256	40030	46024	41808	28826	28434	23600
WUAT02000406.1	Potri.013G139112.2	130216	238828	179540	104588	33200	27360	42102	30266
WUAT02000411.1	Potri.004G040600.1	3474	7662	8212	21882	9704	17486	32136	111552
WUAT02000412.1	Potri.004G031600.3	178	232	284	184	268	270	218	290
WUAT02000415.1	Potri.013G138490.1	17628	25138	20206	25802	25166	18994	24512	25406
WUAT02000419.1	Potri.019G015111.1	6800	7906	4594	8836	7858	4028	4512	6426
WUAT02000420.1	Potri.004G054000.3	25748	33420	27750	34434	31862	38408	32080	45340
WUAT02000429.1	Potri.008G133300.1	10644	16638	13822	16990	18224	12766	15178	17264
WUAT02000430.1	Potri.002G174400.1	6890	7638	3324	9722	4390	5258	5406	3984
WUAT02000433.1	Potri.004G146600.5	175200	168118	178494	229778	179986	196274	154546	145510
WUAT02000437.1	Potri.011G026600.1	104500	98494	68980	99906	144570	122812	127370	152962
WUAT02000438.1	Potri.011G074600.2	4360	4240	3746	5018	4390	4280	3918	4600
WUAT02000439.1	Potri.005G110600.6	13044	13832	11448	16708	13272	12446	12280	14478
WUAT02000441.1	Potri.015G007700.1	11596	11964	8346	14544	12170	10722	11784	12338
WUAT02000442.1	Potri.010G128600.4	44528	49726	39106	40000	48860	46776	73338	46426
WUAT02000444.1	Potri.004G101500.1	2	6	2	6	4	8	10	2
WUAT02000447.1	Potri.013G133550.2	2444	2422	2216	2996	3916	3810	3498	4598
WUAT02000448.1	Potri.019G025700.4	1022	978	942	868	686	1342	1006	1508
WUAT02000451.1	Potri.008G221801.2	28714	30148	25440	36540	30812	25116	25846	29358
WUAT02000455.1	Potri.006G188700.1	2682	1700	2198	2300	1842	2278	2950	2574
WUAT02000460.1	Potri.001G435900.2	7998	11630	8810	7254	14872	15848	14864	15898
WUAT02000461.1	Potri.008G185200.2	8468	11206	10762	16698	13652	11390	8414	12844
WUAT02000464.1	Potri.018G087800.2	3620	6528	2566	4256	5674	4588	16946	10160
WUAT02000469.1	Potri.016G068900.3	12860	15626	12332	15940	14290	12966	15354	15976
WUAT02000471.1	Potri.011G146800.5	154	374	238	502	540	316	320	282
WUAT02000472.1	Potri.015G103700.1	27068	27652	25564	23964	35884	28884	33992	35124
WUAT02000475.1	Potri.008G062400.1	930	368	1066	790	966	1194	1268	1068
WUAT02000478.1	Potri.013G158200.3	28820	22498	28500	35706	27558	23434	19782	21100
WUAT02000484.1	Potri.013G133550.2	926	1618	1600	1764	1976	2544	2108	2778
WUAT02000487.1	Potri.003G015800.1	12264	15440	15976	18838	25224	15860	23662	46306
WUAT02000492.1	Potri.001G370366.2	1432	2210	2444	2754	2316	2808	2396	4490
WUAT02000496.1	Potri.018G040100.1	17736	18492	15236	36498	37336	18920	12600	9984
WUAT02000500.1	Potri.010G086900.2	2570	2950	4180	3732	8462	8444	8084	6820
WUAT02000501.1	Potri.004G182400.1	238	300	60	498	288	504	274	348
WUAT02000502.1	Potri.013G133550.2	3210	12790	6994	10536	3352	1580	8592	3626
WUAT02000503.1	Potri.016G084900.1	7640	14124	12686	13012	18180	12604	11850	23386
WUAT02000505.1	Potri.014G153000.1	13392	12962	10902	13780	7558	3380	5104	3772
WUAT02000511.1	Potri.008G142400.6	8426	14562	8578	8538	8974	8078	8116	6244
WUAT02000514.1	Potri.012G110800.1	1494	2656	2210	2722	4912	3056	3476	5500
WUAT02000518.1	Potri.001G349300.9	24936	35076	23152	36288	28548	21248	18314	16548
WUAT02000519.1	Potri.004G197000.2	4830	5050	3918	5322	6036	5948	4964	6136
WUAT02000523.1	Potri.012G031250.1	60218	75470	103416	58504	54786	68186	58852	66738
WUAT02000531.1	Potri.001G312800.9	26504	30858	26480	33134	41456	31722	34012	35280
WUAT02000539.1	Potri.013G092500.1	12	34	12	32	26	52	82	98
WUAT02000541.1	Potri.001G312800.7	64574	73442	54562	71884	112416	92168	70640	83868
WUAT02000543.1	Potri.004G059200.2	9042	7890	6584	8148	10442	6774	10352	4346
WUAT02000546.1	Potri.011G075051.1	496	1240	596	648	1468	462	1422	2982
WUAT02000550.1	Potri.002G193700.1	21520	17790	19958	21784	40210	45780	78680	29202
WUAT02000551.1	Potri.013G133550.2	886	1366	1116	1142	1334	1260	1242	1486
WUAT02000559.1	Potri.001G313900.1	9938	20822	11942	16492	10944	7852	10926	9968
WUAT02000560.1	Potri.012G031250.1	2362	3042	2104	3860	3808	1934	3720	5628
WUAT02000566.1	Potri.013G147200.2	8288	11140	12944	13982	13076	10358	11260	9324
WUAT02000570.1	Potri.002G001900.9	582	1908	760	1134	438	616	542	370
WUAT02000573.1	Potri.001G359700.6	340	238	178	458	650	334	586	388
WUAT02000577.1	Potri.007G011200.7	14322	16604	14760	15354	18892	16948	16700	22890
WUAT02000582.1	Potri.012G031250.1	25270	32794	27156	31556	31702	30540	31562	35248
WUAT02000586.1	Potri.005G148900.1	9648	11944	8460	11716	9690	8448	8982	10074
WUAT02000588.1	Potri.005G086100.7	28122	37220	28264	32002	33252	24970	32326	34592
WUAT02000590.1	Potri.006G260200.4	15134	12834	10208	14650	13980	12738	15826	13132
WUAT02000591.1	Potri.013G138100.2	256	680	618	1370	1024	680	456	700
WUAT02000595.1	Potri.003G072300.10	21026	29482	22906	23350	26252	16796	25360	32572
WUAT02000597.1	Potri.005G212700.1	376	1056	428	948	856	688	444	576
WUAT02000600.1	Potri.012G062700.1	27134	28626	23474	30298	30504	26534	21006	20634
WUAT02000601.1	Potri.008G177000.7	8	108	44	12	66	70	30	48
WUAT02000602.1	Potri.002G093500.4	3168	4548	2266	4042	2804	1022	1896	1190
WUAT02000604.1	Potri.009G034500.1	604	732	558	834	1292	1434	1432	4734
WUAT02000605.1	Potri.002G090900.5	6872	8658	6348	8300	8200	9486	7548	9880
WUAT02000608.1	Potri.018G139400.1	80	150	186	418	234	598	82	144
WUAT02000610.1	Potri.007G061861.1	8902	16820	15022	11976	7430	6202	8132	11940
WUAT02000613.1	Potri.010G069000.2	30462	36870	30736	34638	40336	31024	40490	39336
WUAT02000618.1	Potri.013G133550.1	938	1450	1146	2586	3500	1664	1896	2548
WUAT02000626.1	Potri.002G078800.4	8830	10416	9428	11066	11522	10210	11768	11854
WUAT02000628.1	Potri.002G178801.1	814	1412	1000	1146	2404	2296	2470	3060
WUAT02000629.1	Potri.018G067800.2	26644	38922	33702	43002	36962	39448	36026	41338
WUAT02000631.1	Potri.001G243400.1	62848	74860	68278	75880	81266	78832	76076	88042
WUAT02000636.1	Potri.005G213300.6	6228	7154	5718	6250	7178	7114	7356	7044
WUAT02000639.1	Potri.002G109601.10	18	60	68	48	124	62	58	360
WUAT02000640.1	Potri.013G102700.1	13096	10994	9962	11278	21262	11520	8396	8168
WUAT02000641.1	Potri.013G137077.1	3030	7246	5594	8408	4584	5228	6320	6540
WUAT02000644.1	Potri.010G090100.2	1886	3284	2814	3892	2062	2054	1628	1366
WUAT02000645.1	Potri.001G314300.1	48692	68836	58952	70036	60142	57336	62820	63664
WUAT02000648.1	Potri.011G074067.1	2224	2618	2678	5662	982	478	1036	682
WUAT02000650.1	Potri.003G203100.1	5194	5496	4190	5790	6364	4156	5866	6946
WUAT02000659.1	Potri.008G070600.2	254	80	116	316	990	456	194	698
WUAT02000662.1	Potri.008G085000.1	1076	1606	246	2070	674	750	786	588
WUAT02000667.1	Potri.010G000301.1	6410	5984	4182	8190	6488	6634	6490	5938
WUAT02000669.1	Potri.018G110200.3	4556	6946	6144	6888	7206	7986	8596	10270
WUAT02000676.1	Potri.011G074600.2	21800	23120	20114	27446	28274	23904	25178	27902
WUAT02000681.1	Potri.009G041800.1	4838	4760	4972	6690	12358	12738	9446	11656
WUAT02000685.1	Potri.004G078932.2	1566	1854	2056	1806	1690	1974	1766	1944
WUAT02000687.1	Potri.003G018500.2	2340	3252	2004	3250	3548	2546	3256	2974
WUAT02000689.1	Potri.010G105600.1	11468	14298	12056	12172	15740	14812	16904	18478
WUAT02000690.1	Potri.003G174900.3	30054	34132	32090	35074	35128	27758	33648	43504
WUAT02000694.1	Potri.004G210100.1	61808	61272	47670	65286	115450	116962	79976	110868
WUAT02000695.1	Potri.004G162500.1	29916	38132	29720	35272	34206	31352	36040	41610
WUAT02000699.1	Potri.010G189000.1	65602	83404	68464	88744	68222	56072	52084	58960
WUAT02000703.1	Potri.006G222500.5	59550	73334	60552	70078	62832	54850	62650	59802
WUAT02000707.1	Potri.010G052500.1	9514	8340	5604	7488	10420	8138	8140	8570
WUAT02000712.1	Potri.011G074150.1	20660	29194	19628	37486	24500	11184	10752	9700
WUAT02000714.1	Potri.004G094850.1	22006	10376	12518	13090	13812	5700	11136	10242
WUAT02000715.1	Potri.013G133550.2	50	50	44	46	116	18	134	146
WUAT02000717.1	Potri.005G208200.1	6124	8526	8302	9040	8548	6306	7878	11724
WUAT02000721.1	Potri.008G013300.1	648	1072	1002	1582	1174	794	998	1770
WUAT02000722.1	Potri.011G147700.1	79340	97184	87772	92232	73954	103358	76628	71304
WUAT02000725.1	Potri.013G095100.2	19476	49158	18138	52602	23544	16118	32312	19652
WUAT02000726.1	Potri.013G143400.2	2234	6336	3878	3486	6568	6702	2832	7146
WUAT02000727.1	Potri.005G045500.4	16074	14116	11364	16116	21150	20640	16904	15880
WUAT02000730.1	Potri.006G263100.2	60070	70212	64420	74562	82106	92540	86014	89024
WUAT02000731.1	Potri.001G312800.7	288	396	340	30	946	800	102	364
WUAT02000735.1	Potri.015G082700.1	2674	2530	1446	2474	1846	282	1446	922
WUAT02000740.1	Potri.015G112600.1	5670	2900	2928	4000	5064	3262	4952	3196
WUAT02000742.1	Potri.006G122300.4	20782	26942	21812	25570	25306	24304	25470	34966
WUAT02000743.1	Potri.006G222000.1	12772	15316	13242	17800	14262	17314	13796	11692
WUAT02000744.1	Potri.012G058400.2	32	54	114	136	302	104	140	42
WUAT02000748.1	Potri.016G055700.1	32028	44456	27208	49152	35706	27098	33238	43468
WUAT02000752.1	Potri.001G066800.1	22216	27754	21454	24294	27262	21874	23226	23132
WUAT02000754.1	Potri.006G046900.4	1974	2694	892	2128	1614	1490	3946	3458
WUAT02000756.1	Potri.008G187600.2	9404	12190	9836	14854	11776	10812	9804	10512
WUAT02000757.1	Potri.013G141912.1	3014	2758	2622	4150	6038	5980	4550	6526
WUAT02000762.1	Potri.018G111700.1	948	1434	824	1204	1398	1062	1114	1026
WUAT02000766.1	Potri.009G058000.1	372	654	384	706	554	636	472	644
WUAT02000768.1	Potri.007G061961.1	1096	24	106	1590	696	454	1164	652
WUAT02000771.1	Potri.004G052300.1	30740	39404	39760	36602	40750	38356	42762	47450
WUAT02000772.1	Potri.001G466000.2	258108	392506	260544	332760	259690	373804	290894	258984
WUAT02000775.1	Potri.001G207700.4	29934	38572	29636	36206	39306	28142	39514	47722
WUAT02000784.1	Potri.015G007400.2	60856	52738	55300	65096	72560	75398	81566	82820
WUAT02000785.1	Potri.019G039700.1	540	574	528	980	790	440	568	938
WUAT02000793.1	Potri.007G015500.1	6048	3480	4312	6008	9974	8336	7494	7696
WUAT02000795.1	Potri.006G095800.6	14146	19956	12428	20158	13982	13836	11534	14354
WUAT02000797.1	Potri.004G030500.4	23136	16568	17160	21148	25952	22378	32338	30094
WUAT02000798.1	Potri.006G188500.1	7428	4380	6530	7412	4450	4744	7240	3916
WUAT02000801.1	Potri.014G163400.1	22048	44742	24644	45770	22602	18188	20000	17710
WUAT02000802.1	Potri.002G123500.6	51954	74892	49408	89362	50142	26118	28204	31362
WUAT02000805.1	Potri.007G071350.1	0	16	0	0	2	0	0	0
WUAT02000806.1	Potri.014G018000.4	13838	20486	13634	16006	17992	14428	16994	19610
WUAT02000807.1	Potri.018G084800.1	14008	16890	15500	14852	17382	17074	16584	20616
WUAT02000808.1	Potri.004G176600.1	98678	152506	231188	95034	120566	85298	116826	75608
WUAT02000809.1	Potri.004G022600.1	4	0	4	4	8	2	6	0
WUAT02000811.1	Potri.015G024200.1	32600	21742	24166	23234	33106	29856	33838	21666
WUAT02000813.1	Potri.013G139112.2	14	4	10	2	0	4	24	26
WUAT02000816.1	Potri.011G074150.1	776	1230	1214	1192	2794	1240	3370	2058
WUAT02000820.1	Potri.016G004900.2	1164	1102	1754	1796	2018	1216	3238	3412
WUAT02000825.1	Potri.005G046300.1	14122	19694	12402	15898	12430	9904	11824	11716
WUAT02000829.1	Potri.011G113575.1	17872	13274	10928	15336	23840	19752	18972	22742
WUAT02000833.1	Potri.011G074067.1	616	314	616	450	122	298	322	266
WUAT02000840.1	Potri.006G152700.11	10386	9052	5372	10014	5612	1528	3494	2792
WUAT02000842.1	Potri.007G017600.8	25756	37244	28742	35216	37468	33700	30988	42230
WUAT02000846.1	Potri.004G188900.1	53060	64408	68070	59308	47420	51184	70162	83560
WUAT02000847.1	Potri.008G178300.1	458	816	590	1224	1424	898	1052	896
WUAT02000851.1	Potri.013G136466.1	26	36	20	22	32	102	16	54
WUAT02000852.1	Potri.014G098600.7	103220	130258	100526	114150	86802	41476	58840	57424
WUAT02000856.1	Potri.003G058900.1	55516	74570	81320	32712	45010	33992	36706	38606
WUAT02000860.1	Potri.014G170500.2	1016	190	1234	384	194	300	432	1026
WUAT02000862.1	Potri.008G210100.1	1718	1880	1552	2336	1896	1604	1582	1370
WUAT02000865.1	Potri.017G075700.1	6170	5948	4438	5222	9216	6250	7574	6488
WUAT02000866.1	Potri.007G023300.1	4	4	8	0	4	0	12	10
WUAT02000874.1	Potri.004G104201.4	1770	2016	1736	1950	2008	2532	3792	4088
WUAT02000875.1	Potri.001G024800.1	1362	1524	1520	1854	1874	1436	1628	1586
WUAT02000877.1	Potri.010G029700.2	15478	23548	16202	21782	16068	13892	16950	11678
WUAT02000879.1	Potri.008G121200.2	24228	29584	24868	39740	22906	12204	11626	9804
WUAT02000880.1	Potri.013G092500.1	4	14	8	18	568	8	6	0
WUAT02000883.1	Potri.005G222900.6	18546	22234	17396	21652	23574	18766	19630	21628
WUAT02000887.1	Potri.008G064700.1	65746	107614	73744	63656	42704	45310	42906	53314
WUAT02000889.1	Potri.014G094300.1	1740	1884	1752	2166	1194	1100	1414	1526
WUAT02000893.1	Potri.013G143400.2	8	0	20	4	4	4	0	0
WUAT02000901.1	Potri.009G147100.3	1198	1028	1090	1490	1318	1770	1848	2494
WUAT02000903.1	Potri.019G052500.5	3254	8232	3244	12200	2782	3044	1804	1248
WUAT02000905.1	Potri.018G143100.5	15968	20746	17338	19966	24350	18920	21464	22634
WUAT02000907.1	Potri.014G066600.1	1278	1212	1946	1388	1354	1318	1182	1234
WUAT02000914.1	Potri.014G029800.3	19468	22166	19880	19984	26056	24954	24982	31302
WUAT02000915.1	Potri.001G255000.4	9304	11872	10106	12970	13116	9186	15306	15176
WUAT02000917.1	Potri.013G142760.1	1784	1204	1172	1310	1866	3124	2334	2118
WUAT02000918.1	Potri.013G143400.2	0	0	0	0	2	4	0	0
WUAT02000919.1	Potri.001G411100.1	38738	29258	26684	38368	36010	32998	29386	26798
WUAT02000926.1	Potri.010G131100.1	4	6	6	56	6	6	6	12
WUAT02000928.1	Potri.007G062602.1	14372	11226	11986	9960	13924	8776	17504	12990
WUAT02000933.1	Potri.008G019800.1	5928	4882	6058	5712	7282	8222	9510	8350
WUAT02000938.1	Potri.013G138201.1	10	14	200	44	2	568	122	1048
WUAT02000946.1	Potri.011G074201.1	4492	5788	3958	6104	5436	5494	3760	4770
WUAT02000951.1	Potri.013G143400.2	1540	5316	1898	7116	3426	1458	2714	4496
